id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,has_freeship,is_authentic,has_return_policy,cat_level_2,cat_level_3,cat_level_4,pub_year,pub_month,book_age,saved_amount,is_discounted,price_per_page,log_review_count,log_qty_sold,popularity_score,name_length,has_multi_authors,is_hardcover,is_series,is_available,book_cover_enc,inventory_status_enc,cat2_sach-tieng-anh,cat2_sach-truyen-tieng-viet,cat3_rating_enc,price_scaled,list_price_scaled,saved_amount_scaled,discount_rate_scaled,rating_average_scaled,number_of_page_scaled,name_length_scaled,price_per_page_scaled,popularity_score_scaled,book_age_scaled
52789367,Sách Nhà Giả Kim (Tái Bản),78000,95000,18,5.0,6076,39825,Paulo Coelho,Nhã Nam,Nhà Xuất Bản Hà Nội,Bìa mềm,228,2020-04-01,Tiki Trading,available,False,True,True,sach-truyen-tieng-viet,sach-van-hoc,tac-pham-kinh-dien,2020,4,6,17000,1,342.11,8.712266432135355,10.592275244318621,43.5613,26,0,0,0,1,8,1,0,1,4.8235,0.0187953618830061,0.020763041785621595,0.016999999999999998,0.21686746987951808,1.0,0.0228,0.10087719298245613,0.006520648337557788,1.0,0.002961500493583415
22881852,English Grammar in Use Book w Ans,207100,218000,5,5.0,2625,12779,Raymond Murphy,Cambridge University,CAMBRIDGE UNIVERSITY,Bìa mềm,128,2017-01-01,Nhà sách Fahasa,available,True,True,True,sach-tieng-anh,education-teaching,grammar-vocabulary-skills,2017,1,9,10900,1,1617.97,7.873217054862741,9.455636727931525,39.3661,33,0,0,0,1,8,1,1,0,1.5239,0.05612584217679207,0.05268621853101479,0.0109,0.060240963855421686,1.0,0.0128,0.13157894736842107,0.033117305588058046,0.9036943341911283,0.004442250740375123
750578,Sách Khi Hơi Thở Hóa Thinh Không,78400,109000,28,4.7,2305,62497,Paul Kalanithi,Omega Plus,Nhà Xuất Bản Dân Trí,Bìa mềm,236,2017-07-26,Tiki Trading,available,False,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky,2017,7,9,30600,1,332.2,7.743269700829004,11.042889835212481,36.3934,32,0,0,0,1,8,1,0,1,4.8235,0.018911025648439984,0.024396574098105372,0.0306,0.3373493975903615,0.9400000000000001,0.0236,0.12719298245614036,0.006314063858576976,0.8354525691382029,0.004442250740375123
150997930,Sách Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 4,84100,179000,53,4.7,1310,3199,Mishima Yomu,Tsuki LightNovel,Nhà Xuất Bản Thế Giới,Bìa mềm,492,2021-12-12,Tiki Trading,available,False,True,True,sach-truyen-tieng-viet,sach-van-hoc,light-novel,2021,12,5,94900,1,170.93,7.1785454837637,8.070906088787819,33.7392,73,0,0,1,1,8,1,0,1,4.8235,0.020559234305872826,0.042564235660524266,0.0949,0.6385542168674699,0.9400000000000001,0.0492,0.30701754385964913,0.0029522193656167967,0.7745223397832478,0.0024679170779861796
22383811,Sách Becoming - Chất Michelle,231000,300000,23,4.8,1076,19933,Michelle Obama,First News - Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,Bìa cứng,520,2019-07-01,Tiki Trading,available,False,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky,2019,7,7,69000,1,444.23,6.981934677156389,9.900182095527402,33.5133,29,0,1,0,1,5,1,0,1,4.8235,0.0630367521614666,0.07396833636127693,0.06899999999999999,0.27710843373493976,0.96,0.052000000000000005,0.11403508771929825,0.008649448235995772,0.7693365441343577,0.003455083909180651
106149739,Sách Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 3,160000,179000,11,5.0,1032,2272,Mishima Yomu,Tsuki LightNovel,Nhà Xuất Bản Thế Giới,Bìa mềm,644,2021-06-16,Tiki Trading,available,False,True,True,sach-truyen-tieng-viet,sach-van-hoc,light-novel,2021,6,5,19000,1,248.45,6.940222469119639,7.728855823852543,34.7011,73,0,0,1,1,8,1,0,1,4.8235,0.042506433796952264,0.042564235660524266,0.019,0.13253012048192772,1.0,0.0644,0.30701754385964913,0.004568206127533291,0.7966038662757997,0.0024679170779861796
10392851,Sách Tôi Thấy Hoa Vàng Trên Cỏ Xanh,111000,150000,26,5.0,883,7530,Nguyễn Nhật Ánh,NXB Trẻ,NXB Trẻ,Bìa mềm,378,2018-12-28,Tiki Trading,available,False,True,True,sach-truyen-tieng-viet,sach-van-hoc,tac-pham-kinh-dien,2018,12,8,39000,1,293.65,6.784457062637643,8.926783114101351,33.9223,35,0,0,0,1,8,1,0,1,4.8235,0.028337622531301506,0.03503763301323644,0.039,0.3132530120481928,1.0,0.0378,0.14035087719298245,0.005510448150735375,0.7787256119537295,0.003948667324777887
13446508,Sách Cánh Đồng Bất Tận (Tái Bản),75000,100000,25,5.0,820,6909,Nguyễn Ngọc Tư,NXB Trẻ,NXB Trẻ,Bìa mềm,220,2019-01-04,Tiki Trading,available,False,True,True,sach-truyen-tieng-viet,sach-van-hoc,tac-pham-kinh-dien,2019,1,7,25000,1,340.91,6.710523109452428,8.840724916761715,33.5526,32,0,0,0,1,8,1,0,1,4.8235,0.017927883642251972,0.022060731897222945,0.024999999999999998,0.30120481927710846,1.0,0.022000000000000002,0.12719298245614036,0.00649563306260552,0.7702387210666347,0.003455083909180651
568762,Sách Tam Quốc Diễn Nghĩa (Trọn Bộ 04 Tập),238000,350000,32,4.7,758,3205,La Quán Trung,Khang Việt Book,Nhà Xuất Bản Văn Học,Bìa cứng,352,,khangvietbook,available,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tac-pham-kinh-dien,0,0,2026,112000,1,676.14,6.63200177739563,8.072779333169498,31.1704,41,0,1,0,1,5,1,0,1,4.8235,0.06506086805655957,0.08694523747729042,0.11199999999999999,0.3855421686746988,0.9400000000000001,0.0352,0.16666666666666669,0.013483858581146112,0.7155525661539026,0.9999999999999999
181974015,Sách Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng (Tập 5),86430,129000,33,4.8,728,2081,Mishima Yomu,Tsuki LightNovel,Nhà Xuất Bản Thế Giới,Bìa mềm,397,2022-05-05,Tiki Trading,available,False,True,True,sach-truyen-tieng-viet,sach-van-hoc,light-novel,2022,5,4,42570,1,217.71,6.591673732008658,7.641084249174914,31.64,73,0,0,1,1,8,1,0,1,4.8235,0.0212329757395252,0.029587334544510773,0.04257,0.39759036144578314,0.96,0.0397,0.30701754385964913,0.003927398167506033,0.726332777029152,0.0019743336623889436
