id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy,cat_level_1,cat_level_2,cat_level_3,cat_level_4,cat_level_5
52789367,Sách Nhà Giả Kim (Tái Bản),78000,95000,18,5.0,6076,39825,Paulo Coelho,Nhã Nam,Nhà Xuất Bản Hà Nội,,Bìa mềm,228.0,2020-04-01,Tiki Trading,available,1000.0,False,True,True,nha-sach-tiki,sach-truyen-tieng-viet,sach-van-hoc,tac-pham-kinh-dien,tac-pham-kinh-dien-nuoc-ngoai
22881852,English Grammar in Use Book w Ans,207100,218000,5,5.0,2625,12779,Raymond Murphy,Cambridge University,CAMBRIDGE UNIVERSITY,9781108430425,Bìa mềm,,2017-01-01,Nhà sách Fahasa,available,1000.0,True,True,True,nha-sach-tiki,sach-tieng-anh,education-teaching,grammar-vocabulary-skills,
750578,Sách Khi Hơi Thở Hóa Thinh Không,78400,109000,28,4.7,2305,62497,Paul Kalanithi,Omega Plus,Nhà Xuất Bản Dân Trí,,Bìa mềm,236.0,2017-07-26,Tiki Trading,available,1000.0,False,True,True,nha-sach-tiki,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky,
150997930,Sách Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 4,84100,179000,53,4.7,1310,3199,Mishima Yomu,Tsuki LightNovel,Nhà Xuất Bản Thế Giới,,Bìa mềm,492.0,2021-12-12,Tiki Trading,available,1000.0,False,True,True,nha-sach-tiki,sach-truyen-tieng-viet,sach-van-hoc,light-novel,
22383811,Sách Becoming - Chất Michelle,231000,300000,23,4.8,1076,19933,Michelle Obama,First News - Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa cứng,520.0,2019-07-01,Tiki Trading,available,1000.0,False,True,True,nha-sach-tiki,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky,
106149739,Sách Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 3,160000,179000,11,5.0,1032,2272,Mishima Yomu,Tsuki LightNovel,Nhà Xuất Bản Thế Giới,,Bìa mềm,644.0,2021-06-16,Tiki Trading,available,1000.0,False,True,True,nha-sach-tiki,sach-truyen-tieng-viet,sach-van-hoc,light-novel,
10392851,Sách Tôi Thấy Hoa Vàng Trên Cỏ Xanh,111000,150000,26,5.0,883,7530,Nguyễn Nhật Ánh,NXB Trẻ,NXB Trẻ,,Bìa mềm,378.0,2018-12-28,Tiki Trading,available,1000.0,False,True,True,nha-sach-tiki,sach-truyen-tieng-viet,sach-van-hoc,tac-pham-kinh-dien,tac-pham-kinh-dien-viet-nam
13446508,Sách Cánh Đồng Bất Tận (Tái Bản),75000,100000,25,5.0,820,6909,Nguyễn Ngọc Tư,NXB Trẻ,NXB Trẻ,,Bìa mềm,220.0,2019-01-04,Tiki Trading,available,1000.0,False,True,True,nha-sach-tiki,sach-truyen-tieng-viet,sach-van-hoc,tac-pham-kinh-dien,tac-pham-kinh-dien-viet-nam
568762,Sách Tam Quốc Diễn Nghĩa (Trọn Bộ 04 Tập),238000,350000,32,4.7,758,3205,La Quán Trung,Khang Việt Book,Nhà Xuất Bản Văn Học,,Bìa cứng,,,khangvietbook,available,1000.0,True,True,True,nha-sach-tiki,sach-truyen-tieng-viet,sach-van-hoc,tac-pham-kinh-dien,tac-pham-kinh-dien-nuoc-ngoai
181974015,Sách Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng (Tập 5),86430,129000,33,4.8,728,2081,Mishima Yomu,Tsuki LightNovel,Nhà Xuất Bản Thế Giới,,Bìa mềm,397.0,2022-05-05,Tiki Trading,available,1000.0,False,True,True,nha-sach-tiki,sach-truyen-tieng-viet,sach-van-hoc,light-novel,
