feature,importance
number_of_page,0.0
is_heavy_book,0.0
publisher_vn_mapped_First News - Trí Việt,0.00011909202437659141
publisher_vn_mapped_Alphabooks,0.000145659916372448
is_high_rating,0.0001505250174947772
publisher_vn_mapped_AZ Việt Nam,0.00016262075166984167
publisher_vn_mapped_Alpha Books,0.0003408973831266336
cat_level_2_mapped_sach-tieng-anh,0.00037862815554408656
publisher_vn_mapped_Thái Hà,0.0004545342655769136
publisher_vn_mapped_Nhã Nam,0.000488473862944414
publisher_vn_mapped_1980 Books,0.0005664635264419999
publisher_vn_mapped_NXB Trẻ,0.0011346116425962041
cat_level_2_mapped_sach-truyen-tieng-viet,0.0012406204183687604
publisher_vn_mapped_Nhà Xuất Bản Kim Đồng,0.0017714805669288543
publisher_vn_mapped_Other,0.002007243864327274
publisher_vn_mapped_Nhà Sách Hồng Ân,0.005306915961013296
price,0.01735127435985969
discount_rate_norm,0.03425971195132162
rating_average,0.04159133947555355
log_review_count,0.8925299068564829
