id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279207000,[SÁCH NGOẠI VĂN] GUSTAV KLIMT. THE COMPLETE PAINTINGS – Tobias G. Natter – Trạm Đọc ,1288000,1288000,0,0,0,0,Tobias G. Natter,Alpha Books,Alphabooks,9783836562904,Bìa cứng,663,,BÌNH BÁN BOOK,available,1000,True,True,True
279206996,"[SÁCH NGOẠI VĂN] VAN GOGH. THE COMPLETE PAINTINGS – Ingo F. Walther, Rainer Metzger – Trạm Đọc ",2676000,2676000,0,0,0,0,"Ingo F. Walther, Rainer Metzger",Alpha Books,Alphabooks,9783836572934,Bìa cứng,751,,BÌNH BÁN BOOK,available,1000,True,True,True
279177330,Sách - Designing And Painting Murals by Gary Myatt,480000,480000,0,0,0,0,Many Authors,Independent Publishers Group,Independent Publishers Group,9781785005732,Bìa mềm,192,2019-02-18,Bookworm Hà Nội,available,1000,True,True,True
279148229,50 Spaces: Hà Nội - Huế - Sài Gòn (Sách Tiếng Anh - In Màu) - Lam Yên,262000,298000,12,0,0,0,Lam Yên,PHANBOOK,The Gioi Publisher,978-632-02-0195-2,Bìa mềm,280,,PHAN LỆ & FRIENDS,available,1000,True,True,True
279067044,Sách - I Paint What I Want to See by Philip Guston | Art History / Essays / Ngoại văn Nghệ thuật,380000,380000,0,0,0,0,Many Authors,Penguin Books,Penguin Books,9780241525715,Bìa mềm,271,2022-01-19,Bookworm Hà Nội,available,1000,True,True,True
278764555,Sách - 642 Things to Draw: Paris | Inventive Sketchbook (Pocket Size) | Ngoại văn Nhập khẩu,180000,180000,0,0,0,0,The Chronicles,Chronicle Books,Chronicle Books,9781452147284,Bìa mềm,304,2016-10-12,Bookworm Hà Nội,available,1000,True,True,True
278733259,"Sách - Spanish Painting: Spanische Malerei, Pintura Española 1200 - 1665 / English Art Book",680000,680000,0,0,0,0,Many Authors,Independent Publishers Group,Konemann,9783741929342,Bìa cứng,540,2020-10-07,Bookworm Hà Nội,available,1000,True,True,True
278733175,Sách - Toulouse-Lautrec by Hajo Duchting - Sách nghệ thuật tiếng Anh/ Art book in English,480000,480000,0,0,0,0,Many Authors,Independent Publishers Group,Konemann,9783955886745,Bìa cứng,288,2023-10-18,Bookworm Hà Nội,available,1000,True,True,True
278732923,Sách - Egon Schiele by Martina Padberg - Nghệ thuật tiếng Anh/ Art Book in English - Konemann UK,480000,480000,0,0,0,0,Many Authors,Independent Publishers Group,Konemann,9783955880996,Bìa cứng,288,2023-10-10,Bookworm Hà Nội,available,1000,True,True,True
278732919,Sách - Pissarro - Nghệ thuật tiếng Anh/ Art Book in English,480000,480000,0,0,0,0,Many Authors,Independent Publishers Group,Konemann,9783955886554,Bìa cứng,214,2023-10-20,Bookworm Hà Nội,available,1000,True,True,True
278730195,Sách - Dimensions: A 3D Colouring Book by François Gautier | Art & Design in English / Ngoại văn,280000,280000,0,0,0,0,Many Authors,Independent Publishers Group,Independent Publishers Group,9781912785711,Bìa mềm,96,2022-10-19,Bookworm Hà Nội,available,1000,True,True,True
278727726,"Sách - Art Nouveau: Glasgow, Amsterdam, New York by Thomas Hauffe / Art Book in English / Ngoại văn",680000,680000,0,0,0,0,Many Authors,Independent Publishers Group,Independent Publishers Group,9783741929335,Bìa cứng,408,2021-10-20,Bookworm Hà Nội,available,1000,True,True,True
278727535,Sách - Tales from the Inner City by Shaun Tan | Short Stories between Humans & Animals / Ngoại văn,580000,580000,0,0,0,0,Shaun Tan,,,,,,,,out_of_stock,,False,False,False
278724426,Sách - Gothic 1200-1500 (Art Periods & Movements Flexi) by Uta Hasekamp / English Art Book,680000,680000,0,0,0,0,Many Authors,Independent Publishers Group,Konemann,9783741929397,Bìa cứng,504,2020-10-21,Bookworm Hà Nội,available,1000,True,True,True
278532799,Sách - This is Cézanne by Jorella Andrews - Art / Biography in English / Sách Nghệ thuật Tiếng Anh,180000,180000,0,0,0,0,Jorella Andrews,Laurence King,Laurence King,9781780674780,Bìa cứng,80,2015-08-13,Bookworm Hà Nội,available,1000,True,True,True
278099065,Sách - Design & Illustrate: Fashion Figure Templates by Pepin Van Roojen,480000,480000,0,0,0,1,Pepin Van Roojen,Independent Publishers Group,Pepin Press,9789460098383,Bìa mềm,64,2018-06-18,Bookworm Hà Nội,available,1000,True,True,True
278022161,Sách - Oils In 10 Steps by Ian Sidaway - Art Book in English,380000,380000,0,0,0,0,Many Authors,Bounty,Bounty,9780753727355,Bìa mềm,144,2016-05-25,Bookworm Hà Nội,available,1000,True,True,True
278016515,Sách - Artless: Art & Illustration by Simple Means (An Elephant Book) by Marc Valli,680000,680000,0,0,0,0,Many Authors,Laurence King,Laurence King,9781780678535,Bìa cứng,272,2016-05-19,Bookworm Hà Nội,available,1000,True,True,True
277997751,Sách - This is Rembrandt - Art Book in English - Sách Nghệ thuật Tiếng Anh,180000,180000,0,0,0,0,Jorella Andrews,Laurence King,Laurence King,9781780677453,Bìa cứng,80,2016-05-20,Bookworm Hà Nội,available,1000,True,True,True
277739976,Sách - Painting Now by Suzanne Hudson - Nghệ thuật tiếng Anh/ Art book in English - Sách Ngoại văn,480000,480000,0,0,0,0,Many Authors,Thames & Hudson,Thames & Hudson,9780500294055,Bìa mềm,216,2015-05-22,Bookworm Hà Nội,available,1000,True,True,True
277739909,"Sách - My Art Teacher, Mr Matisse by Liana Jegers - Sách Ngoại văn, sách minh hoạ, bìa mềm",380000,380000,0,0,0,0,Many Authors,Hachette,Ilex,9781781575482,Bìa mềm,128,2018-04-20,Bookworm Hà Nội,available,1000,True,True,True
277553678,"Sách - The Practical Encyclopedia of Watercolour by Wendy Jelbert - Sách nghệ thuật, tiếng anh",680000,680000,0,0,0,0,Many Authors,Anness Publishing,Anness Publishing,9781782143895,Bìa cứng,256,2023-03-10,Bookworm Hà Nội,available,1000,True,True,True
275701964,Kawaii Doggies,499000,499000,0,0,0,0,Unknown Author,APD Singapore Pte Ltd,Rock Point,9780760379851,Paperback,144,,Nhà Sách Phương Nam,available,1000,True,True,True
275698519,Wall Art - Mandala,199000,199000,0,0,0,2,Lake Press,Lake Press,Lake Press,9780655228943,Paperback,40,,Nhà Sách Phương Nam,available,1000,True,True,True
274361190,Sights Of A City Saigon - Cholon: Paintings And Sketches,199000,199000,0,5,1,4,Phạm Công Tâm,Phương Nam Book,Nhà Xuất Bản Thế Giới,893200013458,Bìa cứng,100,,PHƯƠNG NAM BOOK,available,1000,True,True,True
274142702,Draw Amazing Manga Characters,459000,459000,0,5,1,1,堀越 耕平,Tuttle Publishing,Tuttle Publishing,9784805316771,Bìa mềm,224,,Nhà Sách Phương Nam,available,1000,True,True,True
274142612,A Beginner's Guide To Colored Pencil Drawing,469000,469000,0,0,0,1,堀越 耕平,Tuttle Publishing,Tuttle Publishing,9780804856249,Bìa mềm,128,,Nhà Sách Phương Nam,available,1000,True,True,True
274117539,Foiled Colouring: Tropical,99000,99000,0,0,0,0,Hinkler Books,Hinkler Books,Hinkler Books,9781488977220,Bìa mềm,32,,Nhà Sách Phương Nam,available,1000,True,True,True
274117498,Crystal Creations Canvas: Blue Cockatoo,339000,339000,0,0,0,0,Hinkler Books,Hinkler Books,Hinkler Books,9354537008994,Box,,,Nhà Sách Phương Nam,available,1000,True,True,True
273947886,Artbook - Sách Tiếng Anh - Dalí: The Paintings,1560000,1560000,0,5,1,3,Robert Nicholson,ARTBook,Taschen,9783836576246,Hardback + jacket,700,,Artbook,available,1000,True,True,True
273849334,Artbook - Sách Tiếng Anh - Anri Sala,960000,960000,0,0,0,0,Phaidon Editors,ARTBook,Phaidon Press,9780714845272,Bìa cứng,,,Artbook,available,1000,True,True,True
273656985,Artbook - Sách Tiếng Anh - Michael Raedecker,1920000,1920000,0,0,0,0,Martin Hewings,ARTBook,Phaidon Press,9781838666958,Hardback,304,2023-08-09,Artbook,available,1000,True,True,True
273306269,Colour Your Own Sweeticorns,199000,199000,0,0,0,0,Lake Press,Lake Press,Lake Press,9780655212423,Bìa mềm,40,,Nhà Sách Phương Nam,available,1000,True,True,True
272112144,Artbook - Sách Tiếng Anh - Anna Atkins: Cyanotypes,3250000,3250000,0,0,0,0,Dave Peterson,ARTBook,Taschen,9783836596039,Hard cover,660,,Artbook,available,1000,True,True,True
262701556,In A Japanese Garden Coloring Book,339000,339000,0,0,0,3,Lafcadio Hearn,Phương Nam Book,Tuttle Publishing,9784805314036,Bìa mềm,96,,Nhà Sách Phương Nam,available,1000,True,True,True
205824304,Artbook - Sách Tiếng Anh - Leonardo: The Complete Paintings And Drawings,1620000,1620000,0,5,1,0,Frank Zollner,,,,,,,,out_of_stock,,False,False,False
205728741,Artbook - Sách Tiếng Anh - Egon Schiele: The Complete Paintings 1909–1918,810000,810000,0,0,0,5,,ARTBook,Taschen,9783836581257,Hardback,512,2020-11-15,Artbook,available,1000,True,True,True
205162958,Artbook - Sách Tiếng Anh - Martius. The Book of Palms. 40th Ed.,810000,810000,0,0,0,0,H. Walter Lack,ARTBook,Taschen,9783836587815,Hardback,512,2022-07-11,Artbook,available,1000,True,True,True
161317459,Artbook - Sách Tiếng Anh - Masterpieces of Fantasy Art,5200000,5200000,0,0,0,0,,ARTBook,Taschen,9783836572101,Hardback,532,2020-11-08,Artbook,available,1000,True,True,True
140356065,Artbook - Sách Tiếng Anh - Hieronymus Bosch. The Complete Works. 40th Ed.,810000,810000,0,4,2,9,,ARTBook,Taschen,9783836587860,Hardback,512,2021-08-09,Artbook,available,1000,True,True,True
278733238,"Sách - French Painting: Franzosische Malerei, Pintura Francesa 1830 - 1920 by Valentin Grivet",680000,680000,0,0,0,0,Many Authors,Independent Publishers Group,Konemann,9783741929298,Bìa cứng,504,2020-10-15,Bookworm Hà Nội,available,1000,True,True,True
274142638,Drawing Manga Faces & Expressions,449000,449000,0,4,2,4,堀越 耕平,Tuttle Publishing,Tuttle Publishing,9784805317181,Bìa mềm,176,,Nhà Sách Phương Nam,available,1000,True,True,True
273849380,Artbook - Sách Tiếng Anh - Adam Pendleton,1120000,1120000,0,0,0,1,Phaidon Editors,ARTBook,Phaidon Press,9780714876580,Bìa cứng,,,Artbook,available,1000,True,True,True
273849336,Artbook - Sách Tiếng Anh - Simon Starling,1030000,1030000,0,0,0,0,Phaidon Editors,ARTBook,Phaidon Press,9780714864198,Bìa cứng,,,Artbook,available,1000,True,True,True
