id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278818764,Sách - Terrific Timelines Fashion by Isabel Thomas | Fashion / Design / Ngoại văn Nhập khẩu,350000,350000,0,0,0,0,Isabel Thomas,Laurence King,Laurence King,9781786273116,Bìa mềm,31,2018-07-26,Bookworm Hà Nội,available,1000,True,True,True
278804795,Sách - Vintage Fashion: Collecting & wearing designer classics by Sarah Kennedy | Bìa cứng,680000,680000,0,0,0,0,Many Authors,Welbeck Publishing Group,Welbeck Publishing Group,9781802790931,Bìa cứng,256,2022-10-12,Bookworm Hà Nội,available,1000,True,True,True
278052598,"Sách - Paris Street Style: Shoes by Isabelle Thomas , Frédérique Veysset - Fashion in English",280000,280000,0,0,0,0,"Isabelle Thomas , Frederique Veysset.",Harry N. Abrams,Harry N. Abrams,9781419715877,Bìa mềm,192,2015-05-10,Bookworm Hà Nội,available,1000,True,True,True
277995020,Sách - Fashion Image Revolution: The Art and Technique of Brian Dowling by Charlotte Cotton,880000,880000,0,0,0,0,Many Authors,Penguin Random House,Prestel Publishing,9783791383781,Bìa cứng,221,2018-05-15,Bookworm Hà Nội,available,1000,True,True,True
277915060,Oyster Perpetual Submariner : The Watch That Unlocked The Deep,4370000,4370000,0,0,0,1,Nicholas Tims,ARTBook,Wordsworth Editions,9781805218937,Bìa cứng,,,Artbook,available,1000,True,True,True
277554573,"Sách - The Ten: The stories behind the fashion classics by Lauren Cochrane - Sách nghệ thuật, tiếng anh",380000,380000,0,0,0,1,Many Authors,Welbeck Publishing Group,Welbeck Publishing Group,9781787395053,Bìa cứng,256,2021-03-22,Bookworm Hà Nội,available,1000,True,True,True
277549111,"Sách - The Colour of Fashion: The Story of Clothes in Ten Colours by Caroline Young - Sách nghệ thuật, tiếng anh",480000,480000,0,0,0,0,Caroline Young,Welbeck Publishing Group,Welbeck Publishing Group,9781802790849,Bìa cứng,256,2022-03-10,Bookworm Hà Nội,available,1000,True,True,True
276806428,The Knitwear Manual: An Industry Guide to Knitwear Design,1120000,1120000,0,0,0,2,Christian Stang,Fashionary,Fashionary,9789887711186,Bìa cứng,,,Artbook,available,1000,True,True,True
276716830,Cult Heels-Exceptional Talent In Shoe Design,1530000,1530000,0,0,0,0,Ursula Doyle,ARTBook,Loft Publications,9788499366593,Bìa cứng,,,Artbook,available,1000,True,True,True
276669626,Man Ray: The Liberated Portrait,1230000,1230000,0,0,0,1,Nathaniel,ARTBook,Thames & Hudson,9780500028117,Bìa cứng,,,Artbook,available,1000,True,True,True
276653612,Jewelry'S Shining Stars,2170000,2170000,0,0,0,0,Beth,ARTBook,Access Consciousness Publishing Company,9781788842402,Bìa cứng,,,Artbook,available,1000,True,True,True
276653164,Coco Chanel - Revolutionary Woman,1144000,1144000,0,0,0,0,Chiara Cioni,ARTBook,The White Partnership,9788854417403,Bìa cứng,,,Artbook,available,1000,True,True,True
276139482,It'S All About Metallics,1100000,1100000,0,0,0,0,Suzanne Duranceau,ARTBook,teNeues,9783961715688,Bìa cứng,,,Artbook,available,1000,True,True,True
276123514,"The Fashion Yearbook 2023 : Best Of Campaigns, Editorials And Covers",2380000,2380000,0,0,0,0,Julia March,ARTBook,Ace Trade,9783766726117,Bìa cứng,,,Artbook,available,1000,True,True,True
275875564,Little Book Of Chanel,429000,429000,0,0,0,3,堀越 耕平,,Carlton Books Ltd,9781780979021,Bìa mềm,160,,Nhà Sách Phương Nam,available,1000,True,True,True
275146528,Little Book of Fendi,480000,480000,0,0,0,0,Nicolaia Rips,ARTBook,3dtotal Publishing,9781802796537,Bìa cứng,,,Artbook,available,1000,True,True,True
275146520,Kew - Witch's Forest,510000,510000,0,0,0,0,Sandra Bleiner,ARTBook,Alfred A. Knopf,9781802795370,Bìa cứng,,,Artbook,available,1000,True,True,True
275115002,Little Book of Christian Louboutin,440000,440000,0,0,0,0,Dalai Lama,ARTBook,Abrams Books,9781787397392,Bìa cứng,,,Artbook,available,1000,True,True,True
275114918,Little Book of Yves Saint Laurent,480000,480000,0,0,0,0,Emma Heyderman,ARTBook,Feiwel & Friends,9781787395541,Bìa cứng,,,Artbook,available,1000,True,True,True
275107987,The Dress,1020000,1020000,0,0,0,1,Cesline Manillier,ARTBook,Baker Publishing Group,9781787399235,Bìa cứng,,,Artbook,available,1000,True,True,True
275107897,Sneakers,850000,850000,0,0,0,0,Neal Layton,ARTBook,Addison Wesley Longman,9781802790993,Bìa cứng,,,Artbook,available,1000,True,True,True
274779590,Stylepedia,1092000,1092000,0,5,2,18,Edited,ARTBook,Fashionary,9789881655035,Bìa cứng,,,Artbook,available,1000,True,True,True
274776507,FASHIONARY SHOE DESIGN A HANDBOOK FOR FOOTWEAR DESIGNERS,1000000,1000000,0,5,1,8,Kelsey De Weerd,ARTBook,Fashionary,9789881354716,Bìa cứng,,,Artbook,available,1000,True,True,True
274775059,Fashionary Bag Design A Handbook For Accessories Designers,1055000,1055000,0,0,0,5,Jim Roussin,ARTBook,Fashionary,9789887710806,Bìa cứng,,,Artbook,available,1000,True,True,True
274680752,The 1990S Fashion Book,1950000,1950000,0,0,0,0,Kanoh Arata,ARTBook,teNeues Publishing UK Ltd,9783961715206,Bìa cứng,,,Artbook,available,1000,True,True,True
274669790,What The Band Wore - Fashion & Music,1580000,1580000,0,0,0,0,Alice Hansen,ARTBook,Access Consciousness Publishing Company,9781788842310,Bìa cứng,,,Artbook,available,1000,True,True,True
274134512,Artbook - Sách Tiếng Anh - The Watch Book: Compendium - Revised Edition,3030000,3030000,0,0,0,1,Debbie Gisonni,ARTBook,teNeues,9783961715022,Hardback,536,2023-09-11,Artbook,available,1000,True,True,True
274124215,Little Book Of Paris Style : The Fashion Story Of The Iconic City,389000,389000,0,0,0,3,堀越 耕平,Welbeck Publishing Group,Welbeck Publishing Group,9781802792614,Bìa cứng,160,,Nhà Sách Phương Nam,available,1000,True,True,True
270812074,Artbook - Sách Tiếng Anh - Little Book Of Chanel,480000,480000,0,0,0,3,Emma Bache,ARTBook,Harper Collins,9781838611460,Hardback,,,Artbook,available,1000,True,True,True
