id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279206284,(Bìa cứng) D'HANCARVILLE. THE COMPLETE COLLECTION OF ANTIQUITIES FROM THE CABINET OF SIR WILLIAM HAMILTON – Pierre-Francoise Hugues d'Hancarville – Trạm Đọc,3313000,3313000,0,0,0,0,nhieu tac gia,Omega Plus,Alphabooks,987654321,Bìa cứng,513,,BÌNH BÁN BOOK,available,1000,True,True,True
276681771,Japan Typography Annual 2024,4580000,4580000,0,0,0,0,Janpan Foundation,ARTBook,PIE Books,9784756259011,Bìa cứng,,,Artbook,available,1000,True,True,True
276643536,Universal Principles Of Typography,1050000,1050000,0,0,0,1,Karen Elliott,ARTBook,Rockport Publishers,9780760383384,Bìa cứng,,,Artbook,available,1000,True,True,True
276637755,Universal Methods Of Design Expanded And Revised,910000,910000,0,0,0,2,Bruce Bond,ARTBook,Rockport Publishers,9781631597480,Bìa mềm,,,Artbook,available,1000,True,True,True
276178376,System Process Form Type As Algorithm,2550000,2550000,0,0,0,0,Paul A Davices,ARTBook,Thames & Hudson,9780500027349,Bìa cứng,,,Artbook,available,1000,True,True,True
275875123,100 Ideas That Changed Graphic Design,689000,689000,0,0,0,10,"Steven Heller, Véronique Vienne",,Laurence King,9781786273895,Bìa mềm,216,,Nhà Sách Phương Nam,available,1000,True,True,True
275699703,The Art of Drawing Manga: A Guide to Learning The Art of Drawing Manga-step by Easy Step by Talia Horsburgh (Author),599000,599000,0,0,0,1,Kindle Edition,APD Singapore Pte Ltd,Walter Foster Publishing,9780760375440,Paperback,144,,Nhà Sách Phương Nam,available,1000,True,True,True
275107249,The Brand Book,740000,740000,0,5,1,4,Daryl Gregory,ARTBook,Laurence King,9781529420173,Bìa mềm,,,Artbook,available,1000,True,True,True
275107009,Graphic Design Play Book,630000,630000,0,0,0,0,Sophie Bellier,ARTBook,Laurence King,9781786273963,Bìa mềm,,,Artbook,available,1000,True,True,True
274776545,Palette Mini 07: Monotone,800000,800000,0,0,0,0,Adelina Lirius,ARTBook,Victionary,9789887462866,Bìa mềm,,,Artbook,available,1000,True,True,True
274776409,Palette 08: Iridescent: Holographics In,1200000,1200000,0,0,0,0,Victionary,ARTBook,Victionary,9789887774723,Bìa mềm,,,Artbook,available,1000,True,True,True
205708509,All-American Ads Of The 50S,1010000,1010000,0,0,0,3,Jim Heimann,ARTBook,Taschen,9783836551328,Hardback,680,2018-06-10,Artbook,available,1000,True,True,True
99081813,Copywriting,640000,640000,0,0,0,14,,ARTBook,Laurence King Publishing,9781780670003,,,,Artbook,available,1000,True,True,True
