id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279071403,Sách - Steps Towards a Small Theory of the Visible by John Berger | Art / Nonfiction / Ngoại văn,280000,280000,0,0,0,0,John Berger,Penguin Classics,Penguin Classics,9780241472873,Bìa mềm,128,2020-11-23,Bookworm Hà Nội,available,1000,True,True,True
278056951,Sách - Wildlife Photography by Richard Bernabe - From First Principles To Professional Results,580000,580000,0,0,0,1,Many Authors,Hachette UK,Ilex,9781781575123,Bìa mềm,240,2018-06-19,Bookworm Hà Nội,available,1000,True,True,True
277837144,Sách - Gustav Klimt by Janina Nentwig by Janina Nentwig - Sách nghệ thuật bằng tiếng anh/ Art Book in English,380000,380000,0,0,0,0,Many Authors,Independent Publishers Group,Konemann,9783955881078,Bìa cứng,216,2016-04-13,Bookworm Hà Nội,available,1000,True,True,True
277603479,"Sách - Fashion China by Gemma A. Williams - Sách tiếng anh, bìa mềm, Sách Nghệ thuật, Thiết kế / Art, Design Book",480000,480000,0,0,0,0,Many Authors,Thames and Hudson Ltd,Thames and Hudson Ltd,9780500291641,Bìa mềm,256,2015-04-25,Bookworm Hà Nội,available,1000,True,True,True
277574688,Sách - Understanding a Photograph by John Berger editted and introduced by Geoff Dyer - Penguin Modern Classics,380000,380000,0,0,0,1,John Berger,Penguin Books,Penguin Books,9780141392028,Bìa mềm,220,2013-03-26,Bookworm Hà Nội,available,1000,True,True,True
277555073,"Sách - Leonardo by Daniel Kiecol - Sách nghệ thuật, tiếng anh",480000,480000,0,0,0,0,Many Authors,Independent Publishers Group,Konemann,9783955881153,Bìa cứng,216,2020-03-25,Bookworm Hà Nội,available,1000,True,True,True
277554885,Sách - Spanish Painting 1665 - 1920 - Nghệ thuật tiếng Anh/ Art Book in English,680000,680000,0,0,0,0,Many Authors,Independent Publishers Group,Konemann,9783741929359,Bìa mềm,539,2020-03-24,Bookworm Hà Nội,available,1000,True,True,True
277548771,Sách - Renoir by Martina Padberg - Nghệ thuật tiếng Anh/ Art Book in English,480000,480000,0,0,0,0,Many Authors,Independent Publishers Group,Konemann,9783955886592,Bìa cứng,240,2014-03-03,Bookworm Hà Nội,available,1000,True,True,True
277548693,Sách - Gauguin by Armelle Femelat - Nghệ thuật tiếng Anh/ Art Book in English,480000,480000,0,0,0,0,Many Authors,Independent Publishers Group,Konemann,9783955886288,Bìa cứng,288,2023-03-22,Bookworm Hà Nội,available,1000,True,True,True
277544825,Sách - Caravaggio by Ruth Dangelmaier - Nghệ thuật tiếng Anh/ Art Book in English,480000,480000,0,0,0,0,Many Authors,Independent Publishers Group,Konemann,9783955886158,Bìa cứng,211,2010-03-11,Bookworm Hà Nội,available,1000,True,True,True
