id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278813344,Sách - Virgin by Design by Nick Carson | Ngoại văn Nhập khẩu / Bìa cứng,780000,780000,0,0,0,0,Many Authors,Thames & Hudson,Thames & Hudson,9780500022931,Bìa cứng,328,2020-10-13,Bookworm Hà Nội,available,1000,True,True,True
278813237,Sách - Short Introduction to Religion by Gordon Kerr - Religion book in English - Sách Ngoại Văn,350000,350000,0,0,0,0,Gordon Kerr,Independent Publishers Group,Independent Publishers Group,9780857301703,Bìa mềm,256,2019-05-07,Bookworm Hà Nội,available,1000,True,True,True
278812658,Sách - The Essential by Dalai Lama | Nonfiction / Spirituality / Buddhism / Ngoại văn Nhập khẩu,280000,280000,0,0,0,0,Dalai Lama,Independent Publishers Group,Independent Publishers Group,9780340834961,Bìa mềm,258,2006-08-15,Bookworm Hà Nội,available,1000,True,True,True
278812324,Sách - God's Philosophers by James Hannam - History/Science/Philosophy book in English - Ngoại Văn,350000,350000,0,0,0,0,Many Authors,,,,,,,,out_of_stock,,False,False,False
277740021,"Sách - Vietnamese Art by Phạm Quang Vinh - Sách Nghệ Thuật, Tiếng Anh, Nhà Xuất Bản Kim Đồng",280000,280000,0,0,0,1,Phạm Quang Vinh,Kim Đồng,Nhà Xuất Bản Kim Đồng,9786042372510,Bìa cứng,182,2024-04-10,Bookworm Hà Nội,available,1000,True,True,True
274082691,Artbook - Sách Tiếng Anh - domus 1940–1949,1040000,1040000,0,0,0,0,Charlotte & Peter Fiell,ARTBook,Taschen,9783836593830,Bìa cứng,,,Artbook,available,1000,True,True,True
271515440,Artbook - Sách Tiếng Anh - The Cyclades: Greek Island Paradise,1760000,1760000,0,0,0,0,,ARTBook,teNeues,9783961714513,Bìa cứng,,,Artbook,available,1000,True,True,True
205714887,Artbook - Sách Tiếng Anh - Astrology: The Library of Esoterica,1080000,1080000,0,0,0,5,,ARTBook,Taschen,9783836579889,Hard cover,520,2021-04-20,Artbook,available,1000,True,True,True
205229099,All-American Ads of the 80s,1010000,1010000,0,0,0,0,Steven Heller,ARTBook,Taschen,9783836588614,Hardback,640,2022-08-08,Artbook,available,1000,True,False,True
91998808,Sách - Khơi lửa sông Nile,95000,119000,20,5,1,3,,Alphabooks,Nhà Xuất Bản Thế Giới,0,,,,Omega Plus Books,available,1000,True,True,True
91986414,Sách - Đi bộ xuyên việt với cây đàn Guitar,99000,124000,20,0,0,1,,Alphabooks,Nhà Xuất Bản Thanh Niên,0,,,,Omega Plus Books,available,1000,True,True,True
91985010,Sách - Đi như tờ giấy trắng,95000,119000,20,0,0,1,,Alphabooks,Nhà Xuất Bản Văn Học,0,,,,Omega Plus Books,available,1000,True,True,True
91984762,Sách - Danh họa thế giới Hokusai ,299000,299000,0,0,0,0,,Alphabooks,Nhà Xuất Bản Thế Giới,0,,128,,info book,available,1000,True,True,True
4682633,Sách Vietnamese Street Food,808900,834000,3,5,1,2,"Tracey Lister, Andreas Pohl",Hardie Grant Reprint edition,Hardie Grant Reprint edition,9781742704890,Paperback,206,2013-05-02,Nhà sách Fahasa,available,1000,True,False,True
4682621,Sách Vibrant Vietnam,460300,495000,7,5,2,15,,Nhà Xuất Bản Dân Trí,Nhà Xuất Bản Dân Trí,9786048858827,Bìa cứng,,,Nhà sách Fahasa,available,1000,True,True,True
4682613,Sách Sai Gon Panorama,367300,395000,7,5,1,12,,Nhà Xuất Bản Dân Trí,Nhà Xuất Bản Dân Trí,9786048806736,Bìa cứng,,,Nhà sách Fahasa,available,1000,True,True,True
