id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278697931,Sách Ngoại Văn - The Black Swan: The Impact of the Highly Improbable (by Nassim Nicholas Taleb (Author)),399000,399000,0,0,0,0,Nassim Nicholas Taleb,Gieobooks,,,Paperback,,,Tazano Official Store,available,1000,True,True,True
275852640,Elon Musk Hardback,599000,599000,0,0,0,0,Harpercollins,Harper Collins,,,Bìa cứng,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
275198955,Transitional,499000,499000,0,0,0,0,Randall Munroe,Penguin,,,Bìa cứng,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
208056336,How To Change Your Mind : The New Science Of Psychedelics,444200,458000,3,0,0,7,Michael Pollan,Penguin Books,,,,,,Nhà sách Fahasa,available,1000,True,True,True
198996168,Landslide,437900,461000,5,0,0,0,Michael Wolff,Hachette UK Distribution,,,,,,Nhà sách Fahasa,available,1000,True,True,True
198495293,The Cult Of We : Wework And The Great Start-up Delusion,198500,209000,5,0,0,2,,Usborne,,,,,,Nhà sách Fahasa,available,1000,True,True,True
198495204,Tolkien And The Great War: The Threshold Of Middle-earth,198500,209000,5,0,0,1,John Garth,Usborne,,,,,,Nhà sách Fahasa,available,1000,True,True,True
197821209,Business Is Personal: The Truth About What It Takes To Be Successful While Staying True To Yourself,635500,669000,5,0,0,1,,Hachette Book Group,,,,,,Nhà sách Fahasa,available,1000,True,True,True
195994059,Cowgirl Power: How To Kick Ass In Business And Life,350500,369000,5,0,0,0,,Hachette Book Group,,,,,,Nhà sách Fahasa,available,1000,True,True,True
195696963,Beyond: The Astonishing Story Of The First Human To Leave Our Planet And Journey Into Space,292600,308000,5,4,1,1,,Usborne,,,,,,Nhà sách Fahasa,available,1000,True,True,True
195696961,Let Me Tell You What I Mean,301100,317000,5,0,0,4,Joan Didion,Usborne,,,,,,Nhà sách Fahasa,available,1000,True,True,True
195472239,Disrupting The Game: From The Bronx To The Top Of Nintendo,418900,441000,5,0,0,0,,HarperCollins Publishers,,,,,,Nhà sách Fahasa,available,1000,True,True,True
191780401,Memorial Drive: A Daughter's Memoir,437900,461000,5,0,0,0,Natasha Trethewey,HarperCollins Publishers,,,,,,Nhà sách Fahasa,available,1000,True,True,True
102758303,World Wild Vet: Encounters In The Animal Kingdom,537700,566000,5,0,0,0,Evan Antin,Macmillan US,Henry Holt and Co.,9781250314482,,,,Nhà sách Fahasa,available,1000,True,True,True
101262459,All Creatures Great And Small: The Classic Memoirs Of A Yorkshire Country Vet,461700,477000,3,0,0,2,James Herriot,Macmillan Publishers,Pan MacMillan,9781447225997,,,,Nhà sách Fahasa,available,1000,True,False,True
73668556,Hard Pushed: A Midwife’s Story,170000,179000,5,5,1,2,Leah Hazard,Grantham Book Services,Arrow,9781787464216,,,,Nhà sách Fahasa,available,1000,True,True,True
73492440,Unorthodox: The Scandalous Rejection Of My Hasidic Roots,322000,339000,5,0,0,0,Deborah Feldman,Simon and Schuster,Simon & Schuster,9781982148201,,,,Nhà sách Fahasa,available,1000,True,True,True
55422791,"Furious Hours: Murder, Fraud, And The Last Trial Of Harper Lee",421800,444000,5,0,0,0,Casey Cep,Random House,Knopf,9781101947869,,,,Nhà sách Fahasa,available,1000,True,True,True
44605219,Three Weeks With My Brother,310600,327000,5,5,1,3,"Nicholas Sparks, Nicholas Sparks",Hatchette USA,,9780446694858,,,,Nhà sách Fahasa,available,1000,True,True,True
3521353,The Truth about Trump,208000,208000,0,0,0,12,Michael D'antonio,Macmillan,St. Martin's Press,9781250116956,Bìa mềm,504,,Foreignbooks,available,1000,True,True,True
1586103,Sách Elon Musk: How The Billionaire CEO Of Spacex And Tesla Is Shaping Our Future,239000,239000,0,0,0,0,Ashlee Vance,Penguin Random House,,,Mass market paperback,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
516308,Sách Steve Jobs Thinking Differently,215000,215000,0,0,0,6,Patricia Lakin,Simon & Schuster,Simon & Schuster,9781442453937,Paperback,192,2013-02-25,Foreignbooks,available,1000,True,False,True
