id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278825394,Sách - Popism (Penguin Modern Classics) by Andy Warhol | English Biography - Nonfiction,350000,350000,0,0,0,0,Many Authors,Penguin,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278818795,Sách - Scar Tissue by Anthony Kiedis | Music Nonfiction / Biography / Memoir / Ngoại văn,350000,350000,0,0,0,0,Anthony Kiedis,Sphere,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278815790,Sách - The Mammoth Book of Bob Dylan by Sean Egan | English Anthology / Biography / Poetry,350000,350000,0,0,0,0,Many Authors,Little Brown and Company,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278727317,Sách - John Lennon: A Photographic History - A Complete Story by Rickayzen Clayton Thomas,680000,680000,0,0,0,0,Many Authors,Atlantic Books,,,Bìa cứng,,,Bookworm Hà Nội,available,1000,True,True,True
278708576,Sách - The Rejects by Jamie Collinson | History of Popular Music English Book | Sách ngoại văn,480000,480000,0,0,0,0,Many Authors,Little Brown,,,Bìa cứng,,,Bookworm Hà Nội,available,1000,True,True,True
277605082,Sách - The Complete John Lennon Songs by Paul Du Noyer - Sách Ngoại văn - English Book - Bìa cứng,680000,680000,0,0,0,0,Many Authors,Welbeck Publishing Group,,,Bìa cứng,,,Bookworm Hà Nội,available,1000,True,True,True
277551633,Sách - Philosophers: Their Lives and Works by DK - Sách tiếng anh,680000,680000,0,0,0,0,DK,DK Publishing,,,Bìa cứng,,,Bookworm Hà Nội,available,1000,True,True,True
274135178,Biden,409000,409000,0,0,0,0,堀越 耕平,,,,Bìa cứng,,,Nhà Sách Phương Nam,available,1000,True,True,True
272558534,All Creatures Great and Small,372465,418500,11,0,0,0,nhieu tac gia,HarperCollins,,,Bìa mềm,,,Blue Horizon Books,available,1000,True,True,True
23439029,"Sách ""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character as Told to Ralph Leighton",359000,359000,0,4.8,13,62,Richard P Feynman,Penguin Random House,Penguin Random House,9780099173311,,,,Nhà sách Fahasa,available,1000,True,True,True
22986051,Sách Atomic Habits,527000,527000,0,5,156,865,Random House Business,Penguin Random House,Penguin Random House,9781847941831,Bìa mềm,,,Nhà sách Fahasa,available,1000,True,False,True
22866123,Lean In for Graduates,635500,669000,5,5,5,53,Sheryl Sandberg,Knopf,,9780385353670,,,,Nhà sách Fahasa,available,1000,True,True,True
7448487,Sách Becoming,520000,520000,0,0,0,1,Michelle Obama,Penguin Random House,,9780241334140,Hardback,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
3696577,Maradona: The Hand of God,299000,299000,0,5,1,11,,,Bloomsbury,9781408810620,Paperback,273,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
958326,Sách The Immortal Life Of Henrietta Lacks,169000,169000,0,0,0,7,Rebecca Skloot,Penguin Random House,PENGUIN RANDOM HOUSE LLC,9780307888440,Paperback,460,2015-01-12,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
