id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279262051,Letters from a Stoic,349000,349000,0,0,0,0,Seneca,Penguin,,,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
278817886,Sách - A Brief History of Florence Nightingale: Her Legacy Revolution in Public Health - Hugh Small,280000,280000,0,0,0,0,Many Authors,Little Brown,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278816112,Sách - The Long Walk: The True Story Of A Trek To Freedom by Slavomir Rawicz | Memoir / Nonfiction,280000,280000,0,0,0,0,Many Authors,Little Brown and Company,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278739558,Sách - The Man Who Broke into Auschwitz: A True Story of World War II by Denis Avey | Biography,350000,350000,0,0,0,0,Many Authors,Hodder & Stoughton,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278727558,Sách - Keanu Reeves: Most Triumphant by Alex Pappademas | Pop Culture Film Biography | English Book,480000,480000,0,0,0,0,Many Authors,Abrams Books,,,Bìa cứng,,,Bookworm Hà Nội,available,1000,True,True,True
278619950,Sách - If This Is A Man / The Truce by Primo Levi | English Classic Memoir of the Holocaust,350000,350000,0,0,0,0,Primo Levi,Abacus,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
277588099,"Sách - Night by Elie Wiesel - Sách tiếng anh, Bìa mềm",280000,280000,0,0,0,0,Elie Wiesel,Penguin Books,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
277573680,Sách - Putin And The Return Of History How The Kremlin Rekindled the Cold War by Martin Sixsmith,580000,580000,0,0,0,0,Martin Sixsmith,Bloomsbury,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
277549521,Sách - Russian Roulette: The Life And Times Of Graham Greene by Richard Greene - Sách tiếng anh,680000,680000,0,0,0,0,Many Authors,"Little, Brown & Company",,,Bìa cứng,,,Bookworm Hà Nội,available,1000,True,True,True
277543821,Sách - Revolutions: How They Changed History And What They Mean Today by Peter Furtado - English Book - Sách Ngoại văn,580000,580000,0,0,0,0,Many Authors,Thames and Hudson Ltd,,,Bìa cứng,,,Bookworm Hà Nội,available,1000,True,True,True
