id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279044074,Sách ngoại văn: The Five Talents That Really Matter,523400,551000,5,0,0,0,nhieu tac gia,Hachette Book Group,Nhiều Nhà Xuất Bản,9780306836381,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279043494,Sách ngoại văn: Pattern Breakers,494000,520000,5,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781035055081,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279041731,Sách ngoại văn: HBR's 10 Must Reads - On Managing Projects And Initiatives,570300,588000,3,0,0,0,nhieu tac gia,Ingram Academic Services,Nhiều Nhà Xuất Bản,9781647826932,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279041086,"Sách ngoại văn: The Apprentice - Trump, Russia And The Subversion Of American Democracy",228000,240000,5,0,0,1,Greg Miller,Usborne,Nhiều Nhà Xuất Bản,9780008325787,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279039799,Sách ngoại văn: The Six Disciplines Of Strategic Thinking,721000,759000,5,0,0,1,Michael D. Watkins,HarperCollins Publishers,Nhiều Nhà Xuất Bản,9780063357969,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038182,Sách ngoại văn: Green Living Made Easy,322000,339000,5,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781529088571,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038168,Sách ngoại văn: Change Their Mind,481100,496000,3,0,0,0,nhieu tac gia,Pearson Education,Nhiều Nhà Xuất Bản,9781292406794,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038166,Sách ngoại văn: The Good Enough Job,455000,479000,5,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780593538968,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038062,Sách ngoại văn: Once Upon Tomorrow,577600,608000,5,0,0,0,nhieu tac gia,Simon and Schuster,Nhiều Nhà Xuất Bản,9781637632659,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038020,Sách ngoại văn: Brilliant Coaching,533900,562000,5,0,0,0,nhieu tac gia,Pearson Education,Nhiều Nhà Xuất Bản,9781292725567,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279037822,Sách ngoại văn: 100% Capacity - The End Of Gender Balance As We Know It Paperback,459800,484000,5,0,0,0,nhieu tac gia,Macmillan US,Nhiều Nhà Xuất Bản,9781774583579,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279037536,Sách ngoại văn: I Survived Capitalism And All I Got Was This Lousy T-Shirt,484500,510000,5,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780385549783,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279036639,Sách ngoại văn: Essentialism - The Disciplined Pursuit Of Less,301600,311000,3,0,0,0,Greg McKeown,Penguin Books,Nhiều Nhà Xuất Bản,9780804137409,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279036599,Sách ngoại văn: 15 Lies Women Are Told At Work,668800,704000,5,0,0,0,Bonnie Hammer,Simon and Schuster,Nhiều Nhà Xuất Bản,9781668027615,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279036416,Sách ngoại văn: The Inevitable,437900,461000,5,0,0,0,Kevin Kelly,Penguin Books,Penguin Books,9780143110378,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279034860,Sách ngoại văn: All In,668800,704000,5,0,0,0,Mike Michalowicz,Penguin Books,Penguin Books,9780593544501,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279033386,Sách ngoại văn: Multigenerational Workplace (HBR Insights),530100,558000,5,0,0,0,nhieu tac gia,Ingram Academic Services,Nhiều Nhà Xuất Bản,9781647825003,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279033336,Sách ngoại văn: HBR's 10 Must Reads On Managing Yourself Vol. 2,664000,699000,5,0,0,0,nhieu tac gia,Ingram Academic Services,Nhiều Nhà Xuất Bản,9781647820800,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279033090,Sách ngoại văn: Negotiation Made Simple,460700,485000,5,0,0,0,nhieu tac gia,HarperCollins Publishers,Nhiều Nhà Xuất Bản,9781400233878,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032926,Sách ngoại văn: Master The Art Of Trading,418000,431000,3,0,0,0,nhieu tac gia,Grantham Book Services,Nhiều Nhà Xuất Bản,9781788708845,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032866,Sách ngoại văn: HBR Guide To Your Job Search (HBR Guide),523400,551000,5,0,0,0,nhieu tac gia,Ingram Academic Services,Nhiều Nhà Xuất Bản,9781647825935,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032860,Sách ngoại văn: The Age Of Prediction,717200,755000,5,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780262047739,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032731,Sách ngoại văn: Arriving Today,539600,568000,5,0,0,0,nhieu tac gia,HarperCollins Publishers,Nhiều Nhà Xuất Bản,9780062987952,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032687,Sách ngoại văn: HBR Guide To Navigating The Toxic Workplace (HBR Guide),596500,615000,3,0,0,0,nhieu tac gia,Ingram Academic Services,Nhiều Nhà Xuất Bản,9781647825904,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279030960,Sách ngoại văn: How Innovation Works,326800,344000,5,0,0,1,Matt Ridley,HarperCollins Publishers,Harper Perennial,9780062916600,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279030948,Sách ngoại văn: No B.S. Guide To Direct Response Social Media Marketing,530100,558000,5,0,0,0,Dan S. Kennedy,Ingram Academic Services,Entrepreneur Press,9781599186627,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279030524,Sách ngoại văn: Influencer - Building Your Personal Brand In The Age Of Social Media,330600,348000,5,0,0,0,Brittany Hennessy,Penguin Books,Citadel,9780806538853,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279030507,Sách ngoại văn: The Song Of Significance,415100,437000,5,0,0,0,Seth Godin,Penguin Books,Portfolio,9780593715543,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279029739,Sách ngoại văn: Blink,303000,303000,0,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780141014593,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279027707,Sách ngoại văn: 100 Business Tools For Success,435100,458000,5,0,0,0,Jeremy Kourdi,Hachette UK Distribution,Nhiều Nhà Xuất Bản,9781529387179,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278967880,Sách ngoại văn: Generative AI (HBR Insights),624600,644000,3,0,0,0,Harvard Business Review,Ingram Academic Services,Nhiều Nhà Xuất Bản,9781647826390,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278942920,Sách ngoại văn: Eat That Frog! - Fourth Edition,411000,411000,0,0,0,0,Brian Tracy,Penguin Books,Berrett-Koehler Publishers,9798890570925,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278831044,Sách ngoại văn: Possible,709600,747000,5,0,0,0,William Ury,HarperCollins Publishers,Harvard Business Press,9780063286900,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278831010,Sách ngoại văn: Executive Presence 2.0,822700,866000,5,0,0,0,Sylvia Ann Hewlett,HarperCollins Publishers,Harvard Business Press,9780063270558,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278818751,"Sách - Company of One by Paul Jarvis - Kinh tế, Kinh doanh tiếng Anh/ Business book in English",350000,350000,0,0,0,0,Paul Jarvis,Penguin,Penguin,9780241644775,Bìa mềm,249,2020-07-27,Bookworm Hà Nội,available,1000,True,True,True
278719130,Sách ngoại văn: Pre-Suasion - A Revolutionary Way To Influence And Persuade,576100,594000,3,0,0,0,Robert Cialdini Ph.D.,Simon and Schuster,Simon & Schuster,9781501109805,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278710303,Sách ngoại văn: Hacking Growth: How Today's Fastest - Growing Companies Drive Breakout Success,543400,572000,5,0,0,0,Sean Ellis,Penguin Books,Virgin Books,9780753545379,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
195657301,Sách Self-help Tiếng Anh - How Innovation Works,374868,421200,11,0,0,0,Matt Ridley,Harper Perennial,Harper Perennial,,Bìa mềm,432,,Blue Horizon Books,available,1000,True,True,True
14273749,Sách Midas Touch Intl,210900,222000,5,0,0,11,Trump Donald J,Ingram,Ingram,9781612680941,Paperback,313,1900-01-20,Nhà sách Fahasa,available,1000,True,True,True
556076,Sách The $100 Startup,334600,345000,3,0,0,10,,Penguin Random House,Penguin Random House US,9780451496645,Paperback,,2012-03-20,Nhà sách Fahasa,available,1000,True,True,True
279046436,Sách ngoại văn: Getting To Neutral,420800,443000,5,0,0,0,nhieu tac gia,HarperCollins Publishers,Nhiều Nhà Xuất Bản,9780063111912,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279046414,Sách ngoại văn: How To Thrive In The Virtual Workplace,261200,275000,5,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781529068252,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279046110,Sách ngoại văn: For The Culture,523400,551000,5,0,0,0,nhieu tac gia,Hachette Book Group,Nhiều Nhà Xuất Bản,9781541700970,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279045806,Sách ngoại văn: 50 Management Ideas You Really Need To Know,364800,384000,5,0,0,0,nhieu tac gia,Hachette UK Distribution,Nhiều Nhà Xuất Bản,9781529438420,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279045780,Sách ngoại văn: The Cold Start Problem,339000,339000,0,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9781847942791,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279045112,Sách ngoại văn: Winner Sells All,709600,747000,5,0,0,0,nhieu tac gia,HarperCollins Publishers,Nhiều Nhà Xuất Bản,9780063076327,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279044736,Sách ngoại văn: Ask For More - 10 Questions To Negotiate Anything,392800,405000,3,0,0,0,nhieu tac gia,Simon and Schuster,Nhiều Nhà Xuất Bản,9781982130497,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279044500,Sách ngoại văn: Becoming A Changemaker,587800,606000,3,0,0,0,nhieu tac gia,Hachette Book Group,Nhiều Nhà Xuất Bản,9781538707777,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
