id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279138811,"Sách - 23 Things They Don't Tell You about Capitalism by Ha Joon Chang - Economics ,Nonfiction",350000,350000,0,0,0,0,Ha Joon Chang,Penguin Books,Penguin Books,9780141047973,Bìa mềm,286,2011-01-05,Bookworm Hà Nội,available,1000,True,True,True
279101188,Sách - The Great Transformation: The Political and Economic Origins of Our Time by Karl Polanyi,380000,380000,0,0,0,0,Many Authors,Penguin Classics,Penguin Classics,9780241685556,Bìa mềm,358,2024-01-10,Bookworm Hà Nội,available,1000,True,True,True
279100158,Sách - Money by Yuval Noah Harari | (Vintage Minis) | Nonfiction | History | Economics,220000,220000,0,0,0,0,Yuval Noah Harari,Vintage,Vintage,9781784874025,Bìa mềm,133,2018-01-25,Bookworm Hà Nội,available,1000,True,True,True
279046096,Sách ngoại văn: Meltdown,504400,520000,3,0,0,1,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781035037476,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038200,Sách ngoại văn: Taxocracy,679000,700000,3,0,0,0,nhieu tac gia,Simon and Schuster,Nhiều Nhà Xuất Bản,9798888451908,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279029122,Sách ngoại văn: Winning From Within,721000,759000,5,0,0,0,nhieu tac gia,HarperCollins Publishers,Nhiều Nhà Xuất Bản,9780062213020,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278810660,Sách - Misbehaving: The Making of Behavioural Economics by Michael Lewis - Economic Book in English,350000,350000,0,0,0,1,Richard H Thaler,Penguin,Penguin,9781802067965,Bìa mềm,415,2016-05-12,Bookworm Hà Nội,available,1000,True,True,True
278607292,Sách - Rich Dad Poor Dad by Robert T. Kiyosaki | Finance / Business / Nonfiction in English,380000,380000,0,0,0,1,Robert T. Kiyosaki,Plata Publishing,Plata Publishing,9781612681139,Bìa mềm,352,2017-09-19,Bookworm Hà Nội,available,1000,True,True,True
278591258,Sách - Edible Economics: A Hungry Economist Explains The World by Ha-Joon Chang,480000,480000,0,0,0,0,Ha-Joon Chang,Hachette Book Group,Public Affairs,9781541703551,Bìa mềm,191,2022-08-25,Bookworm Hà Nội,available,1000,True,True,True
278525930,Sách - The Ascent Of Money by Niall Ferguson - History /  Economics / Finance Nonfiction - English Book ,580000,580000,0,0,0,1,Niall Ferguson,Penguin,Penguin,9780141990262,Bìa mềm,546,2019-08-15,Bookworm Hà Nội,available,1000,True,True,True
