customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
17198728,526084,,53660,Nhà sách Fahasa,3,,,2025-07-21 06:21:21+00:00,2025-07-25 12:25:28+00:00,20170052
79602,526084,,1,Tiki Trading,2,,,2021-05-04 17:14:17+00:00,,9793888
7394636,526084,,53660,Nhà sách Fahasa,1,,,2022-01-15 08:11:15+00:00,2022-01-20 10:56:33+00:00,15886603
20007751,526084,,53660,Nhà sách Fahasa,4,,,2022-01-25 09:12:12+00:00,2022-01-27 19:26:07+00:00,14743106
5805473,526084,,53660,Nhà sách Fahasa,3,,,2022-01-22 16:42:27+00:00,2022-01-24 15:56:35+00:00,14693890
18403853,526084,,53660,Nhà sách Fahasa,3,,,2021-12-26 16:13:00+00:00,2021-12-31 19:25:47+00:00,14353312
8622284,526084,,73,CDIMEX,3,,,2021-07-12 02:49:34+00:00,2021-07-14 11:38:16+00:00,12313444
15621902,526084,,53660,Nhà sách Fahasa,3,,,2021-11-23 14:17:41+00:00,2021-11-28 17:56:15+00:00,13686188
10628306,526084,,1,Tiki Trading,1,,,2019-10-10 07:03:46+00:00,2019-10-11 11:50:28+00:00,3287443
12163473,526084,,1,Tiki Trading,1,,,2021-04-27 10:10:07+00:00,2021-05-02 09:11:20+00:00,9474179
22194381,526084,,1,Tiki Trading,4,,,2021-07-19 02:03:20+00:00,2021-07-19 16:05:52+00:00,12534045
17448900,526084,,1,Tiki Trading,4,,,2021-08-26 14:15:40+00:00,2021-08-28 08:40:45+00:00,12034227
20277104,526084,,53660,Nhà sách Fahasa,3,,,2021-04-07 07:45:09+00:00,2021-04-09 11:11:12+00:00,10206697
6547158,526084,,53660,Nhà sách Fahasa,2,,,2021-03-30 09:10:02+00:00,2021-03-31 09:57:54+00:00,8863513
18117924,526084,,1,Tiki Trading,2,,,2020-08-17 09:12:49+00:00,2020-08-18 15:18:47+00:00,4599676
8278050,526084,,1,Tiki Trading,1,,,2020-10-14 05:43:08+00:00,2020-10-15 13:49:38+00:00,6549349
5340362,526084,,1,Tiki Trading,3,,,2020-10-02 12:00:36+00:00,2020-10-05 14:57:02+00:00,6117063
6190648,526084,,1,Tiki Trading,1,,,2020-11-27 06:36:25+00:00,2020-11-28 07:45:12+00:00,5797258
77582,526084,,1,Tiki Trading,4,,,2020-04-22 01:50:41+00:00,2020-04-22 14:46:24+00:00,3841614
1671020,339347,,1,Tiki Trading,2,,,2021-08-03 17:51:32+00:00,2021-08-06 11:21:14+00:00,12181824
1227848,339347,,1,Tiki Trading,3,,,2021-08-02 11:16:29+00:00,2021-08-03 10:57:09+00:00,11971808
14343245,339347,,1,Tiki Trading,2,,,2021-01-17 14:07:31+00:00,2021-01-21 16:37:55+00:00,8277691
6810542,339347,,53660,Nhà sách Fahasa,1,,,2021-02-13 06:51:02+00:00,2021-02-18 11:30:05+00:00,7803266
27184320,339347,,53660,Nhà sách Fahasa,1,,,2022-07-26 20:45:25+00:00,2022-07-27 15:38:35+00:00,18191939
5466701,339347,,53660,Nhà sách Fahasa,3,,,2020-09-08 23:33:17+00:00,2020-09-10 09:20:54+00:00,4845151
5248909,339347,,53660,Nhà sách Fahasa,2,,,2022-07-28 08:17:23+00:00,2022-07-29 10:38:50+00:00,17442746
1012979,339347,,1231,Thế giới Sách Ngoại văn,1,,,2021-04-23 03:50:15+00:00,2021-04-26 10:55:09+00:00,10328038
5106586,339347,,1,Tiki Trading,2,,,2020-08-14 16:30:38+00:00,2020-08-16 14:03:55+00:00,4702280
8454675,339347,,1231,Xunhasaba Thế giới Sách Ngoại văn,2,,,2022-02-13 15:11:50+00:00,2022-02-20 14:38:35+00:00,16160845
11956414,339347,,1,Tiki Trading,3,,,2021-10-27 16:17:26+00:00,2021-10-28 15:09:25+00:00,12882016
14616582,339347,,1231,Xunhasaba Thế giới Sách Ngoại văn,4,,,2022-02-01 13:37:18+00:00,2022-02-10 11:14:45+00:00,14991776
17574018,339347,,1231,Xunhasaba Thế giới Sách Ngoại văn,2,,,2022-01-03 16:54:40+00:00,2022-01-07 11:56:56+00:00,14872310
26553968,339347,,1231,Xunhasaba Thế giới Sách Ngoại văn,3,,,2022-01-19 06:13:40+00:00,2022-01-23 13:42:05+00:00,14771317
18403853,339347,,1231,Xunhasaba Thế giới Sách Ngoại văn,1,,,2021-12-26 16:13:00+00:00,2021-12-30 10:42:01+00:00,14171248
8731756,339347,,1,Tiki Trading,1,,,2021-09-09 00:58:47+00:00,2021-10-19 14:33:22+00:00,13683603
689072,339347,,1,Tiki Trading,2,,,2021-01-17 08:27:20+00:00,2021-01-22 11:55:34+00:00,7860283
944739,339347,,1,Tiki Trading,2,,,2021-06-21 15:29:16+00:00,2021-06-25 11:12:31+00:00,11794456
2092061,339347,,1,Tiki Trading,1,,,2021-06-29 04:21:12+00:00,,11088135
11437189,339347,,1,Tiki Trading,1,,,2021-06-27 06:55:13+00:00,2021-06-27 14:50:21+00:00,10822345
9671873,339347,,1231,Thế giới Sách Ngoại văn,3,,,2021-06-28 02:23:22+00:00,2021-06-30 12:20:04+00:00,10784172
721238,339347,,1,Tiki Trading,1,,,2020-04-26 08:42:03+00:00,2020-04-27 14:27:33+00:00,3481932
