id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
274540497,I May Be Wrong,432000,432000,0,0,0,0,Björn Natthiko Lindeblad,,,,,,,,out_of_stock,,False,False,False
274357372,Sách Clean Tech Nation,331000,750000,56,0,0,4,Ron Pernick,Harper Collins,Harper Collins,9780062088444,Bìa mềm,320,,Tiki Trading,available,1000,False,True,True
274142627,The Purpose Upgrade: Change Your Business To Save The World,469000,469000,0,0,0,0,堀越 耕平,,,9781472145185,Bìa mềm,272,,Nhà Sách Phương Nam,available,1000,True,True,True
274099908,Unconventional Wisdom: Adventures In The Surprisingly True,319000,319000,0,0,0,0,Tom Standage,Economist Books,Economist Books,9781788166133,Bìa mềm,272,,Nhà Sách Phương Nam,available,1000,True,True,True
273314261,The Infographic Guide For Entrepreneurs: A Visual Reference For Everything You Need To Know,329000,329000,0,0,0,2,堀越 耕平,Adams Media,Adams Media,9781507209387,Bìa mềm,128,,Nhà Sách Phương Nam,available,1000,True,True,True
263246577,The Personal MBA 10th Anniversary Edition,399000,399000,0,5,5,112,Josh Kaufman,Phương Nam Book,Portfolio,9780525543022,Bìa mềm,476,,Nhà Sách Phương Nam,available,1000,True,True,True
259482442,Never Eat Alone,349000,349000,0,0,0,8,"Tahl Raz, Keith Ferrazzi",Phương Nam Book,Penguin Random House,9780553418767,Bìa mềm,352,,Nhà Sách Phương Nam,available,1000,True,True,True
129770963,"The 2-Hour Job Search, Second Edition: Using Technology to Get the Right Job Faster",270000,270000,0,0,0,0,,,,,,,,,out_of_stock,,False,False,False
24787548,In This Together: How Successful Women Support Each Other in Work and Life,489000,489000,0,0,0,0,Adams Media,,Adams Media,9781507208847,Hardcover,256,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,False,True
14616386,Sách Barking Up the Wrong Tree (Chó Sủa Nhầm Cây),256500,270000,5,4.5,33,193,Eric Barker,HarperCollins,HarperCollins US,9780062872630,Mass market paperback,320,2018-10-09,Nhà sách Fahasa,available,1000,True,True,True
7948284,Mistakes I Made at Work: 25 Influential Women Reflect on What They Got Out of Getting It Wrong,339000,339000,0,0,0,1,,,Plume,9780142180570,Paperback,252,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,False,True
7856769,How to Get Your Point across in 30 Seconds or Less,329000,329000,0,0,0,5,,,Simon & Schuster,9780671727529,Paperback,128,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,False,True
6824713,Sách tiếng Anh - How To Get From Where You Are To Where You Want To Be: The 25 Principles Of Success,360450,405000,11,0,0,2,Jack Canfield,HarperCollins,HarperCollins,9780007245758,Paperback,,,Blue Horizon Books,available,1000,True,False,True
5851695,Success: The Best of Napoleon Hill ,99000,99000,0,0,0,15,Napoleon Hill,,Vermilion,9780091917081,,,2008-08-07,Foreignbooks,available,1000,True,False,True
487829,"Sách Never Eat Alone : And Other Secrets to Success, One Relationship at a Time (Paperback)",329000,329000,0,4.5,2,91,Keith Ferrazzi,Penguin Random House,Penguin Random House US,9780241004951,Paperback,400,2014-06-26,Foreignbooks,available,1000,True,True,True
