id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278095948,Business English Presentations,86000,86000,0,5,1,1,Cty Nhân Trí Việt bd,Cty Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,9786048556433,Bìa mềm,73,2009-09-10,Nhà sách Minh Tâm,available,1000,True,True,True
278069149,Sách ngoại văn: Curiosity (HBR Emotional Intelligence Series),549000,566000,3,0,0,0,Harvard Business Review,Ingram Academic Services,Harvard Business Review Press,9781647826840,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
277363055,Sách ngoại văn: Slow Productivity,608000,640000,5,0,0,1,Cal Newport,Penguin Books,Penguin Books,9780241652916,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
276477214,The Daily Laws,665000,700000,5,0,0,1,Robert Greene,Penguin Books,Viking,9780593299210,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
276048682,Think Again - The Power Of Knowing What You Don't Know,294800,304000,3,4,1,6,Adam Grant,Penguin Books,Penguin Books,9781984878120,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
275885335,Rich Dad Poor Dad: What The Rich Teach Their Kids About Money That The Poor And Middle Class Do Not!,219000,219000,0,5,2,61,Robert T Kiyosaki,,Plata Publishing,9781612681139,Bìa mềm,336,,Nhà Sách Phương Nam,available,1000,True,True,True
275803111,Chip War,449000,449000,0,0,0,7,Carl Miller,Simon & Schuster,Simon & Schuster,9781668012055,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
275526674,Business As Unusual - How To Thrive In The New Renaissance (Rick Yvanovich),250000,250000,0,0,0,1,Rick Tetzeli,CÔNG TY TNHH TMDV & TRUYỀN THÔNG TYM,Nhà Xuất Bản Thế Giới,9786043652512,Bìa mềm,330,2024-06-05,TYMBooks,available,1000,True,True,True
274675438,How To Make Work Not Suck,458000,458000,0,5,1,3,...,Đang cập nhật,Đang cập nhật,9780857829023,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274673827,Unreasonable Success And How To Achieve It,367600,387000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9780349422930,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274142232,"Rationality: What It Is, Why It Seems Scarce, Why It Matters",279000,279000,0,0,0,4,Steven Pinker,Penguin USA,Penguin USA,9780593511664,Bìa mềm,432,,Nhà Sách Phương Nam,available,1000,True,True,True
274142218,Range: Why Generalists Triumph In A Specialized World,209000,209000,0,5,2,28,David Epstein,Riverhead Books,Riverhead Books,9780593189573,Bìa mềm,480,,Nhà Sách Phương Nam,available,1000,True,True,True
274121211,How Management Works: The Concepts Visually Explained (How Things Work),519000,519000,0,5,1,3,DK,DK,DK Publishing,9780241515730,Bìa cứng,224,,Nhà Sách Phương Nam,available,1000,True,True,True
273305166,Authentic Leadership (HBR Emotional Intelligence Series),439000,439000,0,0,0,0,Harvard Business Review,Harvard Business Review Press,Harvard Business Review Press,9781633693913,Bìa mềm,160,,Nhà Sách Phương Nam,available,1000,True,True,True
271476980,HBR's 10 Must Reads: On Communication Vol. 2,658300,693000,5,0,0,1,Harvard Business Review,Ingram Academic Services,Harvard Business Review Press,9781647820954,,,,Nhà sách Fahasa,available,1000,True,True,True
