id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278576019,Sách Ngoại Văn - This is Marketing: You Can’t Be Seen Until You Learn To See,539000,539000,0,0,0,0,Seth Godin,Gieobooks,Penguin,9780241370148,Bìa mềm,288,,Tazano Official Store,available,1000,True,True,True
278062789,Sách ngoại văn: How Business Works - The Facts Visually Explained,616000,616000,0,0,0,0,DK,Penguin Books,DK Publishing,9780241515655,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
276684917,Emotional Design,477800,503000,5,0,0,0,Don Norman,Hachette Book Group,Basic Books,9780465051366,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
276288273,Perennial Seller,377300,389000,3,0,0,0,Ryan Holiday,Penguin Books,Portfolio,9780143109013,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
276275303,"Growth Hacker Marketing: A Primer on the Future of PR, Marketing, and Advertising",415100,437000,5,0,0,1,Ryan Holiday,Penguin Books,Portfolio,9781591847380,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274676334,What Clients Love : A Field Guide to Growning Your Business,359100,378000,5,0,0,1,...,Đang cập nhật,Đang cập nhật,9780446556026,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
272532990,The Challenger Sale,678580,762450,11,0,0,2,"Matthew Dixon, Brent Adamson",Penguin Books Ltd,Penguin Books Ltd,9780670922857,Bìa mềm,240,,Blue Horizon Books,available,1000,True,True,True
272532937,The Visual MBA,740480,740480,0,0,0,0,Jason Barron,,,,,,,,out_of_stock,,False,False,False
272532914,This is Marketing,540550,607360,11,0,0,1,Seth Godin,Penguin Books Ltd,Penguin Books Ltd,9780241370148,Bìa mềm,288,,Blue Horizon Books,available,1000,True,True,True
263202483,This Is Marketing: You Can't Be Seen Until You Learn To See,399000,399000,0,5,1,2,Seth Godin,Phương Nam Book,Portfolio,9780525542797,Bìa mềm,288,,Nhà Sách Phương Nam,available,1000,True,False,True
261157466,The Jolt Effect: How High Performers Overcome Customer Indecision,730400,753000,3,0,0,0,Matthew Dixon,Penguin Books,Portfolio,9780593538104,,,,Nhà sách Fahasa,available,1000,True,True,True
197687726,"Broken Windows, Broken Business: The Revolutionary Broken Windows Theory: How The Smallest Remedies Reap The Biggest Rewards",372400,392000,5,0,0,0,,Hachette Book Group,Grand Central Publishing,9781538719275,,,,Nhà sách Fahasa,available,1000,True,True,True
89302386,Fit to Compete,741000,741000,0,0,0,0,,Ingram,Harvard Business Review Press,ISBN,Bìa mềm,311,2020-04-01,Cá Chép Bookstore,available,1000,True,True,True
89293344,The Context Marketing Revolution,741000,741000,0,0,0,0,,Ingram,Harvard Business Review Press,ISBN,Bìa mềm,272,2020-04-01,Cá Chép Bookstore,available,1000,True,True,True
48862964,Sách Building A Story Band,514900,542000,5,5,2,19,Donald Miller,HarperCollins,HarperCollins,9781400201839,Paperback,240,2017-11-16,Nhà sách Fahasa,available,1000,True,False,True
26810235,Sách Copywriting,640000,640000,0,0,0,2,Mark Shaw,Laurence King,Laurence King Publishing,9781780670003,Paperback,240,2012-10-08,Artbook,available,1000,True,True,True
16264336,Sách Kotler On Marketing,399000,399000,0,0,0,13,Fernando Trías De Bes & Philip Kotler,Simon & Schuster,Simon & Schuster,9780684860473,Paperback,272,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
7855614,The 25 Most Common Sales Mistakes And How to Avoid Them,177000,177000,0,0,0,5,,,Adams Media,9781598698213,Paperback,128,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
3880549,Closing Techniques (That Really Work!) ,219000,219000,0,0,0,3,,,Adams Media,9781598698206,Paperback,160,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,False,True
2865495,Sách The Ultimate Sales Letter: Attract New Customers. Boost Your Sales,329000,329000,0,5,1,16,Dan S. Kennedy,Simon & Schuster,Simon & Schuster, 9781440511417,Paperback,240,2011-01-01,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
565388,Sách When Buyers Say NO,379000,379000,0,0,0,4,Tom Hopkins,Hachette Book Group,Hachette Book Group,9781455583935,Paperback,256,2014-04-24,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
