id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279046608,Sách ngoại văn: The Trading Game,308000,308000,0,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9781802062731,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279045042,Sách ngoại văn: What's Up With Women And Money?,436000,459000,5,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781804090534,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279044546,"Sách ngoại văn: Unicorns, Hype And Bubbles",464500,489000,5,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781804090886,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279042245,Sách ngoại văn: The Uncomfortable Truth About Money,464500,489000,5,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781804090954,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279042171,Sách ngoại văn: The Everything Token,461700,476000,3,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780241692035,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279041833,Sách ngoại văn: The Money Trap,494000,520000,5,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781035049349,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279039711,Sách ngoại văn: Financial Feminist,488300,514000,5,0,0,0,Tori Dunlap,HarperCollins Publishers,Nhiều Nhà Xuất Bản,9780063260269,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038589,Sách ngoại văn: Burn The Boats,665000,700000,5,0,0,0,Matt Higgins,HarperCollins Publishers,Nhiều Nhà Xuất Bản,9780063088863,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038456,Sách ngoại văn: The Money Ladder,568100,598000,5,0,0,0,nhieu tac gia,Hachette UK Distribution,Nhiều Nhà Xuất Bản,9781035417056,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279034006,Sách ngoại văn: Choose Your Enemies Wisely - Business Planning For The Audacious Few,692500,729000,5,0,0,0,Patrick Bet-David,Penguin Books,Portfolio,9780593712849,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
