id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
274133611,Peekaboo! T. Rex,169000,169000,0,0,0,0,堀越 耕平,,,9781787727656,Board book,10,,Nhà Sách Phương Nam,available,1000,True,True,True
212961695,Sách - Good Night Coast Guard,235000,235000,0,0,0,0,"Adam Gamble, Michael J. Tougias",Penguin Random House,Penguin Random House,,Board book,20,,Bamboo Books,available,1000,True,True,True
113528312,Sách - Tủ sách nhà văn Roald Dahl: BFG - Người khổng lồ thân thiện,65000,65000,0,0,0,0,Roald Dahl,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,0,Bìa mềm,272,2021-01-18,Bamboo Books,available,1000,True,True,True
92002650,Sách-Bộ những thói quen vàng-Để sách là bạn mình,47000,59000,20,0,0,1,,Alphabooks,Nhà Xuất Bản Dân Trí,0,,80,,Alpha Books Official,available,1000,True,True,True
92002538,Sách - Những Bộ Óc Vĩ Đại Ông Vua Thép Nhân Hậu Andrew Carnegie,65000,65000,0,0,0,0,,Alphabooks,Nhà Xuất Bản Thế Giới,0,,52,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
91998894,Sách-Để luôn đạt điểm 10-Toán và những con số kỳ diệu (tái bản 2019),85000,85000,0,0,0,4,,Alphabooks,Nhà Xuất Bản Dân Trí,0,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,False,True
91998866,"Sách -  Những Bộ Óc Vĩ Đại: Danh Họa ""Ấn Tượng"" Van Gogh ",52000,65000,20,0,0,1,,Alphabooks,Nhà Xuất Bản Thế Giới,0,,52,,Alpha Books Official,available,1000,True,True,True
91988577,Sách - Vũ Trụ - Trong 30 Giây ,79000,99000,20,0,0,0,,Alphabooks,Nhà Xuất Bản Thế Giới,0,,96,,Omega Plus Books,available,1000,True,True,True
91986459,Sách-bộ sách chân dung những người thay đổi thế giới-Claude Monet là ai?,47000,59000,20,0,0,0,,Alphabooks,Nhà Xuất Bản Thế Giới,0,,,,ETS Books,available,1000,True,False,True
91986248,Sách-bộ sách tri thức phổ thông những địa danh làm thay đổi lịch sử-Tam giác quỷ Bermuda ở đâu?,52000,65000,20,0,0,0,,Alphabooks,Nhà Xuất Bản Dân Trí,0,,,,Alpha Books Official,available,1000,True,True,True
91986169,Sách - Bách Khoa Thư Thế Hệ Mới (6/9 Tuổi),279000,349000,20,0,0,0,,Alphabooks,Nhà Xuất Bản Dân Trí,0,,,,Omega Plus Books,available,1000,True,True,True
91986132,Sách-Bộ kỹ năng mềm-Mẹ không phải người giúp việc,84000,84000,0,0,0,0,,Alphabooks,Nhà Xuất Bản Dân Trí,0,,137,,Nhà Sách Vĩnh Thụy,available,1000,True,False,True
91985953,Sách - Cơ Thể Người - Trong 30 Giây ,79000,99000,20,0,0,11,,Alphabooks,Nhà Xuất Bản Thế Giới,0,,96,,Omega Plus Books,available,1000,True,True,True
91985923,Sách-Stem quanh em-Kỹ thuật siêu đơn giản,47000,59000,20,0,0,2,,Alphabooks,Nhà Xuất Bản Dân Trí,0,,32,,Alpha Books Official,available,1000,True,True,True
91985595,Sách - Những Bộ Óc Vĩ Đại Bác Học Hấp Dẫn Newton ,52000,65000,20,0,0,1,,Alphabooks,Nhà Xuất Bản Thế Giới,0,,52,,Omega Plus Books,available,1000,True,True,True
91985588,Sách - Stem Quanh Em - Vật Lý Học Siêu Hấp Dẫn,47000,59000,20,0,0,1,,Alphabooks,Nhà Xuất Bản Thế Giới,0,,33,,Alpha Books Official,available,1000,True,True,True
91985540,Sách - Ý Tưởng Khoa Học - Trong 30 Giây,79000,99000,20,0,0,0,,Alphabooks,Nhà Xuất Bản Thế Giới,0,,96,,Omega Plus Books,available,1000,True,True,True
