id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279116352,The Saigon Times Weekly kỳ số 04-2026,19000,19000,0,0,0,2,Tạp chí Kinh tế Sài Gòn,Tạp chí Kinh tế Sài Gòn,Saigon Times Group,SGTW0426,Bìa mềm,,2026-01-22,Tạp chí Kinh tế Sài Gòn,available,1000,True,True,True
278769054,Sách - When I'm a Nurse (Campbell Superstars) by Campbell Books - Children/Picture/Education book,220000,220000,0,0,0,0,Campbell Books,Campbell Books,Campbell Books,9781529062342,Bìa cứng,10,2021-10-02,Bookworm Hà Nội,available,1000,True,True,True
278492243,The Saigon Times Weekly kỳ số 33-2025,19000,19000,0,0,0,1,Tạp chí Kinh tế Sài Gòn,Tạp chí Kinh tế Sài Gòn,Saigon Times Group,SGTW3325,Bìa mềm,,2025-08-14,Tạp chí Kinh tế Sài Gòn,available,1000,True,True,True
277770031,Sách - Hello You! by Campbell Books - Sách thiếu nhi bằng tiếng anh/ Children book in english,220000,220000,0,0,0,0,Campbell Books,Campbell Books,Campbell Books,9781529058666,Board book,10,2021-04-14,Bookworm Hà Nội,available,1000,True,True,True
277564724,The Saigon Times Weekly kỳ số 13-2025,19000,19000,0,5,1,9,Tạp chí Kinh tế Sài Gòn,Tạp chí Kinh tế Sài Gòn,Saigon Times Group,SGTW1325,Bìa mềm,,,Tạp chí Kinh tế Sài Gòn,available,1000,True,True,True
276959029,The Saigon Times Weekly kỳ số 02-2025,19000,19000,0,0,0,3,Tạp chí Kinh tế Sài Gòn,Tạp chí Kinh tế Sài Gòn,Saigon Times Group,SGTW0225,Bìa mềm,,2025-01-09,Tạp chí Kinh tế Sài Gòn,available,1000,True,True,True
274676608,Touchy-Feely The Nativity (Board book),292600,308000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9780746098349,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274675638,Fold-out-books: Christmas,158600,167000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9781474926348,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274675077,Who Says Boo?: Baby's First Halloween Book (Includes A Mirror!),152900,161000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9781684371556,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274674006,Pops - Gavin Bishop (Board Book),222300,234000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9781776574001,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274133748,Sharks Book & Kit,199000,199000,0,0,0,0,堀越 耕平,,,9780655222507,Box,16,,Nhà Sách Phương Nam,available,1000,True,True,True
273309566,My Touch,229000,229000,0,0,0,0,堀越 耕平,Phoenix International Publications Ltd,Phoenix (an Imprint of The Orion Publishing Group Ltd ),9781503758544,Board book,24,,Nhà Sách Phương Nam,available,1000,True,True,True
