customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
655921,197530369,,53660,Nhà sách Fahasa,1,,,2024-07-30 23:16:46+00:00,2024-08-02 13:56:14+00:00,19944872
1501229,197530369,,53660,Nhà sách Fahasa,4,,,2023-10-31 03:35:42+00:00,2023-10-31 15:56:17+00:00,19622366
22450510,56309581,,9652,Crep Protect VN,2,,,2022-03-10 18:18:31+00:00,2022-03-12 10:04:16+00:00,15378476
16586189,56309581,,9652,Crep Protect VN,2,,,2020-12-12 05:50:52+00:00,2020-12-12 16:36:53+00:00,7037083
1367805,56309581,,9652,Crep Protect VN,2,,,2020-09-09 02:11:25+00:00,2020-09-09 15:46:46+00:00,4998899
334668,56212955,,9652,Crep Protect VN,2,,,2022-06-11 14:20:36+00:00,2022-06-13 16:46:38+00:00,17584695
838782,56212955,,9652,Crep Protect VN,4,,,2021-08-16 07:39:09+00:00,2021-09-24 13:45:20+00:00,12582365
6432096,56212955,,9652,Crep Protect VN,3,,,2021-05-12 06:57:04+00:00,2021-05-13 08:31:06+00:00,9720924
16586189,56212955,,9652,Crep Protect VN,4,,,2020-12-12 05:50:52+00:00,2020-12-12 16:36:53+00:00,7037058
7539058,56212955,,9652,Crep Protect VN,1,,,2020-08-22 14:04:13+00:00,2020-08-26 11:23:02+00:00,4638361
1013780,489591,,12696,Blue Horizon Books,3,,,2021-04-30 09:50:29+00:00,2021-05-05 14:25:34+00:00,9553440
