id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278717592,"Sách - Mummy, You're Amazing by Roger Priddy | English Children Book / Ngoại văn Nhập khẩu",220000,220000,0,0,0,0,Roger Priddy,Priddy Books,Priddy Books,9781838991005,Bìa cứng,12,2021-10-01,Bookworm Hà Nội,available,1000,True,True,True
277780941,Sách - Art Masterclass with Wassily Kandinsky by Hanna Konola,280000,280000,0,0,0,0,Many Authors,Quarry Books,Quarry Books,9781786031709,Bìa mềm,32,2018-04-18,Bookworm Hà Nội,available,1000,True,True,True
275814184,I Am Pusheen the Cat,399000,399000,0,0,0,0,Claire Belton,Simon & Schuster,Simon & Schuster,9781476747019,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
275615830,"Unstoppable Us, Volume 1",509000,509000,0,0,0,0,Yuval Noah Harari,Puffin,Puffin, 9780241596081,Hardcover,208,,Nhà Sách Phương Nam,available,1000,True,True,True
275615755,Pop Out Around the World ,289000,289000,0,0,0,0,Duopress Labs,"Sourcebooks, Inc","Sourcebooks, Inc", 9781950500994,Board book,12,,Nhà Sách Phương Nam,available,1000,True,True,True
275578696,You Can Draw Cute Animals by Yasmina Mattson,559000,559000,0,0,0,0,Yamin Ma,Quarry Books,Quarry Books,9780760376751,Paperback,128,,Nhà Sách Phương Nam,available,1000,True,True,True
274143745,I Can Stick Dinosaurs,129000,129000,0,0,0,0,Make Believe Ideas,Make Believe Ideas,Make Believe Ideas,9781803370033,Bìa mềm,24,,Nhà Sách Phương Nam,available,1000,True,True,True
274143722,My First I Can Draw My Wonderful World,119000,119000,0,0,0,0,Make Believe Ideas,Make Believe Ideas,Make Believe Ideas,9781800581975,Bìa mềm,32,,Nhà Sách Phương Nam,available,1000,True,True,True
274133697,The Beatles Colouring Book,89000,89000,0,0,0,0,Igloo Books,Bonnier Books Ltd,Bonnier Books Ltd,9781800225053,Bìa mềm,48,,Nhà Sách Phương Nam,available,1000,True,True,True
274124948,Arts And Crafts - Holidays,279000,279000,0,0,0,0,Sassi,Sassi Junior,Sassi Junior,9788830311671,Box,16,,Nhà Sách Phương Nam,available,1000,True,True,True
274121131,My First Paint Palette Dinosaurs,119000,119000,0,0,0,0,堀越 耕平,NORTH PARADE PUBLISHING LTD,North Parade Publishing,9781839235894,Bìa mềm,24,,Nhà Sách Phương Nam,available,1000,True,True,True
274118700,How To Draw Cute Doodles And Illustrations,389000,389000,0,0,0,2,Tuttle Publishing,Tuttle Publishing,Tuttle Publishing,9784805316962,Bìa mềm,128,,Nhà Sách Phương Nam,available,1000,True,True,True
274118361,A Million Sea Creatures,299000,299000,0,0,0,0,Lulu Mayo,Michael O'Mara,Michael O'Mara Books Ltd,9781789294422,Bìa mềm,64,,Nhà Sách Phương Nam,available,1000,True,True,True
274118357,A Million Magical Creatures,239000,239000,0,0,0,0,Lulu Mayo,Michael O'Mara,Michael O'Mara Books Ltd,9781789293531,Bìa mềm,64,,Nhà Sách Phương Nam,available,1000,True,True,True
274117531,Artmaker Picture Etch: Tattoo Art,189000,189000,0,0,0,0,Hinkler Books,Hinkler Books,Hinkler Books,9354537009700,Bìa mềm,16,,Nhà Sách Phương Nam,available,1000,True,True,True
274114471,"Dotty and Dash's 1, 2, 3",269000,269000,0,0,0,0,Patricia Hegarty,Little Tiger Press Group,Little Tiger Press,9781848578654,Bìa cứng,16,,Nhà Sách Phương Nam,available,1000,True,True,True
274099431,How To Draw A Bunny And Other Cute Creatures,269000,269000,0,0,0,1,Lulu Mayo,Phương Nam Book,Michael O'Mara Books Ltd,9781789292947,Bìa mềm,64,,Nhà Sách Phương Nam,available,1000,True,True,True
273306091,Colour The Zodiac,109000,109000,0,0,0,0,Igloo Books,Igloo Books,Igloo Books,9781801083539,Bìa mềm,48,,Nhà Sách Phương Nam,available,1000,True,True,True
271231508,"1000 Piece Jigsaw: Seljalandsfoss, Iceland",389000,389000,0,0,0,0,Hinkler,Phương Nam Book,Hinkler Books,935453700036,Box,,,Nhà Sách Phương Nam,available,1000,True,True,True
270098238,The Princess Ball,399000,399000,0,0,0,0,Sassi,Phương Nam Book,Sassi,9788830301566,Bìa cứng,,,Nhà Sách Phương Nam,available,1000,True,True,True
262974361,I Am Pusheen The Cat,349000,349000,0,5,2,10,Claire Belton,Phương Nam Book,Gallery Books,9781476747019,Bìa mềm,192,,Nhà Sách Phương Nam,available,1000,True,True,True
262859101,Paw Patrol Girls - Learning Series,279000,279000,0,0,0,0,,Phương Nam Book,Phidal Publishing,9782764334362,Tùy chọn phiên bản bìa cứng hoặc bìa mềm,22,,Nhà Sách Phương Nam,available,1000,True,False,True
262706904,The Many Lives Of Pusheen the Cat,399000,399000,0,0,0,4,,Harper Collins,Harper Collins,9781398506473,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
262705663,How To Draw Bold Manga Characters,409000,409000,0,0,0,1,,Phương Nam Book,Tuttle Publishing,9784805316757,Bìa mềm,176,,Nhà Sách Phương Nam,available,1000,True,True,True
262701728,Everything You Need To Ace Computer Science And Coding In One Big Fat Notebook,439000,439000,0,0,0,1,Workman Publishing,Phương Nam Book,Workman Publishing,9781523502776,Bìa mềm,576,,Nhà Sách Phương Nam,available,1000,True,False,True
248543677,Introducing Teddy,199000,199000,0,0,0,0,,Macmillan,MacMillan,9781408877623,Bìa mềm,32,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
184914001,Sách thiếu niên tiếng Anh: 50 Fantastic Ideas for Sustainability,422928,475200,11,0,0,0,nhieu tac gia,Bloomsbury Publishing PLC,Bloomsbury Publishing PLC,,Paperback,64,2021-06-10,Blue Horizon Books,available,1000,True,True,True
183719376,Sách tương tác thiếu nhi tiếng Anh: The Unhurry Book,346032,388800,11,0,0,0,Eddie Reynolds,Usborne Publishing Ltd,Usborne Publishing Ltd,,Bìa cứng,,,Blue Horizon Books,available,1000,True,True,True
99985055,The Seeds of Love,300000,300000,0,0,0,0,,ARTBook,Periplus Editions/Berkeley Books Pte Ltd,9780804848374,,,,Artbook,available,1000,True,True,True
99055949,Sách - The Big Nine - Amy Webb,189000,189000,0,0,0,0,,1980 Books,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,0,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
21084900,Sách Klutz Air Power: Rocket Science Made Simple,271700,286000,5,0,0,1,Pat Murphy,Scholastic,Scholastic,9780545647786,Art and Craft Kit,48,2014-01-01,Nhà sách Fahasa,available,1000,True,True,True
