customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
11065761,122273661,,53660,Nhà sách Fahasa,4,,,2022-04-24 08:50:47+00:00,2022-04-25 14:56:58+00:00,16317837
9599698,102132965,,53660,Nhà sách Fahasa,3,,,2021-07-14 13:13:16+00:00,,11287762
22585276,55286486,,53660,Nhà sách Fahasa,3,,,2021-07-25 09:15:48+00:00,2021-08-02 11:26:43+00:00,11570433
11065761,122273651,,53660,Nhà sách Fahasa,2,,,2022-04-24 08:50:47+00:00,2022-04-25 14:56:58+00:00,16317845
6436244,2202829,,1,Tiki Trading,1,,,2020-11-18 16:35:42+00:00,2020-11-19 16:01:14+00:00,5681717
88634,2163535,,12696,Blue Horizon Books,3,,,2021-03-04 15:54:33+00:00,2021-03-15 10:42:02+00:00,8554569
17384058,2163535,,1,Tiki Trading,1,,,2021-02-17 07:02:51+00:00,2021-02-17 15:49:35+00:00,7794643
296743,2163535,,1,Tiki Trading,4,,,2021-02-02 12:18:42+00:00,2021-02-03 16:01:26+00:00,7741430
8618910,252583609,,170925,Dtpbooks,4,,,2025-09-05 16:56:22+00:00,2025-09-06 09:36:30+00:00,20187369
8618910,252583655,,170925,Dtpbooks,3,,,2025-09-05 16:56:22+00:00,2025-09-06 09:36:30+00:00,20187370
472674,272432292,,197,VIETNAMBOOK,4,,,2025-04-03 23:00:10+00:00,2025-04-05 16:56:36+00:00,20106797
472945,103475131,,53660,Nhà sách Fahasa,4,,,2023-09-19 15:18:02+00:00,2023-09-20 15:25:29+00:00,19554896
12289883,103475131,,53660,Nhà sách Fahasa,2,,,2022-06-27 07:24:50+00:00,2022-06-30 10:56:26+00:00,16979651
8770968,103475131,,53660,Nhà sách Fahasa,2,,,2022-08-14 04:37:37+00:00,2022-08-15 12:38:51+00:00,17422874
22083725,103475131,,53660,Nhà sách Fahasa,2,,,2022-08-27 05:18:25+00:00,2022-08-29 10:56:45+00:00,18732060
11114569,103475131,,53660,Nhà sách Fahasa,4,,,2021-07-01 03:05:46+00:00,2021-07-02 12:11:12+00:00,11043063
25014113,103475131,,53660,Nhà sách Fahasa,2,,,2022-06-02 02:56:54+00:00,2022-06-02 20:25:24+00:00,16704422
13430306,103475131,,53660,Nhà sách Fahasa,2,,,2021-06-17 04:48:39+00:00,2021-06-17 16:38:56+00:00,10850244
17177736,103475131,,53660,Nhà sách Fahasa,4,,,2021-06-21 04:35:59+00:00,2021-06-23 14:38:50+00:00,10666538
107263,2202961,,12696,Blue Horizon Books,3,,,2021-01-20 05:35:27+00:00,2021-01-25 13:07:56+00:00,7363180
6173607,2202961,,1,Tiki Trading,3,,,2020-01-24 12:31:51+00:00,2020-01-30 13:03:30+00:00,2922210
8294904,87044906,,53660,Nhà sách Fahasa,2,,,2021-10-11 17:31:43+00:00,2021-10-15 13:26:08+00:00,12734874
23664232,55289420,,53660,Nhà sách Fahasa,1,,,2022-06-13 02:17:50+00:00,2022-06-14 10:11:05+00:00,16704395
560885,55289420,,53660,Nhà sách Fahasa,1,,,2022-02-20 08:11:09+00:00,2022-02-21 17:38:43+00:00,15363151
1374108,908259,,1,Tiki Trading,1,,,2020-12-14 07:12:01+00:00,2020-12-15 10:31:59+00:00,6222133
78856,908259,,53660,Nhà sách Fahasa,3,,,2020-04-15 02:03:21+00:00,2020-04-17 10:51:41+00:00,3420971
15716810,908259,,53660,Nhà sách Fahasa,1,,,2023-03-20 10:57:53+00:00,2023-03-22 16:25:24+00:00,18998035
33995,908259,,53660,Nhà sách Fahasa,1,,,2021-12-11 03:09:42+00:00,2021-12-13 09:10:50+00:00,13792431
742500,908259,,1,Tiki Trading,4,,,2021-04-28 04:04:29+00:00,2021-04-28 13:02:26+00:00,9392147
592673,908259,,1,Tiki Trading,2,,,2021-04-26 05:39:29+00:00,2021-04-27 10:18:58+00:00,9461651
171562,908259,,53660,Nhà sách Fahasa,2,,,2021-05-31 07:47:58+00:00,,10147747
5092970,908259,,1,Tiki Trading,2,,,2020-11-06 18:03:28+00:00,2020-11-09 12:20:36+00:00,5512577
593918,908259,,1,Tiki Trading,1,,,2020-10-21 02:05:01+00:00,2020-10-22 13:03:42+00:00,6777739
10161228,908259,,1,Tiki Trading,3,,,2020-12-11 04:35:11+00:00,2020-12-14 12:34:05+00:00,6236438
18727404,908259,,1,Tiki Trading,3,,,2020-10-09 09:40:28+00:00,2020-10-12 17:58:07+00:00,5189512
17302844,908259,,53660,Nhà sách Fahasa,2,,,2020-08-24 17:24:37+00:00,2020-08-28 11:52:14+00:00,4653041
7285614,908259,,1,Tiki Trading,4,,,2020-08-06 00:41:40+00:00,2020-08-10 10:36:20+00:00,4407048
1383318,908259,,53660,Nhà sách Fahasa,1,,,2020-07-05 14:29:17+00:00,2020-07-08 07:35:40+00:00,4387036
7458710,908259,,1,Tiki Trading,2,,,2019-10-12 15:36:56+00:00,2019-10-14 17:19:59+00:00,3951237
5224991,908259,,1288,Sách Xinh,1,,,2018-04-05 10:15:44+00:00,2018-04-13 07:25:06+00:00,1445682
14320248,2208169,,1,Tiki Trading,4,,,2021-02-23 11:29:29+00:00,2021-02-24 14:33:14+00:00,8106020
1901573,2208169,,53660,Nhà sách Fahasa,4,,,2022-06-09 03:11:24+00:00,2022-06-12 16:25:30+00:00,16697340
23460125,2208169,,12696,Blue Horizon Books,3,,,2021-12-21 17:26:01+00:00,2021-12-24 10:09:53+00:00,14060332
17655295,2208169,,53660,Nhà sách Fahasa,1,,,2021-07-07 05:51:30+00:00,2021-07-10 09:39:06+00:00,11051688
6789132,2163105,,12696,Blue Horizon Books,4,,,2021-01-29 13:06:19+00:00,2021-02-02 13:44:18+00:00,7627044
