id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279017457,Sách - Mr. Tickle in a Tangle: Sticker Storybook by Roger Hargreaves | Children's Activity Book,180000,180000,0,0,0,0,Roger Hargreaves,Dean & Son,Dean & Son,9780603573989,Bìa mềm,24,2017-06-25,Bookworm Hà Nội,available,1000,True,True,True
278730254,Sách - Once Upon A Time - Stick a Story (Priddy Books) | Children English Book / Ngoại văn Thiếu nhi,380000,380000,0,0,0,0,Priddy Books,Priddy Books,Priddy Books,9781838990992,Bìa cứng,10,2021-10-20,Bookworm Hà Nội,available,1000,True,True,True
275597181,Kaleidoscope Colouring Kit Rainbow Unicorns ,369000,369000,0,0,0,0,Hinkler,Hinkler Books,Hinkler Books,9781488954252,Boxset,60,,Nhà Sách Phương Nam,available,1000,True,True,True
275587155,Unicorns Colour-Me Magnets,259000,259000,0,0,0,0,Hinkler,Hinkler Books,Hinkler Books,9781488933189,Paperback,24,,Nhà Sách Phương Nam,available,1000,True,True,True
274677938,Little Wonders Sticker By Number - In The Ocean,204200,215000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9781839236884,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274677317,Baby Animals Sticker Book Treasury,213700,225000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9782764322680,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274674542,Fun With Cut & Paste Copy Colouring: Playtime,22800,24000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9789673310173,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274674524,Doodling Things That Go,106400,112000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9781474981095,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274672951,It’s My First Animals Colouring Book,54100,57000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9555480594507,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
273305298,Whiz Kids Puffy Stickers - Rewards,89000,89000,0,0,0,0,Lake Press,Lake Press,Lake Press,9780655210689,Bìa mềm,,,Nhà Sách Phương Nam,available,1000,True,True,True
