customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
1007879,274142834,,229023,Nhà Sách Phương Nam,1,,,2025-12-11 14:36:59+00:00,2025-12-13 10:05:21+00:00,20201909
22311441,274118240,,229023,Nhà Sách Phương Nam,3,,,2025-11-11 13:29:27+00:00,2025-11-13 11:23:21+00:00,20213493
16840265,267339892,,229023,Nhà Sách Phương Nam,2,,,2024-01-22 15:11:57+00:00,2024-01-24 14:46:15+00:00,19743424
16840265,267339639,,229023,Nhà Sách Phương Nam,2,,,2024-01-22 15:11:57+00:00,2024-01-24 14:46:15+00:00,19743427
1007879,262822101,,229023,Nhà Sách Phương Nam,1,,,2025-12-29 13:39:39+00:00,2025-12-31 10:22:49+00:00,20204096
11073828,489817,,1,Tiki Trading,4,,,2021-09-11 15:49:55+00:00,2021-10-02 10:55:51+00:00,12402596
2035554,489817,,1,Tiki Trading,3,,,2020-10-06 07:57:28+00:00,2020-10-07 12:00:49+00:00,6535396
1802,271189287,,229023,Nhà Sách Phương Nam,2,,,2025-09-09 02:46:00+00:00,2025-09-10 14:38:53+00:00,20170484
1007879,257868089,,229023,Nhà Sách Phương Nam,2,,,2025-11-27 15:29:13+00:00,2025-11-29 12:50:34+00:00,20195697
22585276,106997624,,53660,Nhà sách Fahasa,1,,,2021-07-25 09:15:48+00:00,2021-08-02 11:26:43+00:00,11569253
16867958,106997369,,53660,Nhà sách Fahasa,4,,,2023-01-23 06:37:58+00:00,2023-01-27 12:25:33+00:00,18948730
8569635,7714166,,12696,Blue Horizon Books,1,,,2021-07-18 12:37:00+00:00,2021-07-20 16:35:10+00:00,11332464
