id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278730351,Sách - Why do Cats Meow?: Curious Questions About Your Favorite Pets by Nick Crumpton,350000,350000,0,0,0,0,Many Authors,Thames and Hudson Ltd,Thames and Hudson Ltd,9780500652381,Bìa cứng,48,2020-10-19,Bookworm Hà Nội,available,1000,True,True,True
278730301,Sách - My First Book of Minibeasts by Zoe Ingram | Children's Picture Book - Nature Science Book,280000,280000,0,0,0,0,Many Authors,Walker Books Ltd,Walker Books Ltd,9781529501025,Bìa cứng,48,2025-05-21,Bookworm Hà Nội,available,1000,True,True,True
278626367,The Saigon Times Weekly kỳ số 37-2025,19000,19000,0,0,0,0,Tạp chí Kinh tế Sài Gòn,Tạp chí Kinh tế Sài Gòn,Saigon Times Group,SGTW3725,Bìa mềm,,2025-09-11,Tạp chí Kinh tế Sài Gòn,available,1000,True,True,True
278041085,Do You Love Dinosaurs?,199000,199000,0,0,0,0,Adele Robertson,Harper Collins,Harper Collins,9781526609533,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
275697870,"T_Moo, Baa, La La La!",99000,99000,0,0,0,2,Sandra Boynton,Simon & Schuster,Simon & Schuster, 9780671449018,Board book,16,,Nhà Sách Phương Nam,available,1000,True,True,True
275697813,Looky Looky Little One Baby Animals,179000,179000,0,0,0,0,Sandra Magsamen,Sourcebooks Wonderland,Sourcebooks Wonderland,9781728221199,Board book,24,,Nhà Sách Phương Nam,available,1000,True,True,True
275697604,Looky Looky Little One Under the Sea,179000,179000,0,0,0,0,Sandra Magsamen,"Sourcebooks, Inc","Sourcebooks, Inc", 9781728221182,Board book,24,,Nhà Sách Phương Nam,available,1000,True,True,True
275697558,TummyTime(R): Animal Parade,199000,199000,0,0,0,0,Duopress Labs,"Sourcebooks, Inc","Sourcebooks, Inc",9781947458819,Board book,12,,Nhà Sách Phương Nam,available,1000,True,True,True
275626594,Who's Hiding? In the Garden ,179000,179000,0,0,0,0,Amelia Hepworth,Little Tiger Press Group,Little Tiger Press,9781801041836,Board book,12,,Nhà Sách Phương Nam,available,1000,True,True,True
275626445,Hooray for Sunny Days,159000,159000,0,0,0,0,Katya Longhi,Little Simon,Little Simon,9781665912419,Board book,26,,Nhà Sách Phương Nam,available,1000,True,True,True
274142336,Farm Animals,50000,50000,0,0,0,0,Annalees Lim,,,9780750297189,Bìa mềm,,,Nhà Sách Phương Nam,available,1000,True,True,True
274124930,Memory - Animals To Save - The Woods,349000,349000,0,0,0,1,堀越 耕平,Sassi Junior,Sassi Junior,9788830311619,Box,,,Nhà Sách Phương Nam,available,1000,True,True,True
274121196,I Can Make It! Dinosaur,209000,209000,0,0,0,0,堀越 耕平,NORTH PARADE PUBLISHING LTD,North Parade Publishing,9781783739929,Board book,,,Nhà Sách Phương Nam,available,1000,True,True,True
274121113,My First Paint Palette: Bugs,119000,119000,0,0,0,0,堀越 耕平,NORTH PARADE PUBLISHING LTD,North Parade Publishing,9781839235900,Bìa mềm,,,Nhà Sách Phương Nam,available,1000,True,True,True
274117430,My Precious Planet Helping Save Our Animals,139000,139000,0,0,0,0,"Elanor Best, Scott Barker",Make Believe Ideas,Make Believe Ideas,9781800582002,Bìa mềm,48,,Nhà Sách Phương Nam,available,1000,True,True,True
274099476,A Million Cute Animals,289000,289000,0,0,0,0,Lulu Mayo,Michael O'Mara,Michael O'Mara,9781789292442,Bìa mềm,64,,Nhà Sách Phương Nam,available,1000,True,True,True
273305936,Baby Animals Seek And Find,99000,99000,0,0,0,0,堀越 耕平,Phoenix International Publications Ltd,Phoenix (an Imprint of The Orion Publishing Group Ltd ),9781642690781,Board book,10,,Nhà Sách Phương Nam,available,1000,True,True,True
272894438,Unicorn Magic & Friends - Deluxe Colouring Pad,89000,89000,0,0,0,0,Lake Press,Phương Nam Book,Lake Press,9780655221227,Bìa mềm,48,,Nhà Sách Phương Nam,available,1000,True,True,True
271314934,Perfect Pets,209000,209000,0,0,0,1,,Phương Nam Book,Really Decent Books,9781784682736,Bìa cứng,10,,Nhà Sách Phương Nam,available,1000,True,True,True
270073031,Animals,129000,129000,0,0,0,0,Roger Priddy,Phương Nam Book,Priddy Books,9780312492489,Tùy chọn phiên bản bìa cứng hoặc bìa mềm,26,,Nhà Sách Phương Nam,available,1000,True,True,True
249877766, Flamingo Boy,177000,177000,0,0,0,0,,Harper Collins,Harper Collins,9780008134655,,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
209391508,The Phoenix and the Carpet,239000,239000,0,0,0,0,,"Little, Brown Book Group","Little, Brown Book Group",9780349009421,,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
10316553,Truyện đọc tiếng Anh - The Twitches Meet a Puppy,216270,243000,11,0,0,0,Hayley Scott,Usborne Publishing,Usborne Publishing Ltd,9781474928144,Paperback,128,2018-10-04,Blue Horizon Books,available,1000,True,True,True
5128751,Polar Bear ,179000,179000,0,5,1,20,Bill Martin Jr.  Eric Carle,,Henry Holt & Company,9780805053883,Board book,26,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
2361147,Sách Explorers: Big Cats,159000,159000,0,0,0,0,Claire Llewellyn,Macmillan Publishers,MacMillan,9780753441152,Paperback,32,2016-09-22,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
2209075,Sách thiếu nhi tiếng Anh - Usborne Are you there little fox?,237897,267300,11,5,1,1,Sam Taplin,Usborne Publishing,USBORNE PUBLISHING,9781474936798,Board book,12,,Blue Horizon Books,available,1000,True,True,True
2057577,Sách tiếng Anh - Leaf,432540,486000,11,0,0,0,Sandra Dieckmann,Penguin Random House,,9781911171317,Hardcover,32,2017-10-03,Blue Horizon Books,available,1000,True,False,True
1382619,Sách Winnie-The-Pooh,210900,222000,5,5,11,73,A.A.Milne,Penguin Random House,Penguin Random House US,9780142404676,Trade paperback,176,2005-01-12,Nhà sách Fahasa,available,1000,True,True,True
