id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
277351740,My Peekaboo Things That Go,279000,279000,0,0,0,0,Little Tiger Press,Little Tiger Press Group,Little Tiger Press,978184857883,Bìa cứng,12,,Nhà Sách Phương Nam,available,1000,True,True,True
275889867,Talking Toddlers: Animals I Love,199000,199000,0,0,0,0,Pat-a-Cake,,Hachette Children's Group,978-1526382368,Bìa mềm,,,Nhà Sách Phương Nam,available,1000,True,True,True
274677595,Dot to Dot Sticker & Activity Pack,141500,149000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9781803683263,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274677525,"My Brainy Block Books: Numbers , Shapes & Colours",44600,47000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9789674477936,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274677351,Learning Tab Book: Babies,197600,208000,5,0,0,1,...,Đang cập nhật,Đang cập nhật,9789464228137,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274676612,Poppy And Sam's Snap Cards,133000,140000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9781474981316,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274676308,"Numbers, Shapes & Colours",44600,47000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9789674478865,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274676283,Learning Tab Book: Wild,197600,208000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9789464228120,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274675880,Writing Practices For Little Hands: Alphabet Upper Case,70300,74000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9789674478278,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274675690,How Fast Was A Velociraptor?,226100,238000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9781914912061,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274675379,Learning Tab Book: Farm,197600,208000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9789464228113,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274675119,Bluey: Shadowlands (Ladybird),238600,246000,3,0,0,0,...,Đang cập nhật,Đang cập nhật,9780241605066,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274674977,First Facts Sharks (Turn-the-Wheel Books),204200,215000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9781801050425,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274674828,Writing Practices For Little Hands: Times Tables,70300,74000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9789674478193,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274674296,Learning Tab Book: Dinosaurs,279300,294000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9789464228106,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274674117,First Facts Dinosaurs (Turn-the-Wheel Books),163400,172000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9781801050418,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274672917,Let's Write Mini Flash Crads - ABC Upper Case & Colours,60800,64000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9555430568404,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274532656,DIARY OF A CRICKET,125000,125000,0,0,0,0,Tô Hoài,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,978-604-2-20051-6,Bìa mềm,,,Bamboo Books,available,1000,True,True,True
274143179,Picture Fit Board Books: A Caboodle Of Cuddles,189000,189000,0,0,0,0,Priddy Books,Priddy Books,Priddy Books,9780312527624,Bìa mềm,14,,Nhà Sách Phương Nam,available,1000,True,True,True
274142334,Little Chef's First 100 Words,189000,189000,0,0,0,2,堀越 耕平,Random House Books for Young Readers,Random House Books for Young Readers,9780593482667,Board book,18,,Nhà Sách Phương Nam,available,1000,True,True,True
274133526,Me And My Grandad,179000,179000,0,0,0,0,Helen Exley,,,9781784850814,Bìa cứng,32,,Nhà Sách Phương Nam,available,1000,True,True,True
274133512,Me And My Grandma,179000,179000,0,0,0,0,Helen Exley,,,9781784850821,Bìa cứng,32,,Nhà Sách Phương Nam,available,1000,True,True,True
274133509,Me And My Mum,179000,179000,0,0,0,0,Helen Exley,,,9781784850807,Bìa mềm,,,Nhà Sách Phương Nam,available,1000,True,True,True
274133488,Believe In Yourself,249000,249000,0,0,0,0,Helen Exley,,,9781784851446,Bìa cứng,,,Nhà Sách Phương Nam,available,1000,True,True,True
273312674,Surrounded By Setbacks,349000,349000,0,0,0,4,Thomas Erikson,Vermilion,Vermilion,9781785043666,Bìa mềm,336,,Nhà Sách Phương Nam,available,1000,True,True,True
