id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279113144,Sách Wordsearch Travel Pad_Elm 0126,129000,129000,0,0,0,0,Kumon,Phương Nam Book,Kumon,9781842396438,Hardcover,,,Nhà Sách Phương Nam,available,1000,True,True,True
279113142,Sách Grade 1 Word Problems_Elm 0126,289000,289000,0,0,0,0,Kumon,Phương Nam Book,Kumon,9781934968413,Paperback,,,Nhà Sách Phương Nam,available,1000,True,True,True
279113140,Sách Thinking Skills Pre-K: Logic_Elm 0126,289000,289000,0,0,0,0,Kumon,Phương Nam Book,Kumon,9781941082249,Paperback,,,Nhà Sách Phương Nam,available,1000,True,True,True
279113136,Sách Grade 1 Reading_Elm 0126,289000,289000,0,0,0,0,Kumon,Phương Nam Book,Kumon,9781934968512,Paperback,,,Nhà Sách Phương Nam,available,1000,True,True,True
279044376,Sách ngoại văn: Rewire,422700,445000,5,0,0,0,nhieu tac gia,HarperCollins Publishers,Nhiều Nhà Xuất Bản,9780063349797,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279041929,Sách ngoại văn: Why AI?,310400,320000,3,0,0,0,nhieu tac gia,Hachette UK Distribution,Nhiều Nhà Xuất Bản,9781526327888,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279040407,Sách ngoại văn: The Body Book,310400,320000,3,0,0,0,DK,Penguin Books,Nhiều Nhà Xuất Bản,9780241526552,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279037190,Sách ngoại văn: Basher Science - Biology,292600,308000,5,0,0,0,Dan Green,Macmillan Publishers,Nhiều Nhà Xuất Bản,9780753449837,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279033788,Sách ngoại văn: Basher Science - Extreme Biology,264100,278000,5,0,0,0,Dan Green,Macmillan Publishers,Pan MacMillan,9780753449660,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279033260,Sách ngoại văn: The Kingfisher Dinosaur Encyclopedia,319100,329000,3,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9780753446416,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032914,Sách ngoại văn: Code Dependent,409400,431000,5,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781529097313,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032581,Sách ngoại văn: Amazing Machines - Busy Bulldozers,145300,153000,5,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9780753446157,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032565,Sách ngoại văn: Little Life Cycles - Drip,204200,215000,5,0,0,0,nhieu tac gia,Grantham Book Services,Nhiều Nhà Xuất Bản,9781787418479,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032353,Sách ngoại văn: Amazing Machines - Clean Green Machines,145300,153000,5,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9780753446478,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032283,Sách ngoại văn: Lots Of Things To Know About Your Body,364800,384000,5,0,0,0,Sarah Hull,Usborne,Usborne Books,9781474998161,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032219,Sách ngoại văn: The Science Of The Future - Beyond Belief,395200,416000,5,0,0,0,Alex Woolf,Macmillan Publishers,Caterpillar Books,9781838914011,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279031876,Sách ngoại văn: See Inside The Microscopic World,266000,280000,5,0,0,0,Rosie Dickins,Usborne,Usborne Books,9781474986151,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279031677,Sách ngoại văn: Complete Book Of The Microscope,273600,288000,5,0,0,0,Kirsteen Robson,Usborne,Usborne Publishing Ltd,9781409555513,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279031571,Sách ngoại văn: Eyewitness - Ancient Greece,355300,374000,5,0,0,0,DK,Penguin Books,Dorling Kindersley,9780241617335,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279031459,Sách ngoại văn: Eyewitness - Crystal And Gem,362700,374000,3,0,0,0,DK,Penguin Books,Dorling Kindersley,9780241617328,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279031355,Sách ngoại văn: Fingerprint Activities Art,273600,288000,5,0,0,0,Rosie Dickins,Usborne,Usborne Books,9781805317982,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279030754,Sách ngoại văn: Wild About Science,223100,230000,3,0,0,1,Steve Parker,Miles Kelly Publishing,Miles Kelly Publishing,9781789891683,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279027817,Sách ngoại văn: Everything You Need to Ace Biology in One Big Fat Notebook,436500,450000,3,0,0,0,Workman Publishing,Hachette Book Group,Nhiều Nhà Xuất Bản,9781523504367,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279027007,Sách ngoại văn: How Your Body Works,213700,225000,5,0,0,0,Judy Hindley,Usborne,Nhiều Nhà Xuất Bản,9781409562900,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279026995,Sách ngoại văn: Lift-the-flap Biology,401800,423000,5,0,0,0,Alice James,Usborne,Nhiều Nhà Xuất Bản,9781474969154,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278997039,Let's read together,195000,195000,0,0,0,0,Ecokid Book,Nhà Xuất Bản Tri Thức,Nhà Xuất Bản Tri Thức,978-632-00-2558-9,Bìa mềm,56,2025-12-09,Ecokid Book,available,1000,True,True,True
