customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
18136163,262822166,,229023,Nhà Sách Phương Nam,1,,,2024-02-19 13:27:08+00:00,2024-02-23 12:25:28+00:00,19780085
1285582,58030304,,12696,Blue Horizon Books,2,,,2021-05-21 19:30:11+00:00,,9959908
20320332,58030304,,12696,Blue Horizon Books,4,,,2021-02-15 17:48:46+00:00,2021-02-17 15:11:35+00:00,7784870
62254,2259003,,12696,Blue Horizon Books,1,,,2020-11-25 01:04:24+00:00,2020-11-29 16:37:14+00:00,6237805
600261,2208381,,12696,Blue Horizon Books,4,,,2020-08-24 11:13:13+00:00,2020-08-31 12:41:34+00:00,4778905
8103312,2208277,,1,Tiki Trading,2,,,2021-08-09 04:57:39+00:00,2021-08-17 08:11:21+00:00,12400930
12490520,2208277,,1,Tiki Trading,3,,,2021-08-02 06:00:12+00:00,2021-08-04 13:33:29+00:00,12411451
6981149,2208277,,1,Tiki Trading,3,,,2021-06-09 15:54:33+00:00,2021-06-10 10:36:06+00:00,10597405
1426003,2208277,,1,Tiki Trading,2,,,2021-04-15 14:40:04+00:00,2021-04-16 08:33:38+00:00,10095345
23820850,1586263,,12696,Blue Horizon Books,3,,,2021-12-12 04:26:20+00:00,2021-12-17 12:52:02+00:00,14652177
933634,1586253,,53660,Nhà sách Fahasa,2,,,2021-05-25 00:31:32+00:00,,10062425
1374108,1586253,,1,Tiki Trading,2,,,2020-12-14 07:12:02+00:00,2020-12-18 10:17:37+00:00,6304404
471213,1586253,,53660,Nhà sách Fahasa,3,,,2021-05-10 14:30:06+00:00,2021-05-11 19:26:10+00:00,9994475
401738,1586253,,53660,Nhà sách Fahasa,2,,,2021-03-22 13:09:25+00:00,2021-03-23 20:10:32+00:00,10418066
823649,1586253,,1,Tiki Trading,1,,,2020-12-07 02:27:53+00:00,2020-12-10 13:40:39+00:00,7942486
5092970,1586253,,1,Tiki Trading,1,,,2020-11-06 18:03:28+00:00,2020-11-09 12:20:36+00:00,5512591
16692499,1586253,,1,Tiki Trading,2,,,2020-11-28 02:56:27+00:00,2020-12-01 11:19:42+00:00,8441425
361220,1586253,,1288,Sách Xinh,2,,,2018-04-11 05:01:35+00:00,2018-04-12 16:37:39+00:00,1395294
12080933,646806,,1,Tiki Trading,4,,,2020-10-26 16:27:39+00:00,2020-10-27 16:52:57+00:00,5474495
475242,646806,,1,Tiki Trading,3,,,2017-07-21 04:33:43+00:00,2017-07-24 11:51:10+00:00,838201
953534,646806,,1,Tiki Trading,2,,,2020-11-06 12:58:40+00:00,2020-11-08 16:25:38+00:00,6152236
8582917,587041,,246565,8xPub Store,1,,,2023-03-14 04:58:06+00:00,2023-03-18 10:05:19+00:00,19290235
309399,587041,,1,Tiki Trading,2,,,2020-06-15 05:59:34+00:00,2020-06-15 16:13:17+00:00,3821751
11073828,587041,,1,Tiki Trading,4,,,2021-04-21 02:33:00+00:00,2021-04-21 11:36:22+00:00,9215531
5092325,587041,,1,Tiki Trading,1,,,2020-08-12 14:46:37+00:00,2020-08-13 17:39:07+00:00,4451597
13526486,587041,,53660,Nhà sách Fahasa,4,,,2021-11-24 08:01:24+00:00,2021-12-01 18:56:19+00:00,14549808
328715,587041,,1,Tiki Trading,4,,,2021-03-17 06:01:52+00:00,2021-03-18 11:01:02+00:00,8537377
524696,587041,,1,Tiki Trading,1,,,2020-09-06 05:08:03+00:00,2020-09-07 13:39:34+00:00,4847277
700836,587041,,12696,Blue Horizon Books,1,,,2021-05-31 08:10:04+00:00,2021-06-01 09:47:54+00:00,10099435
1411462,587041,,53660,Nhà sách Fahasa,2,,,2021-04-03 13:41:54+00:00,,9380727
1510636,587041,,1,Tiki Trading,1,,,2021-04-02 07:37:31+00:00,2021-04-06 11:55:04+00:00,9195934
16412170,587041,,53660,Nhà sách Fahasa,1,,,2021-03-05 18:15:45+00:00,2021-03-09 11:57:48+00:00,8284670
17621869,587041,,53660,Nhà sách Fahasa,3,,,2021-03-23 12:05:34+00:00,2021-03-24 23:26:23+00:00,8645952
7219590,587041,,53660,Nhà sách Fahasa,1,,,2021-03-07 07:24:38+00:00,2021-03-08 19:38:24+00:00,8320674
6285599,587041,,53660,Nhà sách Fahasa,1,,,2021-02-14 04:54:29+00:00,2021-02-18 09:35:35+00:00,7798326
12986737,587041,,53660,Nhà sách Fahasa,3,,,2021-02-02 06:24:55+00:00,2021-02-03 10:37:08+00:00,7758794
254213,587041,,1,Tiki Trading,3,,,2020-11-27 16:57:05+00:00,2020-11-30 11:47:47+00:00,7712326
12550459,587041,,1,Tiki Trading,2,,,2020-12-04 03:05:10+00:00,2020-12-08 09:41:05+00:00,6537663
7152515,587041,,1,Tiki Trading,3,,,2018-12-29 15:45:04+00:00,2019-01-04 07:43:55+00:00,2774135
356082,587041,,1,Tiki Trading,3,,,2020-10-31 06:32:45+00:00,2020-11-02 13:48:56+00:00,6075396
8660368,587041,,1,Tiki Trading,1,,,2020-10-14 01:41:24+00:00,2020-10-15 07:56:03+00:00,5864466
2082842,587041,,1,Tiki Trading,3,,,2019-08-27 04:48:53+00:00,2019-08-28 15:29:20+00:00,2413947
12463931,587041,,53660,Nhà sách Fahasa,1,,,2019-10-10 05:43:40+00:00,2019-10-12 17:24:06+00:00,3599009
600261,587041,,1,Tiki Trading,3,,,2020-08-24 11:13:13+00:00,2020-08-25 14:36:41+00:00,4778900
1325860,489795,,12696,Blue Horizon Books,2,,,2020-11-11 07:29:54+00:00,2020-11-13 12:33:23+00:00,5612308
371743,462953,,6337,Foreignbooks,4,,,2019-06-06 10:32:59+00:00,2019-06-12 05:16:21+00:00,2252773
8717256,462953,,53660,Nhà sách Fahasa,2,,,2021-06-16 04:03:54+00:00,2021-06-17 09:57:08+00:00,12043362
