id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279045044,Sách ngoại văn: All About Indonesia,463600,478000,3,0,0,0,nhieu tac gia,Berkeley Books,Nhiều Nhà Xuất Bản,9780804848503,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279043228,"Sách ngoại văn: All About China: Stories, Songs, Crafts and Games for Kids",593600,612000,3,0,0,0,nhieu tac gia,Berkeley Books,Nhiều Nhà Xuất Bản,9780804848497,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279036152,Sách ngoại văn: Who Is Taylor Swift?,175700,185000,5,0,0,0,"Kirsten Anderson,  Gregory Copeland",Penguin Books,Penguin,9780593754221,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279033216,Sách ngoại văn: 96 Facts About Taylor Swift,145300,153000,5,0,0,1,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780593750933,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032956,Sách ngoại văn: Book Of The Future,356200,375000,5,0,0,1,nhieu tac gia,Usborne,Nhiều Nhà Xuất Bản,9781803709543,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279031593,Sách ngoại văn: Unstoppable Us - Volume 2 - Why The World Isn't Fair,580400,611000,5,0,0,0,Yuval Noah Harari,Penguin Books,Puffin,9780241667804,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279016851,Sách - The Story of England by Richard Brassey,220000,220000,0,0,0,0,Many Authors,Orion Books,Orion Children's Books,9781444014952,Bìa mềm,45,2016-12-14,Bookworm Hà Nội,available,1000,True,True,True
278809157,Sách - A City Through Time: From Ancient Colony To Vast Metropolis by Steve Noon - Bìa Cứng,350000,350000,0,0,0,0,Steve Noon,DK,DK Publishing,9780241516881,Bìa cứng,48,2021-10-10,Bookworm Hà Nội,available,1000,True,True,True
278745962,Sách - The Song of the Nightingale by Tanya Landman - Children Picture book in English - Ngoại Văn,250000,250000,0,0,0,0,Tanya Landman,Walker Books Ltd,Walker Books Ltd,9781406394719,Bìa mềm,40,2022-10-05,Bookworm Hà Nội,available,1000,True,True,True
278730363,Sách - Arab Arab All Year Long! by Cathy Camper | Children's Family Picture Book About Culture,280000,280000,0,0,0,0,Many Authors,Walker Books Ltd,Walker Book Ltd,9781529505467,Bìa cứng,32,2025-05-21,Bookworm Hà Nội,available,1000,True,True,True
