id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279155469,Sách ngoại văn: The Worst Witch - 50th Anniversary Edition,422900,436000,3,0,0,1,Jill Murphy,Penguin Books,Puffin Classics,9780241663578,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279155443,Sách ngoại văn: The Neverending Book,479100,494000,3,0,0,2,Naoki Matayoshi,Penguin Books,Michael Joseph,9780241651506,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279042135,"Sách ngoại văn: The Smurfs 3-In-1 #3: The Smurf Apprentice, The Astrosmurf, And The Smurfnapper",327800,338000,3,0,0,0,nhieu tac gia,Simon and Schuster,Nhiều Nhà Xuất Bản,9781545803332,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279040910,Sách ngoại văn: Wereworld - Rage Of Lions (Book 2),217200,224000,3,0,0,0,Curtis Jobling,Penguin Books,Nhiều Nhà Xuất Bản,9780141333403,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279033936,Sách ngoại văn: Hildafolk Comics 2 - Hilda And The Midnight Giant,264100,278000,5,0,0,0,Luke Pearson,Grantham Book Services,Flying Eye Books,9781838741495,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279031495,Sách ngoại văn: The Magic Finger,210900,222000,5,0,0,1,Roald Dahl,Penguin Books,Penguin,9780241677643,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279030243,Sách ngoại văn: Bunbun & Bonbon #3: Captain Bun & Super Bonbon: A Graphix Chapters Book,165300,174000,5,0,0,1,nhieu tac gia,Scholastic,Nhiều Nhà Xuất Bản,9781338745924,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279026836,Sách ngoại văn: Smurfs Monsters,130900,135000,3,0,0,0,Peyo,Macmillan Publishers,Papercutz,9781629912752,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279026382,"Sách ngoại văn: Warm Hearts Day: A Branches Book (Owl Diaries #5), Volume 5",145300,153000,5,0,0,1,Rebecca Elliott,Scholastic,Scholastic US,9781338042801,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278788956,Sách - A Christmas Carol (Wordsworth Collector's Editions) by Charles Dickens | Sách bìa cứng,380000,380000,0,0,0,0,Charles Dickens,Wordsworth Editions Ltd,Wordsworth Editions,9781840227819,Bìa cứng,144,2018-10-03,Bookworm Hà Nội,available,1000,True,True,True
278154013,Sách ngoại văn: Diary Of A Wimpy Kid 18 - No Brainer,220100,227000,3,0,0,3,Jeff Kinney,Penguin Books,Puffin,9780241583159,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278153883,Sách ngoại văn: Unraveled,314200,324000,3,0,0,0,Shannon Messenger,Simon and Schuster,Simon & Schuster Books For Young Readers,9781665970846,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278153781,Sách ngoại văn: Warriors - Dawn Of The Clans #5 - A Forest Divided,241300,255000,5,0,0,2,Erin Hunter,HarperCollins Publishers,HarperCollins Publishers,9780062410054,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278058750,Harry Potter and the Deathly Hallows ad.,349000,349000,0,0,0,1,J.K. Rowling,Harper Collins,Harper Collins,9781408894743,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
276827022,Harry Potter and the Cursed Child,299000,299000,0,0,0,27,J.K. Rowling,Hachette,Hachette,9780751565362,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
275619782,Roald Dahl Classic: Matilda,209000,209000,0,0,0,2,Roald Dahl,Puffin Books,Puffin Books,9780241677575,Paperback,256,,Nhà Sách Phương Nam,available,1000,True,True,True
275618614,Roald Dahl Classic: Charlie And The Chocolate Factory,209000,209000,0,0,0,4,Roald Dahl,Penguin,Penguin,9780241677254,Paperback,240,,Nhà Sách Phương Nam,available,1000,True,True,True
274676295,Harry Potter Hedwig Owl Figurine And Sticker Book: With Sound!,403500,416000,3,0,0,3,...,Đang cập nhật,Đang cập nhật,9780762479832,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274674056,Hilda And The Hidden People,233700,246000,5,0,0,2,...,Đang cập nhật,Đang cập nhật,9781912497089,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274419134,Diary Of A Wimpy Kid 18: No Brainer,336300,354000,5,0,0,1,Jeff Kinney,Penguin Books,Penguin Books,9780241583135,Bìa cứng,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274144009,Percy Jackson And The Olympians #2: The Sea Of Monsters,209000,209000,0,0,0,10,Rick Riodan,,Disney Hyperion,9781368051491,Bìa mềm,320,,Nhà Sách Phương Nam,available,1000,True,True,True
274144007,Percy Jackson And The Olympians #1,219000,219000,0,0,0,25,Rick Riordan,,Disney Hyperion,9781368051477,Bìa mềm,416,,Nhà Sách Phương Nam,available,1000,True,True,True
273324331,Dork Diaries 5: Tales from a Not-So-Smart Miss Know-It-All,279000,279000,0,0,0,2,Rachel Renée Russell,Aladdin Paperbacks,Aladdin,978-1442449619,Bìa cứng,321,,Nhà Sách Phương Nam,available,1000,True,True,True
273308062,Minecraft: The Island: An Official Minecraft Novel,229000,229000,0,0,0,4,Max Brooks, Random House Inc.,Random House,9780399181795,Bìa mềm,288,,Nhà Sách Phương Nam,available,1000,True,True,True
271441782,James And The Giant Peach,221000,221000,0,0,0,3,"Roald Dahl,  Quentin Blake",Penguin Books,Puffin,9780241558331,,,,Nhà sách Fahasa,available,1000,True,True,True
263202736,Harry Potter And The Goblet Of Fire,309000,309000,0,0,0,12,J K Rowling,Phương Nam Book,Bloomsbury Publishing Inc,9781408855683,Bìa mềm,640,,Nhà Sách Phương Nam,available,1000,True,True,True
262871808,The Hunger Games 2. Catching Fire,259000,259000,0,5,8,54,Suzanne Collins,Phương Nam Book,Scholastic,9781407132099,Bìa mềm,480,,Nhà Sách Phương Nam,available,1000,True,True,True
262706976,Godkiller - Sách tiếng anh,399000,399000,0,0,0,1,,Harper Collins,Harper Collins,9780008521479,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
262651497,The School for Good and Evil: The Last Ever After Book 3,249000,249000,0,0,0,4,,Harper Collins,Harper Collins,9780062104960,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
209388013,Eclipse - TIẾNG ANH,277000,277000,0,0,0,3,,"Little, Brown Book Group","Little, Brown Book Group",9781904233916,,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
208778590,Cool Kitties,104500,110000,5,0,0,0,Scholastic,Scholastic,Scholastic,9789810787677,,,,Nhà sách Fahasa,available,1000,True,True,True
195994083,Hildafolk 3: Hilda And The Bird Parade,229900,242000,5,0,0,1,,Grantham Book Services,Flying Eye Books,9781911171027,,,,Nhà sách Fahasa,available,1000,True,True,True
195994070,Hildafolk 1: Hilda And The Troll,229900,242000,5,0,0,0,,Grantham Book Services,Flying Eye Books,9781909263789,,,,Nhà sách Fahasa,available,1000,True,True,True
190705743,Shadow and Bone: Shadow and Bone : Book 1,249000,249000,0,4.8,5,10,,Hachette Children's Group,Hachette Children's Group,9781510105249,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,False,True
