customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
1184542,277395848,,53660,Nhà sách Fahasa,1,,,2025-03-31 04:47:59+00:00,2025-04-01 12:10:30+00:00,20106142
16300463,192951422,,53660,Nhà sách Fahasa,2,,,2023-05-30 16:16:19+00:00,2023-06-01 11:25:28+00:00,19268994
17819540,22610636,,53660,Nhà sách Fahasa,2,,,2022-07-10 06:35:02+00:00,2022-07-13 15:38:22+00:00,17180676
66363,22610636,,53660,Nhà sách Fahasa,4,,,2023-06-16 05:35:09+00:00,2023-06-19 12:38:19+00:00,19322023
11346217,22610636,,53660,Nhà sách Fahasa,2,,,2023-02-21 12:04:20+00:00,2023-02-25 10:38:18+00:00,18865038
20326775,22610636,,53660,Nhà sách Fahasa,2,,,2022-07-15 08:19:33+00:00,2022-07-18 18:10:26+00:00,17132201
269069,22610636,,53660,Nhà sách Fahasa,2,,,2020-11-20 07:56:58+00:00,2020-11-21 09:01:50+00:00,6457291
10865728,2057177,,1,Tiki Trading,1,,,2020-03-02 04:51:20+00:00,2020-03-04 14:41:22+00:00,3101876
6772102,2057177,,1,Tiki Trading,2,,,2022-12-06 06:17:27+00:00,2022-12-07 15:26:35+00:00,18553817
475738,179930081,,179295,Quangvanbooks,1,,,2022-08-14 02:17:06+00:00,2022-08-16 12:01:20+00:00,17449374
10527579,179930081,,179295,Quangvanbooks,1,,,2022-05-15 03:11:20+00:00,2022-05-18 13:37:52+00:00,16430301
753923,179754095,,47795,MHbooks,2,,,2022-07-02 23:31:13+00:00,2022-07-05 12:05:29+00:00,17768305
588041,179754095,,179295,Quangvanbooks,1,,,2024-12-17 01:52:03+00:00,2024-12-18 13:59:06+00:00,20052713
11808389,179754095,,179295,Quangvanbooks,1,,,2024-05-12 09:26:48+00:00,2024-05-14 13:26:12+00:00,19934740
8051599,12283830,,6337,Foreignbooks,3,,,2019-05-09 03:21:44+00:00,2019-05-13 19:57:07+00:00,2214939
17519814,58710371,,53660,Nhà sách Fahasa,3,,,2021-07-13 11:53:23+00:00,2021-07-14 13:57:07+00:00,11161797
