id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279043813,Sách ngoại văn: Bluey: Time to Play Sticker Activity,170700,176000,3,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780241550755,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279041957,Sách ngoại văn: Bedtime Heroes - Baby Animal - A Glow In The Dark Book,296800,306000,3,0,0,0,nhieu tac gia,Simon and Schuster,Nhiều Nhà Xuất Bản,9781960107527,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279041048,Sách ngoại văn: The Gruffalo's Child 20th Anniversary Edition,236600,244000,3,0,0,1,"Julia Donaldson,  Axel Scheffler",Macmillan Publishers,Nhiều Nhà Xuất Bản,9781035037247,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279040145,Sách ngoại văn: Stories Of Love And Friendship,310400,320000,3,0,0,0,Matthew Oldham,Usborne,Nhiều Nhà Xuất Bản,9781805312147,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279040031,Sách ngoại văn: You're My Busy Little Spider,193000,199000,3,0,0,0,Eric Carle,Penguin Books,Nhiều Nhà Xuất Bản,9780593887936,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038987,Sách ngoại văn: Kaleidoscope Colouring - Super Cute Animals,205600,212000,3,0,0,0,Hinkler,Grantham Book Services,Nhiều Nhà Xuất Bản,9781488924224,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038340,Sách ngoại văn: Jingle Bells,125400,132000,5,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780553511123,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038314,Sách ngoại văn: Slide And See First Words - Farm,230800,243000,5,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9781664351080,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038258,Sách ngoại văn: The World of Mister Water - Book 5 - Mr. Water's Beautiful Colors (With Storyplus),164300,173000,5,0,0,0,nhieu tac gia,Scholastic,Nhiều Nhà Xuất Bản,9789813466562,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279037602,Sách ngoại văn: The World of Mister Water - Book 14 - Mr. Water's Dinosaur Tales (With Storyplus),164300,173000,5,0,0,0,nhieu tac gia,Scholastic,Nhiều Nhà Xuất Bản,9789813466654,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
