id,customer_id,product_id,rating,title,content,status,thank_count,comment_count,images,seller_id,seller_name,delivery_rating
16580237,14588200,2248773,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
9744269,5342315,2248773,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
6205174,8344984,2248779,5,Cực kì hài lòng,"Sách hay, hình đẹp, bé nhà mình rất thich",approved,0,0,[],1,Tiki Trading,[]
9408448,5201780,2248779,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
9047554,13073781,2248779,4,Hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
9005512,21127520,2248779,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
8290433,586563,2248779,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
7820114,751362,2248779,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
5667684,1442801,2248779,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
5593110,9668863,2248779,3,Bình thường,,approved,0,0,[],1,Tiki Trading,[]
4498536,7996706,2248779,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
4145455,6980250,2248779,5,Cực kì hài lòng,Nice,approved,0,0,[],1,Tiki Trading,[]
4145439,6980250,13765015,5,Cực kì hài lòng,Nice book,approved,0,0,[],1,Tiki Trading,[]
