customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
1894191,55286695,,53660,Nhà sách Fahasa,1,,,2021-07-06 04:41:12+00:00,2021-07-14 10:56:56+00:00,11429526
10872089,55286695,,53660,Nhà sách Fahasa,3,,,2020-08-23 08:55:08+00:00,2020-08-27 16:15:35+00:00,5427760
16581777,270053086,,53660,Nhà sách Fahasa,1,,,2025-02-09 08:59:31+00:00,2025-02-15 12:38:12+00:00,20082142
17505592,270053086,,53660,Nhà sách Fahasa,4,,,2023-07-24 16:51:11+00:00,2023-07-25 17:10:33+00:00,19899685
9992390,3782621,,1,Tiki Trading,1,,,2020-09-09 02:36:12+00:00,2020-09-10 10:31:21+00:00,9912788
14575218,3782621,,1,Tiki Trading,4,,,2021-03-26 01:55:33+00:00,2021-03-29 10:43:02+00:00,8942388
12125492,489855,,12696,Blue Horizon Books,2,,,2022-02-26 12:05:27+00:00,2022-03-03 08:27:32+00:00,15290350
67344,489855,,1,Tiki Trading,4,,,2022-11-20 01:02:35+00:00,2022-11-20 11:09:36+00:00,18674675
796753,489855,,73,CDIMEX,2,,,2022-04-06 04:05:10+00:00,2022-04-06 14:17:12+00:00,15827132
6996374,489855,,1,Tiki Trading,4,,,2020-12-28 07:46:18+00:00,2020-12-29 08:05:46+00:00,6598886
15726830,489855,,53660,Nhà sách Fahasa,1,,,2021-01-09 06:45:03+00:00,2021-01-12 10:16:30+00:00,6893836
249197,489855,,1,Tiki Trading,1,,,2020-06-03 09:58:49+00:00,2020-06-04 12:24:14+00:00,3738235
5850881,489855,,1,Tiki Trading,2,,,2020-07-29 10:31:56+00:00,2020-08-03 14:00:06+00:00,4325194
5386993,489855,,1,Tiki Trading,2,,,2021-01-05 04:06:45+00:00,2021-01-06 09:44:27+00:00,7825913
8087523,489855,,1,Tiki Trading,2,,,2021-01-03 07:55:45+00:00,2021-01-08 15:59:42+00:00,7185275
11485257,489855,,53660,Nhà sách Fahasa,4,,,2021-02-19 02:42:06+00:00,2021-02-21 11:16:46+00:00,7869272
564623,489855,,1,Tiki Trading,4,,,2021-01-03 05:27:58+00:00,2021-01-05 12:20:38+00:00,6900060
6092718,489855,,1,Tiki Trading,1,,,2018-11-23 11:01:58+00:00,2018-11-28 08:08:25+00:00,3546738
195497,489855,,1,Tiki Trading,3,,,2020-11-21 01:34:10+00:00,2020-11-25 14:53:12+00:00,6529706
5763962,489855,,1,Tiki Trading,3,,,2020-10-08 15:52:42+00:00,2020-10-12 12:49:36+00:00,5177929
7476070,489855,,1,Tiki Trading,4,,,2020-06-21 18:09:26+00:00,2020-06-22 14:48:23+00:00,3882015
1850650,489855,,1,Tiki Trading,4,,,2020-05-29 07:53:18+00:00,2020-05-30 13:51:21+00:00,3830121
1314567,44860372,,53660,Nhà sách Fahasa,2,,,2022-10-11 13:02:18+00:00,2022-10-12 13:26:59+00:00,17951198
7499876,44860372,,53660,Nhà sách Fahasa,1,,,2022-11-02 06:18:16+00:00,2022-11-05 09:38:22+00:00,19083830
115918,44860372,,53660,Nhà sách Fahasa,4,,,2021-05-03 03:01:22+00:00,2021-05-03 18:57:30+00:00,10942238
25645917,44860372,,53660,Nhà sách Fahasa,2,,,2021-12-10 16:06:22+00:00,2021-12-15 10:11:19+00:00,13856349
2175096,2163631,,1,Tiki Trading,1,,,2018-11-09 02:39:19+00:00,2018-11-10 11:56:40+00:00,1936279
22539918,2162039,,12696,Blue Horizon Books,4,,,2024-09-21 15:29:14+00:00,2024-09-25 15:17:17+00:00,20075021
9762326,2162039,,12696,Blue Horizon Books,1,,,2022-06-08 01:28:49+00:00,2022-06-09 15:47:13+00:00,17149443
21620493,2162039,,12696,Blue Horizon Books,4,,,2022-02-16 17:55:08+00:00,2022-02-21 18:50:34+00:00,15940047
768065,2162039,,12696,Blue Horizon Books,4,,,2021-07-29 03:32:49+00:00,2021-07-30 12:15:05+00:00,12040427
20456745,2162039,,12696,Blue Horizon Books,3,,,2021-04-01 06:50:22+00:00,2021-04-02 16:26:26+00:00,8928317
762742,2162039,,1,Tiki Trading,1,,,2019-08-18 05:59:41+00:00,2019-08-20 14:42:33+00:00,2398988
8821403,2162039,,12696,Blue Horizon Books,3,,,2020-04-11 09:09:03+00:00,2020-04-15 13:58:12+00:00,3502574
12384468,277555110,,26789,Bookworm Hà Nội,3,,,2025-08-10 14:07:26+00:00,2025-08-15 10:12:11+00:00,20158913
6389362,2208879,,12696,Blue Horizon Books,3,,,2023-09-24 07:19:47+00:00,2023-09-26 08:59:19+00:00,19554526
15483136,2208879,,12696,Blue Horizon Books,1,,,2021-03-18 15:58:42+00:00,2021-03-19 09:59:15+00:00,8506943
12463931,489917,,1,Tiki Trading,4,,,2021-01-04 07:22:07+00:00,2021-01-05 10:28:57+00:00,6766894
2139764,489917,,1,Tiki Trading,2,,,2020-12-31 11:23:06+00:00,2021-01-01 08:02:25+00:00,6732248
664884,489917,,1,Tiki Trading,1,,,2020-11-26 02:15:05+00:00,2020-11-26 17:26:47+00:00,5946138
11235686,489917,,1,Tiki Trading,2,,,2020-05-04 09:10:00+00:00,2020-05-05 10:19:15+00:00,3524988
11055291,489835,,1,Tiki Trading,4,,,2020-05-19 13:01:46+00:00,2020-05-22 12:35:12+00:00,3616323
5116829,489835,,1,Tiki Trading,4,,,2021-03-03 03:41:29+00:00,2021-03-06 13:32:13+00:00,8280110
5235180,489835,,12696,Blue Horizon Books,4,,,2021-06-20 04:11:47+00:00,2021-06-25 09:59:41+00:00,10807307
5342315,489835,,1,Tiki Trading,4,,,2021-04-05 13:28:18+00:00,2021-04-06 10:30:31+00:00,9744275
