id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
50076345,Sách tương tác tiếng Anh - Sách Usborne Lift-the-Flap Questions and Answers about Plastic,396495,445500,11,0,0,3,.,Usborne Publishing,USBORNE PUBLISHING,9781474963381,Board book,14,2020-01-09,Blue Horizon Books,available,1000,True,True,True
279042261,Sách ngoại văn: Timelines of Science - From Fossils To Quantum Physics,620800,640000,3,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780241515358,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279026685,Sách ngoại văn: DKfindout! Space Travel,242500,250000,3,0,0,0,DK,Penguin Books,DK CHILDREN,9780241358399,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
252714360,The Outdoor Scientist: The Wonder Of Observing The Natural World,230800,243000,5,0,0,1,,Penguin Books,Philomel,9780593115565,,,,Nhà sách Fahasa,available,1000,True,True,True
2293209,Sách The Periodic Table Book,543200,560000,3,5,7,24,DK,DK Publishing,DK Publishing,9780241240434,Hardback,208,2017-03-30,Nhà sách Fahasa,available,1000,True,True,True
273303747,Beyond Order: 12 More Rules for Life,279000,279000,0,0,0,2,Jordan B. Peterson,Penguin Books Ltd,Penguin Books Ltd,9780593543696,Bìa mềm,432,,Nhà Sách Phương Nam,available,1000,True,True,True
270052798,The Really Incredible Science Book (My Really Fun Maths And Science Books),435100,458000,5,0,0,0,,Penguin Books,DK CHILDREN,9780241461389,,,,Nhà sách Fahasa,available,1000,True,True,True
279036601,Sách ngoại văn: The Spectacular Science Of Space,322000,339000,5,0,0,0,Rob Colson,Macmillan Publishers,Nhiều Nhà Xuất Bản,9780753448441,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
275577514,Unbinders Science Experiments Discover Anything,429000,429000,0,0,0,0,Hinkler,Hinkler Books,Hinkler Books,9781488956263,Bìa cứng,,,Nhà Sách Phương Nam,available,1000,True,True,True
275602243,Everyday STEM Technology - Machines,179000,179000,0,0,0,0,Jenny Jacoby,Kingfisher,Kingfisher Books Ltd,9780753447062,Paperback,48,,Nhà Sách Phương Nam,available,1000,True,True,True
262653467,Instant Science,459000,459000,0,0,0,3,,Phương Nam Book,Carlton Books Ltd,9781787393387,Bìa mềm,176,,Nhà Sách Phương Nam,available,1000,True,True,True
55289489,Science Lab,452900,467000,3,5,2,9,Robert Winston,Penguin Books,DK CHILDREN,9780241343494,,,,Nhà sách Fahasa,available,1000,True,False,True
278859878,Pandemic by Tom Jackson - Children Picture book in English - UK - Sách Ngoại Văn Nhập Khẩu,250000,250000,0,0,0,0,Tom Jackson,Kingfisher,Kingfisher Books Ltd,9780753447116,Bìa mềm,64,2021-11-03,Bookworm Hà Nội,available,1000,True,True,True
274287341,"Sách Catch a Crayfish, Count the Stars: Fun Projects, Skills, and Adventures for Outdoor Kids",298000,675000,56,5,1,1,Steven Rinella,Penguin,Penguin,9780593448977,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
277844827,Sách - Exploring Space: From Galileo to the Mars Rover and Beyond by Martin Jenkins - Science/ Space /Picture Books in English,280000,280000,0,0,0,0,Martin Jenkins,Walker Books Ltd,Walker Books,9781406379815,Bìa mềm,64,2018-04-10,Bookworm Hà Nội,available,1000,True,True,True
279016837,"Sách - The Bacteria Book : Gross Germs, Vile Viruses , Funky Fungi (The Science Book) by Steve Mould",350000,350000,0,0,0,0,Steve Mould,DK,DK Publishing,9780241415788,Bìa mềm,72,2019-12-25,Bookworm Hà Nội,available,1000,True,True,True
121973479,Sách tiếng Anh - AMAZING SCIENCE EXPERIMENTS: MATTER,300375,337500,11,0,0,0,,Scholastic,Hungry Tomato Ltd,9781910684931,Bìa mềm,32,,Blue Horizon Books,available,1000,True,True,True
263450654,Sách thiếu nhi tiếng Anh: Brain Power,384480,432000,11,0,0,0,,Hachette,HarperCollins Publishers,9781526362971,Bìa mềm,159,,Blue Horizon Books,available,1000,True,True,True
274675927,Sofia Valdez And The Vanishing Vote: The Questioneers Book #4,284000,299000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9781419743504,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
252714348,Mr. Demaio Presents!: The Biggest Stuff In The Universe: Based On The Hit Youtube Series!,185200,195000,5,0,0,0,,Penguin Books,Grosset & Dunlap,9780593224809,,,,Nhà sách Fahasa,available,1000,True,True,True
197620593,Countdown To Christmas,201400,212000,5,0,0,0,James Maclaine,Usborne,USBORNE PUBLISHING,9781474999380,,,,Nhà sách Fahasa,available,1000,True,True,True
191779378,"Wheels: Cars, Cogs, Carousels, And Other Things That Spin",339100,357000,5,0,0,0,Tracey Turner,Macmillan US,Kingfisher Books Ltd,9780753475317,,,,Nhà sách Fahasa,available,1000,True,True,True
279026555,Sách ngoại văn: 100 Facts Space Travel,83600,88000,5,0,0,0,Sue Becklake,Miles Kelly Publishing,Miles Kelly Publishing,9781789892697,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
263097795,I Can Make It! Jungle,219400,231000,5,0,0,0,,NORTH PARADE PUBLISHING LTD,North Parade Publishing,9781783739936,,,,Nhà sách Fahasa,available,1000,True,True,True
192908962,DK Find Out: Robots,291000,300000,3,0,0,1,"Sethu Vijayakumar, Dr Nathan Lepora",Penguin Books,Dorling Kindersley Ltd,9780241315897,,,,Nhà sách Fahasa,available,1000,True,False,True
262655148,The Heir book 4,229000,229000,0,0,0,0,,Harper Collins,Harper Collins,9780007580224,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
