id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278750046,Sách - Middle School Dog's Best Friend by James Patterson/ Sách thiếu nhi tiếng Anh,250000,250000,0,0,0,0,James Patterson,Arrow,Arrow,9781784759919,Bìa mềm,309,2017-12-22,Bookworm Hà Nội,available,1000,True,True,True
278750042,"Sách - Middle School How I Survived Bullies,Broccoli,Snake Hill by James Patterson",250000,250000,0,0,0,0,James Patterson,Arrow,Arrow,9781784755539,Bìa mềm,309,2015-07-22,Bookworm Hà Nội,available,1000,True,True,True
278749782,"Sách - Middle School My Brother Is A Big Fat Liar by James Patterson - Sách ngoại văn, sách thiếu nhi tiếng Anh, bìa mềm",250000,250000,0,0,0,0,James Patterson,Penguin,Penguin,9781784750121,Bìa mềm,304,2013-05-11,Bookworm Hà Nội,available,1000,True,True,True
276957818,Zak Zoo 8 Copy Shrinkwrap,1450000,1450000,0,0,0,0,Justine Smith,Hachette,Hachette,9781408335031,Boxset,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
274117519,Junior Explorers: A-Z Mindful Me Jigsaw Puzzle,339000,339000,0,0,0,0,Hinkler,Hinkler Books,Hinkler Books,9354537004088,Box,,,Nhà Sách Phương Nam,available,1000,True,True,True
263352257,Wolf Brother boxset,1200000,1200000,0,0,0,2,,Hachette,Hachette,9781510108691,Boxset,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
263348620,The Naughtiest Girl - 10 Copy Collection,1500000,1500000,0,0,0,3,,Hachette,Hachette,9781444971309,Boxset,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
263335987,Athena and The Olive Tree and Other Greek Myths,115000,115000,0,0,0,0,,Harper Collins,Harper Collins,9781408351284,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
263335836,Jason and the Golden Fleece and Arachne the Spinner,115000,115000,0,0,0,0,,Harper Collins,Harper Collins,9781408351321,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
263335811,Daedalus and Icarus and King Midas,115000,115000,0,0,0,0,,Harper Collins,Harper Collins,9781408351314,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
263335760,Hermes Tricks The Gods and Other Greek Myths,115000,115000,0,0,0,0,,Harper Collins,Harper Collins,9781408351352,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
