id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278772311,Cuốn Từ Điển Anh - Anh - Việt ( bìa vàng cứng),298000,298000,0,0,0,0,Nhiều dịch giả,TRIDUCBOOKS,,,Bìa cứng,,,Sách Hay Tổng Hợp,available,1000,True,True,True
278643542,The Saigon Times Weekly kỳ số 38-2025,19000,19000,0,0,0,0,Tạp chí Kinh tế Sài Gòn,Tạp chí Kinh tế Sài Gòn,,,Bìa mềm,,,Tạp chí Kinh tế Sài Gòn,available,1000,True,True,True
278497924,Sách - 3000 Từ Vựng Tiếng Anh Thông Dụng Nhất - Mcbooks,82000,82000,0,0,0,0,Nguyễn Thu Huyền,MCBOOKS,,,Bìa mềm,,,MCBooks Sài Gòn,available,1000,True,True,True
278492733,Sách - Combo Từ Điển Anh - Anh - Việt Oxford Learner’s Pocket MCBooks,138580,169000,18,0,0,3,S.A. de C.V. Oxford University Press México,MCBOOKS,,,Bìa mềm,,,MCBooks Sài Gòn,available,1000,True,True,True
278492457,Sách - Từ điển Anh - Việt dành cho học sinh Mcbooks,130380,159000,18,0,0,1,The Windy,MCBOOKS,,,Bìa mềm,,,MCBooks Sài Gòn,available,1000,True,True,True
278492337,Sách - Từ Điển Anh - Việt (bìa mềm) - MCBooks,198000,198000,0,0,0,0,The Windy,MCBOOKS,,,Bìa mềm,,,MCBooks Sài Gòn,available,1000,True,True,True
278492060,Sách - Tự Học Ngữ Pháp Tiếng Anh Cơ Bản - Khổ Nhỏ Cầm Tay Mcbooks,99000,99000,0,0,0,0,nhieu tac gia,MCBOOKS,,,Bìa mềm,,,MCBooks Sài Gòn,available,1000,True,True,True
278448791,Oxford Learner's Pocket Dictionary - Fourth Edition,110000,110000,0,0,0,1,nhieu tac gia,Gieobooks,,,Bìa mềm,,,Tazano Official Store,available,1000,True,True,True
278448789,Oxford Learner's Pocket Grammar,169000,169000,0,0,0,1,John Eastwood,Gieobooks,,,Bìa mềm,,,Tazano Official Store,available,1000,True,True,True
278382795,Sách - Combo Mindmap cho học sinh tiểu học - Từ vựng + Ngữ pháp - Lẻ/combo tùy chọn,222400,278000,20,0,0,0,nhieu tac gia,	tkbooks,,,Bìa mềm,,,Unibooks,available,1000,True,True,True
278314403,Sách - Từ điển Anh-Anh-Việt dành cho học sinh (Tái bản 2020),127200,159000,20,0,0,1,The Windy,MCBOOKS,,,Bìa mềm,,,Unibooks,available,1000,True,True,True
