customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
8775392,274676891,,53660,Nhà sách Fahasa,3,,,2025-04-25 15:23:11+00:00,2025-05-01 11:10:12+00:00,20167300
16151201,274675999,,53660,Nhà sách Fahasa,2,,,2024-06-13 06:25:31+00:00,2024-06-15 09:56:15+00:00,19903577
8775392,274673718,,53660,Nhà sách Fahasa,1,,,2025-04-25 15:23:11+00:00,2025-05-01 11:10:12+00:00,20167304
16151201,192988764,,53660,Nhà sách Fahasa,3,,,2024-06-05 03:21:41+00:00,2024-06-06 09:25:25+00:00,19894237
14792357,25205264,,53660,Nhà sách Fahasa,2,,,2022-03-23 01:34:36+00:00,2022-03-25 13:56:54+00:00,16029696
10236515,6679275,,1,Tiki Trading,4,,,2019-02-20 05:28:21+00:00,2019-02-22 13:46:50+00:00,2066540
17451712,6679275,,1,Tiki Trading,2,,,2021-04-27 23:55:44+00:00,2021-04-29 14:53:10+00:00,9420638
29363246,3642339,,73,CDIMEX,1,,,2024-10-09 02:18:38+00:00,2024-10-11 10:56:23+00:00,20009046
10864889,3642339,,1,Tiki Trading,3,,,2021-04-13 17:17:05+00:00,2021-04-16 12:33:56+00:00,9117135
1834370,3642339,,1,Tiki Trading,1,,,2020-10-08 00:06:12+00:00,2020-10-09 09:51:05+00:00,7706960
18229015,3642339,,1,Tiki Trading,4,,,2021-05-24 16:35:16+00:00,,10043061
8775392,2137885,,53660,Nhà sách Fahasa,4,,,2025-04-21 10:16:06+00:00,2025-04-23 10:38:15+00:00,20115724
29264471,2137885,,53660,Nhà sách Fahasa,1,,,2025-09-23 06:58:16+00:00,2025-09-25 11:42:29+00:00,20180987
16330229,2137885,,53660,Nhà sách Fahasa,1,,,2022-09-16 04:04:29+00:00,2022-09-18 14:25:39+00:00,17728305
9903376,2137885,,53660,Nhà sách Fahasa,2,,,2022-08-03 11:59:39+00:00,2022-08-15 08:56:25+00:00,18310193
15637537,2137885,,53660,Nhà sách Fahasa,3,,,2022-11-13 10:54:07+00:00,2022-11-15 10:56:41+00:00,18229887
14540377,2137885,,53660,Nhà sách Fahasa,4,,,2022-03-17 06:31:07+00:00,2022-03-18 10:58:05+00:00,15521161
24458307,2137885,,53660,Nhà sách Fahasa,2,,,2022-06-07 17:13:25+00:00,2022-06-11 11:10:43+00:00,16718201
