id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278809616,Sách - Teach English as a Foreign Language: Teach Yourself by A A Milne - Teaching/Language book,350000,350000,0,0,0,0,David Riddell,Independent Publishers Group,Independent Publishers Group,9781473601154,Bìa mềm,288,2014-05-07,Bookworm Hà Nội,available,1000,True,True,True
278279707,Bài tập Bổ trợ Tiếng Anh 2 i-Learn Smart Start ,89000,89000,0,0,0,25,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786044899077,Bìa mềm,96,2025-07-01,Dtpbooks,available,1000,True,True,True
278279703,Bài tập Bổ trợ Tiếng Anh 1 i-Learn Smart Start ,89000,89000,0,0,0,25,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786044899381,Bìa mềm,76,2025-07-01,Dtpbooks,available,1000,True,True,True
277967155,"Tiếng Anh 1 Extra and Friends - Trọn bộ (sách học sinh, sách bài tập, vở tập viết)",130000,130000,0,0,0,5,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Sư Phạm TPHCM,9996043678300,Bìa mềm,88,2025-05-01,Dtpbooks,available,1000,True,True,True
277937139,Gói Edufun Premium lớp 2 + [Bộ quà tặng SGK i-Learn smart start + 2 truyện đọc],365000,365000,0,0,0,0,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Sư Phạm TPHCM,9996043093097,Bìa mềm,,2025-04-01,Dtpbooks,available,1000,True,True,True
277618894,Sách tiếng Trung Quốc 5 - Sách bài học Tập 1 & 2,96000,96000,0,0,0,2,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Sư Phạm TPHCM,9786326022222,Bìa mềm,99,2025-04-01,Dtpbooks,available,1000,True,True,True
277618729,Sách tiếng Trung Quốc 4 - Sách bài học Tập 1 & 2,96000,96000,0,0,0,2,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Sư Phạm TPHCM,9786326020000,Bìa mềm,88,2025-04-01,Dtpbooks,available,1000,True,True,True
275695908,Family and Friends 5 (National Edition) - Teacher’s Guide,130000,130000,0,0,0,4,nhieu tac gia,Cty PHS TP.HCM- Fahasa,Oxford University Press,9786040403407,Bìa mềm,149,2024-05-09,Nhà sách Quốc Việt,available,1000,True,True,True
274926389,Tiếng Anh 5 Extra and Friends - Pupil's Book (Sách học sinh),64105,64105,0,5,2,121,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Sư Phạm TPHCM,9786043093759,Bìa mềm,156,2024-04-15,Dtpbooks,available,1000,True,True,True
274926158,"Tiếng Anh 5 i-Learn Smart Start - Trọn bộ (sách học sinh, sách bài tập, vở tập viết)",176000,176000,0,5,4,304,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Sư Phạm TPHCM,9996043093684,Bìa mềm,270,2024-04-15,Dtpbooks,available,1000,True,True,True
