id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279041637,Sách ngoại văn: ダンジョン飯英会話 - Explore The World Of Delicious In Dungeon In English,486900,502000,3,0,0,0,nhieu tac gia,Kinokuniya Book Stores,Nhiều Nhà Xuất Bản,9784046070401,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279040864,Sách ngoại văn: クリスマス・オールスター Kurisumasu Ourusutaa,387300,421000,8,0,0,0,",  カルロ・ゼン",Kinokuniya Book Stores,Nhiều Nhà Xuất Bản,9784494005802,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038318,Sách ngoại văn: Ultraman Arc Tojo! Zenuru To (Japanese Edition),314400,331000,5,0,0,0,nhieu tac gia,Kinokuniya Book Stores,Nhiều Nhà Xuất Bản,9784065361054,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032928,"Sách ngoại văn: ""The Quintessential Quintuplets"" x Sanrio Memorial Clear Folder Book (Japanese Edition)",471200,496000,5,0,0,0,nhieu tac gia,Kinokuniya Book Stores,Nhiều Nhà Xuất Bản,9784065334522,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279029731,Sách ngoại văn: 仮面ライダー大図鑑 (単行本) Kamen Raidaa Dai Zukan,553800,583000,5,0,0,0,nhieu tac gia,Hộ KD Hồng Lộc,Nhiều Nhà Xuất Bản,9780000100245,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279027355,Sách ngoại văn: みんなの日本語 初級II 第 2 版 本冊 - Minna no Nihongo Beginner II 2nd Edition,820600,846000,3,0,0,0,Varios,Kinokuniya Book Stores,Nhiều Nhà Xuất Bản,9784883196463,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278350545,English for Medicine in Higher Education Studies - Course Book,189000,189000,0,0,0,1,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786044896441,Bìa mềm,160,2025-07-01,Dtpbooks,available,1000,True,True,True
278062821,Sách ngoại văn: 江戸の図譜 魚 - Edo No Zufu Sakana,675100,696000,3,0,0,0,,Kinokuniya Book Stores,Kawade Shobo Shinsha,9784309257396,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278017158,Sách ngoại văn: Takashi Takeuchi Fate Art Works: Return To Avalon (Japanese Edition),1629600,1680000,3,0,0,1,,Kinokuniya Book Stores,KADOKAWA,9784041084700,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
276826941,LE PETIT NICOLAS S'AMUSE,336000,336000,0,0,0,1,Goscinny & Sempé,Folio,SODIS,9782070447992,Bìa mềm,144,2012-09-06,Librairie francaise de Hanoi,available,1000,True,True,True
276295370,Oxford Advanced Learner's Dictionary 8th with Vietnamese Translation (HB - Bìa cứng),730000,730000,0,0,0,50,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Oxford,9996041055424,Bìa cứng,,2022-04-01,Dtpbooks,available,1000,True,True,True
276149609,ヴィンランド・サガ - Vinland Saga 1,310400,321000,3,0,0,0,,Kinokuniya Book Stores,Kodansha,9784063144239,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
275793440,Succeed in APTIS with 6 Practice Tests - New format 2020,189000,189000,0,5,2,64,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,EDPUB,9789811753046,Bìa mềm,118,2024-07-15,Dtpbooks,available,1000,True,True,True
275793166,Succeed in TOEIC 1 (550-750) with 6 Practice Tests - New Revised format 2018,199000,199000,0,5,2,17,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,EDPUB,9789811753022,Bìa mềm,195,2024-07-15,Dtpbooks,available,1000,True,True,True
275793073,Succeed in IELTS 2 (5.0-6.5) with 6 Practice Tests (New),199000,199000,0,5,2,31,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,EDPUB,9789811753015,Bìa mềm,140,2024-07-15,Dtpbooks,available,1000,True,True,True
275786048,i-Learn English for Science 4 Student's Book 2nd Edition,99000,99000,0,5,3,80,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786044890081,Bìa mềm,65,2024-07-01,Dtpbooks,available,1000,True,True,True
275571485,Chinh phục kì thi Tiếng Anh - Tuyển sinh 10 tập 2 (NEW),139000,139000,0,5,5,336,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786044897615,Bìa mềm,100,2024-07-01,Dtpbooks,available,1000,True,True,True
275571109,Chinh phục kì thi Tiếng Anh - Tuyển sinh 10 tập 1,139000,139000,0,5,8,479,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786044892962,Bìa mềm,145,2024-07-01,Dtpbooks,available,1000,True,True,True
275062854,Bài tập Bổ trợ Tiếng Anh 9 Right On!,89000,89000,0,5,4,388,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786044891163,Bìa mềm,85,2024-05-15,Dtpbooks,available,1000,True,True,True
274961813,Story Central Plus Level 5 Student Book Pack,338000,338000,0,0,0,4,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,MacMillan,9781380061225,Bìa mềm,134,2022-05-09,Dtpbooks,available,1000,True,True,True
274961622,Story Central Plus Level 1 Student Pack,338000,338000,0,5,1,6,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,MacMillan,9781380060839,Bìa mềm,134,2022-04-04,Dtpbooks,available,1000,True,True,True
