id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
275792658,Combo Kid's Rainbow Pack 5+,177000,177000,0,0,0,0,nhieu tac gia,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,EDPUB,9990011755555,Bìa mềm,40,2024-07-15,Dtpbooks,available,1000,True,True,True
271071878,Tiếng Anh Amanda and Friends 3 Teacher's Book,129000,129000,0,5,1,5,,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786043377910,Bìa mềm,,,Dtpbooks,available,1000,True,True,True
271071874,Tiếng Anh Amanda and Friends 2 Teacher's Book,129000,129000,0,0,0,5,,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786043377903,Bìa mềm,,,Dtpbooks,available,1000,True,True,True
271071861,Tiếng Anh Amanda and Friends 1 Teacher's Book,129000,129000,0,0,0,6,,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786043377897,Bìa mềm,,,Dtpbooks,available,1000,True,True,True
263989805,Bộ sản phẩm Tiếng Anh Happy Hearts 3 - Student's Book & Workbook ((sách bài học và bài tập),117000,117000,0,0,0,31,,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786043006233,Bìa mềm,,2023-08-01,Dtpbooks,available,1000,True,True,True
263989759,Bộ sản phẩm Tiếng Anh Happy Hearts 2 - Student's Book & Workbook ((sách bài học và bài tập),117000,117000,0,0,0,7,,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786043006232,Bìa mềm,,2023-08-01,Dtpbooks,available,1000,True,True,True
263989610,Tiếng Anh Happy Hearts 3 - Student's Book,72000,72000,0,0,0,17,,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786049125959,Bìa mềm,,2023-07-01,Dtpbooks,available,1000,True,True,True
263989551,Tiếng Anh Happy Hearts 2 - Student's Book,72000,72000,0,0,0,30,,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786049125942,Bìa mềm,,2023-07-01,Dtpbooks,available,1000,True,True,True
263989521,Tiếng Anh Happy Hearts 1 - Student's Book,68000,68000,0,5,1,36,,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786049126741,Bìa mềm,,2023-08-01,Dtpbooks,available,1000,True,True,True
106363091,Hooray Let's Play Level A Fine Motor Skills & Phonological Awareness Activity Book,116000,116000,0,0,0,4,"Herbert Puchta,  Gunter Gerngross",CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Helbling Languages,9786049458453,Bìa mềm,76,,Dtpbooks,available,1000,True,True,True
106363083,Hooray Let's Play A2 Science & Math  and Fine Motor Skills-Phonological Awareness Activity Book,83000,83000,0,0,0,5,"Herbert Puchta,  Gunter Gerngross",CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Helbling Languages,9786049530760,Bìa mềm,82,,Dtpbooks,available,1000,True,True,True
53028284,Sách Learn English with Dora the Explorer 3 Activity Book,197600,208000,5,5,1,5,Tracey Gibbins,Oxford University Press,Oxford University Press,9780194052344,Paperback,88,2019-02-28,Nhà sách Fahasa,available,1000,True,True,True
49110477,MM Publications: Sách học tiếng Anh - Hi Kids 3 (Brit.) (Student's Book) + CD,303750,303750,0,0,0,0,H.Q Mitchell,MM PUBLICATIONS,MM PUBLICATIONS,9789605737177 ,Paperback,,,Blue Horizon Books,available,1000,True,True,True
49106105,MM Publications: Sách học tiếng Anh - Kids 2 (Brit.) (Workbook),297000,297000,0,0,0,0,H.Q Mitchell,MM PUBLICATIONS,MM PUBLICATIONS,9789605737146 ,Paperback,,,Blue Horizon Books,available,1000,True,True,True
49105068,MM Publications: Sách học tiếng Anh - Hi Kids 1 (Brit.) (Workbook),297000,297000,0,0,0,0,H.Q Mitchell,MM PUBLICATIONS,MM PUBLICATIONS,9789605737092 ,Paperback,,,Blue Horizon Books,available,1000,True,True,True
49104141,MM Publications: Sách học tiếng Anh - New Yippee Blue Book (Teacher's Book),371250,371250,0,0,0,0,H.Q Mitchell,MM PUBLICATIONS,MM PUBLICATIONS,9789604781751 ,Paperback,,,Blue Horizon Books,available,1000,True,True,True
49095031,MM Publications: Sách học tiếng Anh - Luyện phát phát âm - Funny Phonics 5 (Activity Book) + CD,297000,297000,0,0,0,0,H.Q Mitchell,MM PUBLICATIONS,MM PUBLICATIONS,9789604788378 ,Paperback,,,Blue Horizon Books,available,1000,True,True,True
49094677,MM Publications: Sách học tiếng Anh - Luyện phát phát âm - Funny Phonics 5 (Teacher's Book),492480,492480,0,0,0,0,H.Q Mitchell,Usborne Publishing Ltd,Usborne Publishing Ltd,9789604788385 ,Paperback,,,Blue Horizon Books,available,1000,True,True,True
49091481,MM Publications: Sách học tiếng Anh - Luyện phát phát âm - Funny Phonics 4 (Activity Book) + CD,297000,297000,0,0,0,2,H.Q Mitchell,MM PUBLICATIONS,MM PUBLICATIONS,9789604788354 ,Paperback,,,Blue Horizon Books,available,1000,True,True,True
49091150,MM Publications: Sách học tiếng Anh - Luyện phát phát âmFunny Phonics 4 (Student's Book),303750,303750,0,0,0,0,H.Q Mitchell,MM PUBLICATIONS,MM PUBLICATIONS,9789604787395,Paperback,,,Blue Horizon Books,available,1000,True,True,True
49090533,MM Publications: Sách học tiếng Anh - Luyện phát phát âmFunny Phonics 3 (Student's Book),303750,303750,0,0,0,0,H.Q Mitchell,MM PUBLICATIONS,MM PUBLICATIONS,9789604787388 ,Paperback,,,Blue Horizon Books,available,1000,True,True,True
49090287,MM Publications: Sách học tiếng Anh - Luyện phát phát âmFunny Phonics 3 (Activity Book) + CD,297000,297000,0,0,0,0,H.Q Mitchell,MM PUBLICATIONS,MM PUBLICATIONS,9789604788330,Paperback,,,Blue Horizon Books,available,1000,True,True,True
48960521,MM Publications: Sách học tiếng Anh - Luyện phát phát âm - Funny Phonics 2 (Teacher's Book),411750,411750,0,0,0,0,H.Q Mitchell,MM PUBLICATIONS,MM PUBLICATIONS,9789604788323,Paperback,,,Blue Horizon Books,available,1000,True,True,True
48952681,MM Publications: Sách học tiếng Anh - Luyện phát phát âm - Funny Phonics 1 (Activity Book) + CD,297000,297000,0,0,0,0,H.Q Mitchell,MM PUBLICATIONS,MM PUBLICATIONS,9789604788187 ,Paperback,,,Blue Horizon Books,available,1000,True,True,True
48948520,MM Publications: Sách học tiếng Anh - Luyện phát phát âm - Funny Phonics 1 (Student's Book),303750,303750,0,0,0,0,H.Q Mitchell,MM PUBLICATIONS,MM PUBLICATIONS,9789604787364 	,Paperback,,,Blue Horizon Books,available,1000,True,True,True
4605519,Sách Show and Tell 2: Literacy Book,142500,165000,14,0,0,2,,Oxford University Press,Oxford,9780194779142,Paperback,,,Nhà sách Fahasa,available,1000,True,True,True
4605507,Sách First Friends 2: Activity Book,99000,99000,0,4,1,3,Susan Iannuzzi,Oxford University Press,Oxford,9780194432504,Paperback,,,Nhà sách Fahasa,available,1000,True,True,True
4605501,Sách First Friends 1: Activity Book,99000,99000,0,4.8,4,57,,Oxford University Press,Oxford,9780194432399,Paperback,,,Nhà sách Fahasa,available,1000,True,True,True
4605497,[Hàng thanh lý miễn đổi trả] Sách Mouse and Me! 3: Student Book Pack,248900,262000,5,0,0,0,"Mary Charrington, Charlotte Covill",Oxford University Press,Oxford,9780194822718,Paperback,,,Nhà sách Fahasa,available,1000,True,True,True
2210729,Sách First Friends (Ame) 3 Activity Book,131100,138000,5,5,1,10,Susan Lanuzzi,Oxford University Press,Oxford University Press,9780194433693,Paperback,,2011-12-22,Nhà sách Fahasa,available,1000,True,False,True
2210727,Sách First Friends (Ame) 1 Activity Book,138000,138000,0,0,0,1,Susan Lanuzzi,Oxford University Press,Oxford University Press,9780194433679,Paperback,,2011-12-22,Nhà sách Fahasa,available,1000,True,False,True
2137875,Sách First Friends 3 Student Book and Audio CD Pack (American Edition),181400,191000,5,5,2,12,Susan Lanuzzi,Oxford University Press,Oxford University Press,9780194433457,Paperback,,2011-01-01,Nhà sách Fahasa,available,1000,True,True,True
2137861,Sách First Friends (Ame) 2 Activity Book,131100,138000,5,0,0,0,Susan Lanuzzi,Oxford University Press,Oxford University Press,9780194433686,Paperback,,2011-01-01,Nhà sách Fahasa,available,1000,True,True,True
