id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278378590,English For Environmental Science (Tiếng Anh Khoa Học Môi Trường),158000,158000,0,0,0,0,nhieu tac gia,NXB Bách Khoa Hà Nội,Nhà Xuất Bản Bách Khoa Hà Nội,9786326092080,Bìa mềm,232,2025-07-22,VIETNAMBOOK,available,1000,True,True,True
278378580,Linear Circuit І (Mạch Tuyến Tính I),230000,230000,0,0,0,0,Nguyễn Công Phương,NXB Bách Khoa Hà Nội,Nhà Xuất Bản Bách Khoa Hà Nội,9786044888996,Bìa mềm,412,2025-07-22,VIETNAMBOOK,available,1000,True,True,True
277937931,Sách - EQUATIONS WITH INTEGER SOLUTIONS,169000,169000,0,0,0,0,Vũ Hữu Bình,Thái Hà,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,9786044342368,Bìa mềm,152,2025-05-09,NHBook,available,1000,True,True,True
277549550,Sách - 50 physics ideas you really need to know by Joanne Baker,380000,380000,0,0,0,0,Many Authors,Quercus Publishing,Quercus Publishing,9781848667068,Bìa cứng,207,2007-03-22,Bookworm Hà Nội,available,1000,True,True,True
277543411,Sách - Trigonometry: A Complete Introduction (Teach Yourself) by Hugh Neill - Sách ngoại văn,350000,350000,0,0,0,0,Hugh Neill,Hodder & Stoughton,Teach Yourself Books,9781473678491,Bìa mềm,187,2018-03-01,Bookworm Hà Nội,available,1000,True,True,True
270307701,My IELTS Book 1B PREPARATION COURSE Student's & Workbook,179000,179000,0,4.7,3,71,,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Nhà Xuất Bản Đại Học Huế,9786043992533,,,,Dtpbooks,available,1000,True,True,True
208213250,Sách Trái Đất - Sự Vận Hành Tự Nhiên - Bách Khoa Toàn Thư ( Our Earth ),334330,499000,33,0,0,21,,Công ty cổ phần đầu tư và phát triển giáo dục quốc tế Á Châu,Nhà Xuất Bản Lao Động,978-604-386-348-2,Bìa cứng,256,2023-10-23,Korichi Official,available,1000,True,True,True
91986008,Sách - Chính Trị Đảng Phái Tại Hoa Kỳ - Parties Politics In America,269000,269000,0,0,0,0,,Alphabooks,,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
36316468,Super Minds 4 - Student's Book,211800,223000,5,4.5,10,87,"Gunter Gerngross,  Peter Lewis Jones, Herbert Puchta",Cambridge University Press,,9781107646841,,,,Nhà sách Fahasa,available,1000,True,True,True
35859733,Face2Face Pre-Int SB,156700,182000,14,5,55,317,"Gillie Cunningham, Chris Redston",Cambridge,CAMBRIDGE,9780521732826,,,,Nhà sách Fahasa,available,1000,True,True,True
34752588,Four Corners WB 2B,80700,94000,14,5,15,121,,Cambridge University Press,,9781107625532,,,,Nhà sách Fahasa,available,1000,True,True,True
34752290,Four Corners SB 3A w CD-Rom,114900,133000,14,5,14,126,"Jack C Richards,  David Bohlke",Cambridge,,9781107616219,,,,Nhà sách Fahasa,available,1000,True,True,True
34752193,Key English Test 5 with Answers Reprint Edition - Cambridge,103700,107000,3,5,24,179,Cambridge,Cambridge,,9780521226462,,,,Nhà sách Fahasa,available,1000,True,True,True
32222722,Super Minds 3 - Workbook,116800,123000,5,5,8,93,"Gunter Gerngross,  Peter Lewis Jones, Herbert Puchta",Cambridge University Press,,9781107682665,,,,Nhà sách Fahasa,available,1000,True,True,True
32222713,Cambridge IELTS 8 With Answers (Ngôn ngữ Tiếng Anh),168700,174000,3,4.7,57,261,Cambridge University,Cambridge University,,9781107616851,,,,Nhà sách Fahasa,available,1000,True,True,True
32221982,Four Corners SB 2B w CD-Rom,114900,133000,14,5,23,176,"Jack C Richards,  David Bohlke",Cambridge,,9781107675438,,,,Nhà sách Fahasa,available,1000,True,True,True
29355249,Super Minds 2 - Workbook,116800,123000,5,5,19,208,"Gunter Gerngross,  Peter Lewis Jones, Herbert Puchta",Cambridge University Press,,9781107645219,,,,Nhà sách Fahasa,available,1000,True,True,True
26149080,Cambridge English Prepare! Level 5 Student's Book - Reprint,211400,240000,12,4.8,5,60,"Annette Capel, Niki Joseph",Cambridge University Press,Cambridge University Press,9781316611517,Bìa mềm,,2015-06-24,Nhà sách Fahasa,available,1000,True,True,True
25538040,English Unlimited - Starters - WB with CD Reprint Edition,73700,84000,12,4.5,13,47,"Adrian Doff,  Nick Robinson",Cambridge,Đang cập nhật,9781107674844,,,,Nhà sách Fahasa,available,1000,True,True,True
25204429,Complete IELTS Bands 6.5-7.5 (C1) SB with Answer & CD-ROM,265000,307000,14,4.8,129,792,"Hart and Vanessa Jakeman, Guy Brook",Cambridge University,,9781107699946,,,,Nhà sách Fahasa,available,1000,True,True,True
25204192,Four Corners WB 1A,80700,94000,14,3.4,8,95,"David Bohlke, Jack C Richards",Cambridge,,9781107618527,,,,Nhà sách Fahasa,available,1000,True,True,True
25203779,Cambridge Preliminary English Test 4 Student's Book with Answers,107600,122000,12,4.6,12,109,Cambridge,Cambridge,CAMBRIDGE,9780521227117,,,,Nhà sách Fahasa,available,1000,True,True,True
25203699,Face2Face Pre-Int WB with key Reprint Edition,50300,58000,13,4.8,18,111,"Gillie Cunningham, Chris Redston",Cambridge,Đang cập nhật,9780521732833,,,,Nhà sách Fahasa,available,1000,True,True,True
25203174,Kid's Box 2 Activity Book Reprint Edition,80500,91000,12,4.7,3,39,"Michael Tomlinson, Caroline Nixon",Cambridge,Đang cập nhật,9780521148702,,,,Nhà sách Fahasa,available,1000,True,True,True
25202371,Super Minds Starter Student's Book with DVD-ROM,211800,223000,5,5,14,377,"Gunter Gerngross,  Peter Lewis Jones, Herbert Puchta",Cambridge University Press,,9781107664166,,,,Nhà sách Fahasa,available,1000,True,True,True
25202299,English Vocabulary In Use Advance,107300,124000,13,5,122,872,"Felicity O'Dell, Michael McCarthy",Cambridge,Đang cập nhật,9780521704205,,,,Nhà sách Fahasa,available,1000,True,True,True
25201722,Complete IELTS B2 Workbook with answer & Audio CD,104500,121000,14,5,33,420,Mark Harrison,Cambridge,CAMBRIDGE,9781107675452,Bìa cứng,,2024-03-13,Nhà sách Fahasa,available,1000,True,True,True
24166156,Cambridge Preliminary English Test 3 Student's Book with Answers Reprint Edition,107600,122000,12,4.5,16,122,Cambridge,Cambridge,,9780521226783,,,,Nhà sách Fahasa,available,1000,True,True,True
23439043,Four Corners WB 4B,80700,94000,14,5,9,40,"David Bohlke, Jack C Richards",Cambridge,,9781107678187,,,,Nhà sách Fahasa,available,1000,True,True,True
23438897,Super Minds 1 - Workbook,116800,123000,5,4.7,19,228,"Gunter Gerngross,  Peter Lewis Jones, Herbert Puchta",Cambridge University Press,,9781107689237,,,,Nhà sách Fahasa,available,1000,True,True,True
23438633,Cambridge English Prepare! Level 1 Student's Book ,207100,240000,14,5,10,160,"Joanna Kosta, Melanie Williams",Cambridge University Press,Đang cập nhật,9781316611357,Bìa cứng,,2024-03-13,Nhà sách Fahasa,available,1000,True,True,True
23438231,Objective KET Workbook with Answers,68800,78000,12,4.5,2,47,"Annette Capel,  Wendy Sharp",Cambridge,Đang cập nhật,9780521225953,,,,Nhà sách Fahasa,available,1000,True,False,True
23436877,Super Minds 5 - Workbook,116800,123000,5,5,5,43,"Gunter Gerngross,  Peter Lewis Jones, Herbert Puchta",Cambridge University Press,,9781107664975,,,,Nhà sách Fahasa,available,1000,True,True,True
