customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
1903392,276420640,,53660,Nhà sách Fahasa,3,,,2025-03-03 18:12:29+00:00,2025-03-05 15:38:18+00:00,20092419
11976471,274168357,,1231,Xunhasaba Thế giới Sách Ngoại văn,4,,,2025-03-01 03:17:37+00:00,2025-03-06 13:46:35+00:00,20091908
20302514,214935209,,1231,Xunhasaba Thế giới Sách Ngoại văn,2,,,2023-06-30 08:32:11+00:00,2023-07-06 11:42:58+00:00,19358193
8263080,214935209,,1231,Xunhasaba Thế giới Sách Ngoại văn,3,,,2023-01-19 10:26:09+00:00,2023-01-30 16:40:23+00:00,18706511
11106828,214935209,,1231,Xunhasaba Thế giới Sách Ngoại văn,4,,,2023-06-27 09:45:12+00:00,2023-06-30 14:53:35+00:00,19338629
21713379,214935209,,1231,Xunhasaba Thế giới Sách Ngoại văn,4,,,2023-06-16 02:30:18+00:00,2023-06-19 11:16:36+00:00,19329668
5094181,76250643,,53660,Nhà sách Fahasa,4,,,2023-03-23 14:12:34+00:00,2023-03-24 14:38:27+00:00,19015769
28548794,76250643,,53660,Nhà sách Fahasa,1,,,2026-03-03 02:35:08+00:00,2026-03-06 15:22:18+00:00,20220908
23045188,76250643,,53660,Nhà sách Fahasa,1,,,2024-10-09 17:01:53+00:00,2024-10-14 17:10:19+00:00,20102012
512167,76250643,,26892,Moonbooks,2,,,2022-09-21 03:22:34+00:00,2022-09-23 11:27:07+00:00,17797470
20187549,76250643,,53660,Nhà sách Fahasa,4,,,2022-02-18 17:34:57+00:00,2022-03-02 16:25:39+00:00,15223976
21594134,76250643,,53660,Nhà sách Fahasa,1,,,2022-04-04 04:13:27+00:00,2022-04-05 15:56:52+00:00,16626987
25089662,76250643,,53660,Nhà sách Fahasa,4,,,2022-03-13 09:02:24+00:00,2022-03-14 15:28:35+00:00,15585225
26533635,76250643,,53660,Nhà sách Fahasa,3,,,2022-03-08 09:10:47+00:00,2022-03-12 14:39:09+00:00,15755726
20326775,76250643,,53660,Nhà sách Fahasa,4,,,2022-03-13 12:17:51+00:00,2022-03-17 11:26:29+00:00,15465611
23336501,76250643,,53660,Nhà sách Fahasa,3,,,2021-08-31 05:48:02+00:00,2021-09-06 12:25:45+00:00,12115463
14814886,76250643,,53660,Nhà sách Fahasa,1,,,2021-02-07 06:59:20+00:00,2021-02-08 12:46:20+00:00,9261958
1948438,50702280,,1,Tiki Trading,1,,,2021-07-11 02:27:38+00:00,2021-07-12 10:57:55+00:00,11131819
29619001,50702280,,53660,Nhà sách Fahasa,2,,,2024-05-01 12:47:39+00:00,2024-05-03 17:56:14+00:00,19888650
27779982,50702280,,53660,Nhà sách Fahasa,2,,,2024-03-21 09:00:01+00:00,2024-03-23 11:10:16+00:00,19817417
1012249,50702280,,53660,Nhà sách Fahasa,3,,,2021-06-20 18:33:29+00:00,2021-06-24 10:11:07+00:00,10627189
12411190,50702280,,53660,Nhà sách Fahasa,2,,,2023-03-18 12:46:11+00:00,2023-03-23 18:25:13+00:00,19323721
7587332,50702280,,53660,Nhà sách Fahasa,4,,,2023-03-18 06:28:37+00:00,2023-03-20 17:38:16+00:00,18992790
