id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279065834,Sách - Buddenbrooks by Thomas Mann | Classics / Historical Fiction / Ngoại văn Kinh điển Nhập khẩu,520000,520000,0,0,0,1,Thomas Mann,Vintage Classics,Vintage Classics,9780749386474,Bìa mềm,864,1996-09-18,Bookworm Hà Nội,available,1000,True,True,True
279043224,Sách ngoại văn: Daughters Of Warsaw,228000,240000,5,0,0,0,nhieu tac gia,Usborne,Nhiều Nhà Xuất Bản,9780008595241,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279042237,Sách ngoại văn: When The World Fell Silent,228000,240000,5,0,0,0,nhieu tac gia,Usborne,Nhiều Nhà Xuất Bản,9780008647056,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279041983,Sách ngoại văn: Take My Hand,284200,293000,3,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780593337714,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279041503,Sách ngoại văn: Wolf King,279300,288000,3,0,0,0,Curtis Jobling,Penguin Books,Nhiều Nhà Xuất Bản,9780241758762,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279026460,Sách ngoại văn: Lines Of Courage,373300,393000,5,0,0,0,Jennifer A. Nielsen,Scholastic,Scholastic Press,9781338620931,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278816426,Sách - The Book Of Longings by Sue Monk Kidd | Historical Fiction / Ngoại văn Nhập khẩu,300000,300000,0,0,0,0,Sue Monk Kidd,Tinder Press,Tinder Press,9781472232519,Bìa mềm,432,2021-10-04,Bookworm Hà Nội,available,1000,True,True,True
278816228,Sách - Winter Garden by Kristin Hannah | Historical Fiction / Ngoại văn Nhập khẩu,350000,350000,0,0,0,0,Kristin Hannah,Pan Books,Pan Books,9781529089578,Bìa mềm,406,2022-02-08,Bookworm Hà Nội,available,1000,True,True,True
278793228,Sách - Madame Bovary (Wordsworth Classics) by Gustave Flaubert | English Book - French Literature,180000,180000,0,0,0,0,Gustave Flaubert,,,,,,,,out_of_stock,,False,False,False
278713920,Sách ngoại văn: River Sing Me Home,708100,730000,3,0,0,0,Eleanor Shearer,Penguin Books,Berkley Books,9780593548042,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278098359,Dance Dance Dance,299000,299000,0,0,0,0,Haruki Murakami,Penguin,Penguin,9780099448761,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
