id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279072046,Sách - Scoop - Evelyn Waugh| Classics / Satire Fiction / Ngoại văn/ Tiểu thuyết trào phúng Nhập khẩu,350000,350000,0,0,0,0,Evelyn Waugh,Penguin Classics,Penguin Classics,9780141184029,Bìa mềm,336,2000-12-27,Bookworm Hà Nội,available,1000,True,True,True
279045600,Sách ngoại văn: Touch [Movie Tie-In],382800,403000,5,0,0,0,nhieu tac gia,HarperCollins Publishers,Nhiều Nhà Xuất Bản,9780063425378,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278677069,"Sách - Traditional Vietnamese Trickster Tales, Including the King, the Fairy and the Buffalo",120000,120000,0,0,0,0,NXB Thế Giới,NXB Thế Giới,Nhà Xuất Bản Thế Giới,9786047721832,Bìa mềm,150,2016-09-14,Bookworm Hà Nội,available,1000,True,True,True
278677059,Sách - Funny Folk Tales In Việt Nam (Truyện Cười Việt Nam) by NXB Thế Giới,60000,60000,0,0,0,0,NXB Thế Giới,NXB Thế Giới,Nhà Xuất Bản Thế Giới,9786047776856,Bìa mềm,159,2020-09-14,Bookworm Hà Nội,available,1000,True,True,True
278113506,Sách ngoại văn: Rabbit And Bear - This Lake Is Fake!,291600,308000,5,0,0,0,Julian Gough,Hachette UK Distribution,Hodder Children's Books,9781444947588,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278113416,Sách ngoại văn: Rabbit And Bear - A Bad King Is A Sad Thing - Book 5,291600,308000,5,0,0,0,Julian Gough,Hachette UK Distribution,Hodder Children's Books,9781444937473,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278113414,Sách ngoại văn: Rabbit And Bear - Attack Of The Snack,291600,308000,5,0,0,0,Julian Gough,Hachette UK Distribution,Hodder Children's Books,9781444921724,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278113320,Sách ngoại văn: Rabbit And Bear - A Bite In The Night - Book 4,291600,308000,5,0,0,0,Julian Gough,Hachette UK Distribution,Hodder Children's Books,9781444921748,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278113286,Sách ngoại văn: Romancing Mister Bridgerton [Tv Tie-In],459800,484000,5,0,0,0,Julia Quinn,HarperCollins Publishers,HarperCollins Publishers,9780063372122,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
277975460,Sách - The Unadulterated Cat: The Amazing Maurice Edition by Terry Pratchett - Humor/ Fantasy in English,280000,280000,0,0,0,0,Terry Pratchett,Gollancz,Gollancz,9781399608688,Bìa cứng,124,2022-05-17,Bookworm Hà Nội,available,1000,True,True,True
198996355,Humans: A Brief History Of How We F*cked It All Up,410300,423000,3,0,0,1,,Hachette UK Distribution,Wildfire,9781472259059,,,,Nhà sách Fahasa,available,1000,True,False,True
160268741,Old Man Goriot,270000,270000,0,0,0,0,,,,,,,,,out_of_stock,,False,False,False
48754872,The Bro Code,488300,514000,5,5,7,35,Barney Stinson,Simon and Schuster,Fireside,9781439110003,,,,Nhà sách Fahasa,available,1000,True,True,True
40367640,Puddin,179000,179000,0,5,2,8,,,Harper Collins,9780062418388,Bìa cứng,448,2018-05-08,Foreignbooks,available,1000,True,False,True
21090700,Sách The Notebook Of Doom Book 06: Pop Of The Bumpy Mummy,140600,148000,5,0,0,0,Troy Cummings,Scholastic,Scholastic,9780545698986,Bìa mềm,96,2014-01-01,Nhà sách Fahasa,available,1000,True,False,True
21089697,Sách The Notebook Of Doom Book 05: Whack Of The P-Rex,140600,148000,5,0,0,0,Troy Cummings,Scholastic,Scholastic,9780545698955,Bìa mềm,96,2014-01-01,Nhà sách Fahasa,available,1000,True,False,True
14949943,There's a Snake in My School!,199000,199000,0,5,2,6,David Walliams,,HarperCollins,9780008172718,Paperback,32,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
4598641,Sách Crazy Rich Asians (Movie Tie-In Edition) - Con nhà siêu giàu Châu Á,189000,189000,0,5,1,50,Kevin Kwan,Penguin Random House,Penguin Random House US,9780525564911,Paperback,,,Foreignbooks,available,1000,True,True,True
