id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
275875100,Pachinko,299000,299000,0,5,2,17,Min Jin Lee,,Head of Zeus,9781838930509,Bìa mềm,560,,Nhà Sách Phương Nam,available,1000,True,True,True
531696,Sách The Collected Poems Of William Wordsworth,169000,169000,0,5,4,31,William Wordsworth,Wordsworth Editions Ltd,Wordsworth Editions Ltd,9781853264016,Paperback,1120,1994-01-05,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
253166380,The Sun And Her Flowers,359000,359000,0,0,0,4,Rupi Kaur,Phương Nam Book,Simon & Schuster,9781471165825,Bìa mềm,209,,Nhà Sách Phương Nam,available,1000,True,True,True
26317299,The Universe of Us ( vũ trụ của chúng ta),425600,448000,5,5,4,13,Lang Leav,,Andrews McMeel Publishing,9781449480127,Paperback,240,,Nhà sách Fahasa,available,1000,True,True,True
277870399,"Sách - The Song Of Kieu by Nguyễn Du - Truyện Kiều bản tiếng Anh, Poetry Vietnam, Thơ ca Việt Nam",450000,450000,0,0,0,0,Nguyễn Du,Penguin Books,Penguin Books,9780241360668,Bìa mềm,166,2019-04-19,Bookworm Hà Nội,available,1000,True,True,True
98686556,Show and Tell,200000,200000,0,0,0,1,,ARTBook,Penguin Random House,9781591848028,,,,Artbook,available,1000,True,True,True
19901180,Sách Collected Poems of Rudyard Kipling,182000,182000,0,4.5,2,14,Rudyard Kipling,Wordsworth Editions Ltd,Wordsworth Editions Ltd,9781853264054,Paperback,928,1999-12-01,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
279154591,Sách - The Iliad by Homer - Classics/Poetry/Fiction/Book in English - Sách Ngoại Văn Nhập Khẩu,380000,380000,0,0,0,0,Homer,Penguin Classics,Penguin Classics,9780140447941,Bìa mềm,560,2003-05-14,Bookworm Hà Nội,available,1000,True,True,True
566990,Sách Milk And Honey,349000,349000,0,5,4,51,Rupi Kaur,Simon & Schuster,Simon & Schuster,9781449474256,Paperback,208,2015-10-06,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
19901168,Sách The Collected Poems of Elizabeth Barrett Browning,169000,169000,0,5,2,23,Elizabeth Barrett Browning,Wordsworth Editions Ltd,Wordsworth Editions Ltd,9781840225884,Paperback,736,2015-07-15,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
2044073,Sách The Sun And Her Flowers,399000,399000,0,0,0,21,Rupi Kaur,Simon & Schuster,Simon & Schuster,9781471165825,Paperback,256,2017-01-01,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
278722659,Sách - Twenty Love Poems and a Song of Despair by Pablo Neruda | Classics Poetry / Ngoại văn,280000,280000,0,0,0,1,Many Authors,Penguin,Penguin,9781787330573,Bìa mềm,65,2004-08-20,Bookworm Hà Nội,available,1000,True,True,True
19888593,Sách Collected Poems of Oscar Wilde,182000,182000,0,5,4,21,Oscar Wilde,Wordsworth Editions Ltd,Wordsworth Editions Ltd,9781853264535,Paperback,224,2000-08-05,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
277780909,Sách - Time Is a Mother by Ocean Vuong - Thơ/Poetry Vietnam,480000,480000,0,0,0,4,Ocean Vuong,Penguin Random House,Jonathan Cape,9781787333703,Bìa mềm,85,2022-04-21,Bookworm Hà Nội,available,1000,True,True,True
50078692,Sách The Inferno,100000,100000,0,3.5,2,5,Dante Alighieri,Penguin Random House,Penguin Random House,9780451531391,Paperback,320,2014-09-19,Nhà sách Fahasa,available,1000,True,False,True
274970073,The Brothers Hawthorne,269000,269000,0,0,0,3,Jennifer Lynn Barnes,Penguin,Penguin,9780241638507,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
2044071,Sách The Sun And Her Flowers,437000,460000,5,5,23,138,Rupi Kaur,Simon & Schuster,Andrews McMeel Publishing,9781449486792,Paperback,256,2017-01-01,Nhà sách Fahasa,available,1000,True,True,True
105539270,Quidditch Through the Ages - Illustrated Edition,808000,808000,0,0,0,1,,Bloomsbury,Bloomsbury,9781526608123,,,,Cá Chép Bookstore,available,1000,True,False,True
253146743,Milk and Honey,359000,359000,0,1,1,9,Rupi Kaur,Phương Nam Book,Andrews McMeel Publishing,9781449474256,Bìa mềm,208,,Nhà Sách Phương Nam,available,1000,True,True,True
19901172,Sách Collected Poems of Robert Burns,169000,169000,0,5,1,8,Robert Burns,Wordsworth Editions Ltd,Wordsworth Editions Ltd,9781853264153,Paperback,624,1998-09-01,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
10183841,The Witch Doesn't Burn In This One (Women Are Some Kind of Magic 2) ,339000,339000,0,4.6,5,17,,Andrews McMeel Publishing,Andrews McMeel Publishing,9781449489427,Paperback,191,2018-01-05,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
278794357,Sách - The Works of John Keats |  Classics Literature / Poetry / Ngoại văn Kinh điển Nhập khẩu,280000,280000,0,0,0,0,John Keats,Wordsworth Editions Ltd,Wordsworth Editions Ltd,9781853264047,Bìa mềm,544,1994-07-05,Bookworm Hà Nội,available,1000,True,True,True
278788826,Sách - The Collected Poems of W.B. Yeats (Wordsworth Poetry Library) by W.B. Yeats | English Book,280000,280000,0,0,0,0,W. B. Yeats,,,,,,,,out_of_stock,,False,False,False
279174199,"Sách - Sincerity by Carol Ann Duffy - Poetry, LGBT, Queer In English",350000,350000,0,0,0,0,Carol Ann Duffy,PICADOR,Picador,9781509893454,Bìa mềm,75,2019-02-06,Bookworm Hà Nội,available,1000,True,True,True
274677795,Beowulf: Dual Language And New Verse Translation,310600,327000,5,0,0,1,...,Đang cập nhật,Đang cập nhật,9781847497949,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
