id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279046238,Sách ngoại văn: Water Moon,349200,360000,3,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780857505347,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279043696,Sách ngoại văn: Shadow Of The Scorpion,296800,306000,3,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781509868483,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279043528,Sách ngoại văn: A Power Unbound,290700,306000,5,0,0,1,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781529081008,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279043016,Sách ngoại văn: Herc,266000,280000,5,0,0,0,nhieu tac gia,Usborne,Nhiều Nhà Xuất Bản,9780008589875,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279042335,Sách ngoại văn: Under the Oak Tree - Volume 1,548300,596000,8,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780593871195,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279040952,Sách ngoại văn: House Of Flame And Shadow,296800,306000,3,5,1,1,Sarah J. Maas,Hachette UK Distribution,Nhiều Nhà Xuất Bản,9781526650344,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279033186,Sách ngoại văn: The Forest Grimm,252000,252000,0,0,0,0,nhieu tac gia,Usborne,Nhiều Nhà Xuất Bản,9780008588335,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279027023,Sách ngoại văn: The Alchemyst,271700,286000,5,0,0,0,Michael Scott,Grantham Book Services,Nhiều Nhà Xuất Bản,9780552562522,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278942951,Sách ngoại văn: Dune Messiah - Deluxe Edition,731400,795000,8,0,0,0,Frank Herbert,Penguin Books,Ace Books,9780593548448,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278884105,Sách ngoại văn: Powerless - Ultra Deluxe Edition - Hardback,892800,918000,3,0,0,0,Lauren Roberts,Simon and Schuster,Simon and Schuster,9781398558038,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278882012,Sách Harry Potter: The Dark Arts (Tiny Book),219000,219000,0,0,0,0,J.K. Rowling,Phương Nam Book,Insight Editions,9781683834595,Bìa cứng,,,Nhà Sách Phương Nam,available,1000,True,True,True
278805003,Sách - Neuromancer by William Gibson - Science Fiction/Fiction book in English - Sách Ngoại Văn,300000,300000,0,0,0,2,Many Authors,Gollancz,Gollancz,9781473217386,Bìa mềm,320,2016-04-09,Bookworm Hà Nội,available,1000,True,True,True
278715007,Sách - Ready Player One by Ernest Cline | Fantasy / Science Fiction in English / Ngoại văn Nhập khẩu,220000,220000,0,0,0,0,Ernest Cline,Penguin,Penguin,9781787461420,Bìa mềm,384,2012-04-27,Bookworm Hà Nội,available,1000,True,True,True
278632049,Sách ngoại văn: Alchemised - Paperback,793200,836000,5,5,1,2,nhieu tac gia,Penguin Books,Del Rey,9798217091256,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278632046,Sách ngoại văn: Alchemised - Hardcover,771400,812000,5,5,1,2,nhieu tac gia,Penguin Books,Del Rey,9780593972700,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
277539346,THE FALL OF GONDOLIN,299000,299000,0,5,2,5,J. R. R. Tolkien,Harper Collins,Harper Collins,9780008655662,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
276523496,11.22.63 (Reissue),399000,399000,0,0,0,1,Stephen King,Hachette UK,Hachette UK,9781444727333,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
276048616,The City Of Ember,204200,215000,5,5,3,7,Jeanne DuPrau,Penguin Books,Random House USA Inc,9780375822742,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
275089016,"House of Earth and Blood: Crescent City, Book 1 ",299000,299000,0,5,1,4,Sarah J. Maas,Penguin,Penguin,9781526663559,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
275088261,Harry Potter and the Half-Blood Prince,299000,299000,0,0,0,2,J.K. Rowling,Penguin,Penguin,9781408894767,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
274991789,This Woven Kingdom 3: All This Twisted Glory,300200,316000,5,0,0,2,Tahereh Mafi,HarperCollins Publishers,HarperCollins Publishers,9780063375536,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274991780,Gallant - V. E. Schwab,355300,374000,5,0,0,0,V. E. Schwab,HarperCollins Publishers,Greenwillow Books,9780062835789,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274545107,Dune (Movie Tie-In),277400,292000,5,5,1,9,...,Penguin Books,Penguin Publishing Group,9780593640340,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
271363458,Outlander 2: Dragonfly In Amber ,299000,299000,0,0,0,0,,Penguin,Penguin,9781784750909,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
262382354,A STORM OF SWORDS - Blood and Gold Book 3 Part 2,199000,199000,0,0,0,5,,Harper Collins,Harper Collins,9780007119554,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
262381959,"A Feast for Crows: A Song of Ice and Fire, Book 4",199000,199000,0,0,0,2,,Harper Collins,Harper Collins,9780006486121,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
262381714,"A Dance with Dragons: A Song of Ice and Fire, Book 5",199000,199000,0,0,0,3,,Harper Collins,Harper Collins,9780006486114,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
242076453,A Song Of Ice And Fire 4: A Feast For Crows,497800,524000,5,0,0,0,George R R Martin,Usborne,Harper Voyager,9780007459476,,,,Nhà sách Fahasa,available,1000,True,True,True
217329917,"A Game of Thrones (A Song of Ice and Fire, Book 1)",195900,202000,3,1,1,13,George R. R. Martin,Usborne,Voyager,9780006479888,,,,Nhà sách Fahasa,available,1000,True,False,True
210527686,The Invisible Man and The Food of the Gods,120000,120000,0,0,0,4,,Wordsworth Editions Ltd,Wordsworth Editions Ltd,9781840227413,,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
198495243,The Peoples Of Middle-earth,322000,339000,5,5,1,3,J. R. R. Tolkien,Usborne,HarperCollins Publishers,9780261103481,,,,Nhà sách Fahasa,available,1000,True,True,True
195472345,The Sandman Book Of Dreams,392300,413000,5,4.5,2,12,Neil Gaiman,HarperCollins Publishers,William Morrow,9780061053542,,,,Nhà sách Fahasa,available,1000,True,True,True
78911430,Tiểu thuyết tiếng Anh - The Hound of the Baskervilles & The Valley of Fear,144180,162000,11,4.8,4,12,Arthur Conan Doyle,Wordsworth Editions Ltd,Wordsworth Editions Ltd,9781840224009,Bìa mềm,336,1999-12-01,Blue Horizon Books,available,1000,True,True,True
41592420,Crown of Midnight,249000,249000,0,5,2,4,Sarah J. Maas,,Bloomsbury,9781408834947,Paperback,432,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
4336127,Sách Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay (Hardback) -Tội ác của Grindelwald - Kịch bản gốc,568100,598000,5,4.8,6,14,,Scholastic,Scholastic Inc,9781338263893,Hardback,,,Nhà sách Fahasa,available,1000,True,True,True
2530069,Sách Harry Potter: Quidditch Through The Ages (Paperback) - Quidditch qua các thời đại (English Book),247900,261000,5,5,6,53,,Bloomsbury,Bloomsbury,9781408883082,Paperback,144,2017-02-09,Nhà sách Fahasa,available,1000,True,True,True
2016235,Sách Harry Potter: Fantastic Beasts And Where To Find Them (Paperback) (English Book),271700,286000,5,5,13,60,,Bloomsbury,Bloomsbury Publishing PLC,9781408896945,Paperback,144,2018-01-25,Nhà sách Fahasa,available,1000,True,True,True
526325,Sách Percy Jackson And The Greek Heroes - Paperback,281200,296000,5,5,3,12,Rick Riordan,Penguin Random House,Penguin Random House US,9780141362250,Paperback,560,2016-05-05,Nhà sách Fahasa,available,1000,True,True,True
435249,Sách Harry Potter Part 5: Harry Potter And The Order Of The Phoenix (Paperback) (Harry Potter và Hội phượng hoàng) (English Book),429000,429000,0,5,3,31,,Bloomsbury,Bloomsbury,9781408855690,Paperback,799,2014-05-21,Foreignbooks,available,1000,True,True,True
435075,Sách Harry Potter Part 6: Harry Potter And The Half-Blood Prince (Paperback) (Harry Potter và Hoàng Tử Lai) (English Book),329000,329000,0,4.3,6,32,,Bloomsbury,Bloomsbury,9781408855706,Paperback,541,2014-05-21,Foreignbooks,available,1000,True,True,True
279155461,Sách ngoại văn: Twice,380200,392000,3,0,0,0,Mitch Albom,HarperCollins Publishers,Harper Collins Publishers,9780062406682,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279043464,Sách ngoại văn: When The Moon Hatched,382800,403000,5,0,0,0,nhieu tac gia,HarperCollins Publishers,Nhiều Nhà Xuất Bản,9780063415805,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279042197,Sách ngoại văn: Starling House,290700,306000,5,0,0,1,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781529061147,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279041997,Sách ngoại văn: Lady Of Darkness,266000,280000,5,0,0,0,nhieu tac gia,Usborne,Nhiều Nhà Xuất Bản,9780008719340,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279041759,Sách ngoại văn: The Ashes And The Star-Cursed King 2,290700,306000,5,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781035040988,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279037914,Sách ngoại văn: One For My Enemy,329600,347000,5,0,0,0,nhieu tac gia,Macmillan US,Nhiều Nhà Xuất Bản,9781250884855,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032828,Sách ngoại văn: Percy Jackson And The Olympians 5: The Last Olympian,252700,266000,5,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9781368051453,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
