customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
304626,4977565,,1231,Xunhasaba Thế giới Sách Ngoại văn,2,,,2021-07-17 11:12:15+00:00,2021-07-24 14:36:43+00:00,11766747
12612698,9956804,,53660,Nhà sách Fahasa,3,,,2023-11-16 13:05:05+00:00,2023-11-21 09:56:17+00:00,19658315
23897229,9956804,,53660,Nhà sách Fahasa,2,,,2022-09-18 06:37:31+00:00,2022-09-19 15:27:17+00:00,17740363
596228,9956804,,53660,Nhà sách Fahasa,2,,,2022-04-02 11:57:21+00:00,2022-04-04 16:39:19+00:00,16642256
429987,9956804,,1,Tiki Trading,3,,,2021-01-28 13:14:20+00:00,2021-02-01 13:26:09+00:00,7607188
109382,9956804,,53660,Nhà sách Fahasa,1,,,2021-07-07 10:19:47+00:00,2021-07-09 12:57:25+00:00,11140855
785893,9956804,,1,Tiki Trading,1,,,2021-01-18 14:40:52+00:00,2021-01-25 17:36:49+00:00,8670357
2077802,9956804,,53660,Nhà sách Fahasa,3,,,2021-01-29 09:41:37+00:00,2021-02-01 12:04:29+00:00,7773716
15626077,9956804,,1,Tiki Trading,4,,,2021-01-17 20:48:02+00:00,2021-01-20 12:38:58+00:00,7147814
7351127,9956804,,6337,Foreignbooks,3,,,2020-10-12 14:19:11+00:00,2020-10-15 18:26:29+00:00,5586660
12629850,9956804,,1,Tiki Trading,4,,,2020-05-04 08:29:54+00:00,2020-05-05 11:08:30+00:00,4370497
24273325,263763826,,25557,Saigon Books Official,4,,,2024-03-03 08:46:57+00:00,2024-03-07 17:51:56+00:00,19959631
24273325,263763690,,25557,Saigon Books Official,3,,,2024-03-03 08:46:57+00:00,2024-03-07 17:51:56+00:00,19959630
13460108,8573610,,1231,Xunhasaba Thế giới Sách Ngoại văn,3,,,2025-08-11 13:32:43+00:00,2025-08-15 14:36:15+00:00,20163671
19884698,8573610,,1231,Xunhasaba Thế giới Sách Ngoại văn,2,,,2021-10-03 16:11:04+00:00,2021-10-05 12:43:40+00:00,12495233
1106251,8573610,,1231,Thế giới Sách Ngoại văn,2,,,2021-04-08 04:46:03+00:00,2021-04-12 12:52:01+00:00,9475132
11707856,8573610,,1231,Thế giới Sách Ngoại văn,4,,,2020-12-11 17:10:10+00:00,2020-12-17 12:02:04+00:00,6510794
