id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279039257,Sách ngoại văn: The White Book,488300,514000,5,0,0,0,Han Kang,Penguin Books,Nhiều Nhà Xuất Bản,9780525573067,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278713568,Sách - The Little Coffee Shop of Kabul: Uplifting international bestseller by Deborah Rodriguez,320000,320000,0,0,0,0,Deborah Rodriguez,Sphere,Sphere,9780751585704,Bìa mềm,389,2022-10-28,Bookworm Hà Nội,available,1000,True,True,True
277377728,Loathe To Love You,319000,319000,0,0,0,1,Ali Hazelwood,Hachette,Hachette,9781408726778,Bìa mềm,384,,Nhà Sách Phương Nam,available,1000,True,True,True
274818732,Sách Ngoại Văn - The Muse (Paperback by Jessie Burton (Author)),299000,299000,0,0,0,0,Jessie Burton,Công ty TNHH Thương mại và Dịch vụ Văn hóa Hà Nội,Picador,978-1447250975,Paperback,464,,Tazano Official Store,available,1000,True,True,True
274385021,Sách Someone Else's Shoes,320000,725000,56,0,0,3,Jojo Moyes,Penguin,Penguin,9781984879295,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
274384972,"Sách The Missus (Mister & Missus, 2)",205000,450000,54,5,1,1,E L James,Pacific Northwest-based publishing,Pacific Northwest-based publishing,9781728290270,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
274168850,"Lost and Found Bookshop, The",229000,229000,0,0,0,0,Susan Wiggs,Harper Collins,Harper Collins,9780062914125,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
272367350,Sách Heart Bones: A Novel,285000,432000,34,5,1,5,Colleen Hoover,Atria Books,Atria Books,9781668021910,Bìa mềm,368,,Tiki Trading,available,1000,False,True,True
271234795,The Final Gambit,269000,269000,0,5,1,5,,Penguin,Penguin,9780241573631,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
248575710,The Joy of Doing Nothing,329000,329000,0,0,0,0,,Adams Media Corporation,Adams Media Corporation,9781507204955,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
56225099,Sách tiếng Anh - Shopaholic Abroad,384480,432000,11,5,2,4,Sophie Kinsella,Transworld Publishers Ltd,Transworld Publishers,9780552773478,,,,Blue Horizon Books,available,1000,True,False,True
37503480,Sách tiếng Anh - The Choice,169000,169000,0,0,0,2,Nicholas Sparks,,Grand Central Publishing,9781455588985,Paperback,336,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
26594176,Have A Little Faith ,179000,179000,0,0,0,2,Mitch Albom,,Sphere,9780751537512,Paperback,272,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,False,True
15778812,We: The uplifting manual for women seeking happiness,239000,239000,0,0,0,0,Gillian Anderson,,Harper,9780008241933,Paperback,352,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
2565247,Leave Me,229000,229000,0,0,0,3,Gayle Forman,Penguin Random House,Simon & Schuster,9781471156793,Paperback,352,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
