customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
17521163,276356383,,53660,Nhà sách Fahasa,1,,,2024-10-13 00:07:31+00:00,2024-10-15 09:10:23+00:00,20006658
5983548,142417002,,246565,8xPub Store,3,,,2023-07-04 05:52:35+00:00,2023-07-06 10:08:25+00:00,19355347
111500,142417002,,246565,8xPub Store,1,,,2023-09-30 04:16:51+00:00,2023-10-03 10:51:45+00:00,19640753
769712,142417002,,246565,8xPub Store,4,,,2023-06-15 05:01:47+00:00,2023-06-18 16:12:02+00:00,19327915
1077239,142417002,,246565,8xPub Store,4,,,2023-05-18 01:40:28+00:00,2023-05-19 10:01:44+00:00,19214127
21087395,142417002,,229023,Nhà Sách Phương Nam,2,,,2022-12-11 14:07:47+00:00,2022-12-14 10:53:19+00:00,18431169
5920052,138225673,,1231,Xunhasaba Thế giới Sách Ngoại văn,4,,,2021-12-22 03:38:23+00:00,2021-12-23 16:00:38+00:00,14023730
5131538,138225673,,1231,Xunhasaba Thế giới Sách Ngoại văn,2,,,2021-11-21 11:45:15+00:00,2021-11-25 11:06:05+00:00,13421135
1777071,273367493,,189565,Nhà Xuất Bản Trẻ,3,,,2024-07-14 11:51:39+00:00,2024-07-16 14:21:49+00:00,19930004
12117493,3613643,,6337,Foreignbooks,2,,,2020-12-23 03:23:20+00:00,2020-12-24 11:46:47+00:00,6769308
8522912,274287381,,1,Tiki Trading,3,,,2024-10-21 11:39:45+00:00,2024-10-22 14:34:18+00:00,20074301
19014205,12118956,,12696,Blue Horizon Books,1,,,2025-09-02 02:56:13+00:00,2025-09-06 13:49:24+00:00,20166942
5896177,191780693,,53660,Nhà sách Fahasa,4,,,2023-02-14 11:12:48+00:00,2023-02-15 12:38:36+00:00,18805068
23491520,191780693,,53660,Nhà sách Fahasa,3,,,2022-08-31 02:10:24+00:00,2022-09-01 17:10:24+00:00,17775649
