id,customer_id,product_id,rating,title,content,status,thank_count,comment_count,images,seller_id,seller_name,delivery_rating
20101617,8874380,517852,5,Cực kì hài lòng,"Đóng gói cẩn thận, nhân viên hỗ trợ tốt, chất liệu sách kém, cần xem cải thiện chất liệu",approved,0,1,[],53660,Nhà sách Fahasa,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Có hẹn giờ trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
15695238,7273020,517852,5,Cực kì hài lòng,"Lần đầu chứng kiến Tiki bọc cẩn thận như này luôn, có cả chống sốc, bọc 3 lớp.
Hy vọng lần sau sẽ được trải nghiệm như lần này",approved,0,0,"[{'id': 3299685, 'full_path': 'https://salt.tikicdn.com/ts/review/90/60/d8/294c3db30dff524439454f859d04ead0.jpg', 'status': 'approved'}]",96,Tân Việt,[]
19267525,1356818,517852,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
18509253,1463540,517852,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
7154382,19881917,517852,3,Bình thường,"sách khá là cũ và chất liệu giấy ko tốt lắm. Nhưng mình rất hài lòng vì giao hàng nhanh và sách ko bị gãy bìa, hỏng gì cả",approved,0,0,[],1,Tiki Trading,[]
17148709,27867784,517852,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
12823032,6596546,517852,5,Cực kì hài lòng,"Sách hay, dịch vụ tốt, cảm Quý Cty.",approved,0,0,[],53660,Nhà sách Fahasa,[]
12591299,8018630,517852,5,Cực kì hài lòng,sách rất hay và khoa học,approved,0,0,[],53660,Nhà sách Fahasa,[]
11027309,194200,517852,5,Cực kì hài lòng,"Sách hay, đã mua tặng rất nhiều người",approved,0,0,[],53660,Nhà sách Fahasa,[]
10461381,15736491,517852,1,Rất không hài lòng,Nhiệm vụ nhánh theo yêu cầu người mua !!,approved,0,0,[],53660,Nhà sách Fahasa,[]
6708456,7965798,517852,3,Bình thường,Sách rẻ nên chất lượng giấy không cao,approved,0,0,"[{'id': 3176352, 'full_path': 'https://salt.tikicdn.com/ts/review/b2/a8/61/47d66d43f03e38731e2bdac8b2e31e63.jpg', 'status': 'approved'}]",1,Tiki Trading,[]
12648522,18736161,517852,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
7653874,555346,517852,5,Cực kì hài lòng,A routin : Reward  action checking,approved,0,0,[],53660,Nhà sách Fahasa,[]
9797340,828184,517852,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
7360751,15052747,517852,5,Cực kì hài lòng,Rất tốt nha,approved,0,0,[],53660,Nhà sách Fahasa,[]
6928852,6069142,517852,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
6879201,2153748,517852,4,Hài lòng,,approved,0,0,[],1,Tiki Trading,[]
6680357,1749037,517852,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
5957043,17671084,517852,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
5712420,9141302,517852,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
3425828,8695037,517852,4,Hài lòng,"giao nhanh, chất lượng giấy hơi xấu",approved,0,0,[],53660,Nhà sách Fahasa,[]
20038534,18495861,273310623,5,Cực kì hài lòng,,approved,0,0,[],229023,Nhà Sách Phương Nam,[]
10331473,12400073,349125,5,Cực kì hài lòng,Mới mua cầm nhẹ tênh luôn. Mới đọc được vài trang chủ yếu học tiếng anh luôn. Sách ok đáng trải nghiệm,approved,0,0,[],53660,Nhà sách Fahasa,[]
16760723,10822889,349125,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
14172675,511092,349125,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
10295761,8184306,349125,5,Cực kì hài lòng,Đóng gói kĩ càng sách rất đẹp ạ,approved,0,0,[],53660,Nhà sách Fahasa,[]
11008252,17137031,349125,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
20201567,1927976,274468044,5,Cực kì hài lòng,,approved,0,0,[],7247,Alpha Books Official,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Có hẹn giờ trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
19806536,22124831,273303926,5,Cực kì hài lòng,,approved,0,0,[],229023,Nhà Sách Phương Nam,[]
19421994,14063712,517830,4,Hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
19232179,11019547,517830,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
18362243,5905158,517830,4,Hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
