customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
9716988,192090992,,1231,Xunhasaba Thế giới Sách Ngoại văn,2,,,2024-07-04 10:12:45+00:00,2024-07-08 14:56:21+00:00,19925369
13229508,192090992,,1231,Xunhasaba Thế giới Sách Ngoại văn,2,,,2023-02-23 03:45:34+00:00,2023-02-25 09:14:51+00:00,18883571
19750162,192090992,,1231,Xunhasaba Thế giới Sách Ngoại văn,4,,,2023-02-04 14:52:55+00:00,2023-02-07 08:27:57+00:00,18758380
21747919,173449478,,53660,Nhà sách Fahasa,4,,,2023-03-17 14:40:13+00:00,2023-03-19 10:25:17+00:00,18979963
9136778,173449478,,53660,Nhà sách Fahasa,1,,,2025-02-24 12:26:44+00:00,2025-02-27 13:25:24+00:00,20102445
217353,173449478,,53660,Nhà sách Fahasa,1,,,2024-02-29 04:31:37+00:00,2024-02-29 18:10:21+00:00,19838625
16970726,173449478,,53660,Nhà sách Fahasa,3,,,2023-03-11 15:32:01+00:00,2023-03-15 17:10:16+00:00,18962820
28429054,173449478,,53660,Nhà sách Fahasa,2,,,2022-11-07 11:06:19+00:00,2022-11-08 13:25:26+00:00,18154037
12001639,173449478,,53660,Nhà sách Fahasa,4,,,2023-05-10 15:53:07+00:00,2023-05-11 14:38:23+00:00,19555735
558147,173449478,,53660,Nhà sách Fahasa,4,,,2023-05-23 03:54:35+00:00,2023-05-23 15:56:33+00:00,19481608
26735468,173449478,,53660,Nhà sách Fahasa,2,,,2022-11-19 08:20:39+00:00,2022-11-21 11:56:28+00:00,18878031
28629618,173449478,,53660,Nhà sách Fahasa,2,,,2023-05-25 23:58:39+00:00,2023-05-26 16:25:26+00:00,19232926
14646720,173449478,,53660,Nhà sách Fahasa,3,,,2022-08-10 10:07:41+00:00,2022-08-12 10:38:36+00:00,17404021
11470921,173449478,,53660,Nhà sách Fahasa,3,,,2022-08-29 04:23:10+00:00,2022-08-30 12:25:45+00:00,18688648
8697408,173449478,,53660,Nhà sách Fahasa,4,,,2022-10-13 14:28:44+00:00,2022-10-17 11:25:56+00:00,18321585
15328430,173449478,,53660,Nhà sách Fahasa,1,,,2022-08-15 06:13:53+00:00,2022-08-16 11:11:27+00:00,18292234
959009,173449478,,53660,Nhà sách Fahasa,4,,,2022-10-13 08:44:11+00:00,2022-10-14 16:11:49+00:00,18281860
12573079,173449478,,53660,Nhà sách Fahasa,2,,,2022-10-17 02:00:06+00:00,2022-10-18 09:57:06+00:00,17997714
13390494,173449478,,53660,Nhà sách Fahasa,2,,,2022-08-25 16:18:59+00:00,2022-08-30 10:38:24+00:00,17746277
133979,138888949,,229023,Nhà Sách Phương Nam,4,,,2023-12-12 03:38:01+00:00,2023-12-14 13:16:54+00:00,19682170
13516299,138888949,,229023,Nhà Sách Phương Nam,3,,,2022-05-04 10:02:07+00:00,2022-05-09 11:24:55+00:00,16677703
11073828,112531187,,12696,Blue Horizon Books,3,,,2022-10-21 12:06:14+00:00,2022-10-26 14:48:03+00:00,18547825
