id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279041030,Sách ngoại văn: DKfindout! Human Body,242500,250000,3,0,0,0,DK,Penguin Books,Nhiều Nhà Xuất Bản,9780241285077,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279037588,Sách ngoại văn: The Long View,367600,387000,5,0,0,0,nhieu tac gia,Hachette UK Distribution,Nhiều Nhà Xuất Bản,9781472285256,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278893984,Read and Explore,205000,205000,0,0,0,0,Ecokid Book,Nhà Xuất Bản Tri Thức,Nhà Xuất Bản Tri Thức,978-632-628-042-5,Bìa mềm,153,2025-10-30,Ecokid Book,available,1000,True,True,True
278825809,Sách - The Epigenetics Revolution by Nessa Carey | English Nonfiction - Biology Book,320000,320000,0,0,0,0,Nessa Carey,Independent Publishers Group,Icon Books Ltd,9781848313477,Bìa mềm,324,2012-08-16,Bookworm Hà Nội,available,1000,True,True,True
278817146,Sách - This Is Your Brain On Music by Daniel Levitin | Nonfiction about Music / Science Psychology,350000,350000,0,0,0,0,Daniel Levitin,Penguin,Penguin,9780241995174,Bìa mềm,322,2019-10-27,Bookworm Hà Nội,available,1000,True,True,True
278817078,Sách - The Life of Poo: Or why you should think twice about shaking hands by Adam Hart,350000,350000,0,0,0,0,Many Authors,,,,,,,,out_of_stock,,False,False,False
278816671,Sách - The Brain: A User's Guide to the Supercomputer Inside Your Head - New Scientist / Ngoại văn,380000,380000,0,0,0,0,Many Authors,John Murray,John Murray Ltd,9781529363319,Bìa mềm,438,2022-04-14,Bookworm Hà Nội,available,1000,True,True,True
278810057,Sách - I Contain Multitudes: The Microbes Within Us and a Grander View of Life by Ed Yong,350000,350000,0,0,0,0,Ed Yong,,,,,,,,out_of_stock,,False,False,False
278764741,Sách - Introducing Mind and Brain: A Graphic Guide by Angus Gellatly | Nonfiction / Science,150000,150000,0,0,0,0,Many Authors,Independent Publishers Group,Icon Books Ltd,9781785783135,Bìa mềm,176,2013-05-16,Bookworm Hà Nội,available,1000,True,True,True
278764717,Sách - Introducing Evolution A Graphic Guide by Dylan Evans - Icon Books Graphic Guide Series,150000,150000,0,0,0,0,Dylan Evans,Independent Publishers Group,Icon Books Ltd,9781848311862,Bìa mềm,176,2008-05-14,Bookworm Hà Nội,available,1000,True,True,True
