id,customer_id,product_id,rating,title,content,status,thank_count,comment_count,images,seller_id,seller_name,delivery_rating
19900294,8501619,271248363,5,Cực kì hài lòng,,approved,0,0,[],148041,Sách toán 24h,[]
19908819,820761,115126767,5,Cực kì hài lòng,"Đúng ngày, đúng sản phẩm, đóng gói gọn gàng. Rất tốt",approved,0,0,"[{'id': 4362797, 'full_path': 'https://salt.tikicdn.com/ts/review/9f/9e/5d/4bdfdc3779d8b937596b590ce003a90a.jpg', 'status': 'approved'}, {'id': 4362798, 'full_path': 'https://salt.tikicdn.com/ts/review/59/99/30/31e0d5e1f864e8d1be3f0f1e24be3faf.jpg', 'status': 'approved'}]",208140,Hiệu sách Gen books,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Có hẹn giờ trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
19684678,13555689,115126767,5,Cực kì hài lòng,,approved,0,0,[],208140,Hiệu sách Gen books,[]
19322469,28327065,115126767,5,Cực kì hài lòng,,approved,0,0,[],208140,Hiệu sách Gen books,[]
16210245,7586406,115126767,5,Cực kì hài lòng,"Đóng hàng rất chắc chắn, sản phẩm rất đẹp. Mình rất ưng👍🤗",approved,0,0,[],208140,Hiệu sách Gen books,[]
18569139,18905964,115126767,5,Cực kì hài lòng,,approved,0,1,[],208140,Hiệu sách Gen books,[]
16207088,12450984,115126767,5,Hài lòng,,approved,0,1,[],208140,Hiệu sách Gen books,[]
19732526,1760221,55285194,5,Cực kì hài lòng,"Nếu tìm lại một số bài báo nói về cuốn sách được các CEO công nghệ Trung Quốc đọc sẽ thấy cuốn này. Nó nói về thuật toán nhưng không phải chỉ nói về toán. Đầu tiên là sẽ có những mô tả về thực trạng sau đó chỉ ra tính chất lặp của mô hình. Rồi mới khái quát thành công thức. Đọc sẽ thấy giống như cuốn Mua vé số ngày nào thì trúng, không nói về nội dung, nhưng cách diễn giải sẽ gần như vậy. Cái gây bất ngờ ở đây là mức độ đa dạng của các ví dụ và tính chất quy luật gần như đúng với hầu hết các hiện tượng trong cuộc sống, nếu bỏ phần công thức và chứng minh ra thì có khi lại tưởng đây là sách dạy tử vi bói toán cũng nên. Trc đây mình đã từng mua 1 cuốn mà hình như cho mượn hay bị thất lạc nên mới mua lại, rất đáng đọc, nội dung sách không hề bị cũ theo thời gian như nhiều cuốn về công nghệ khác.",approved,0,0,[],53660,Nhà sách Fahasa,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Không hẹn trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
4475811,1560854,55285194,1,Rất không hài lòng,Sách ngoại văn hơn 250k mà bị nấm mốc. Trang bìa bị gãy. Chư hiểu Fahasa làm ăn kiểu gì. Lần đầu tiên mua sách online mà quá thất vọng. Không bao giờ thêm 1 lần nào nữa. @tiki: chắc chắn sẽ xin lỗi nếu được đăng bài rồi sẽ gợi ý đổi sách bla bla bla. Nhưng ko đổi sách nhé vì một lần và mãi mãi. Chấm hết,approved,6,3,"[{'id': 1132835, 'full_path': 'https://salt.tikicdn.com/ts/review/38/17/0a/808b48e0e68ef7856e4f45c0b198afd9.jpg', 'status': 'approved'}]",53660,Nhà sách Fahasa,[]
19710877,908836,55285194,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Có hẹn giờ trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
17246748,620317,55285194,5,Cực kì hài lòng,"Chất lượng tốt, nội dung đúng với kiến thức mình cần tìm",approved,0,0,"[{'id': 3743336, 'full_path': 'https://salt.tikicdn.com/ts/review/56/c9/7c/2c78608cb1a685d29b94bb000d950847.jpg', 'status': 'approved'}]",53660,Nhà sách Fahasa,[]
19470019,15054921,55285194,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
18867536,18831466,55285194,5,Cực kì hài lòng,Giao hàng siêu nhanh. Sách in tốt.,approved,0,0,[],53660,Nhà sách Fahasa,[]
18051571,1399732,55285194,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
16461713,198029,55285194,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
7350619,613879,55285194,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
6783378,572289,55285194,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
6552981,10678306,55285194,4,Hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
5800179,5429195,55285194,3,Bình thường,,approved,0,0,[],53660,Nhà sách Fahasa,[]
5301655,7125775,55285194,5,Cực kì hài lòng,,approved,0,0,[],53660,Nhà sách Fahasa,[]
