id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278752437,Sách - How To Lie With Statistics by Darell Huff/ Sách tiếng Anh/ English/ Statistic,300000,300000,0,0,0,0,Darell Huff,Penguin,Penguin,9780141997971,Bìa mềm,124,1991-05-24,Bookworm Hà Nội,available,1000,True,True,True
278110730,Sách - Maths In Bite-Sized Chunks by Chris Waring - Khoa học toán học tiếng Anh - English Book/ Maths - Science,350000,350000,0,0,0,0,Chris Waring,,,,,,,,out_of_stock,,False,False,False
277837777,Sách - I Used To Know That Maths by Chris Waring - Nonfiction/ Reference/ Mathematics /Science in English,250000,250000,0,0,0,0,Chris Waring,Michael O'Mara,Michael O'Mara,9781782432555,Bìa mềm,192,2014-04-08,Bookworm Hà Nội,available,1000,True,True,True
277808293,Sách - Introducing Mathematics A Graphic Guide by Ziauddin Sardar - Icon Books Graphic Guide Series,150000,150000,0,0,0,0,Ziauddin Sardar,,,,,,,,out_of_stock,,False,False,False
277770628,Sách - Introducing Chaos A Graphic Guide by Ziauddin Sardar - Nonfiction in English / Science - Mathematics/ Khoa học,150000,150000,0,0,0,0,Ziauddin Sardar,Silicon Power,Icon Books Ltd,9781848310131,Bìa mềm,176,2013-04-17,Bookworm Hà Nội,available,1000,True,True,True
277603511,"Sách - 50 Maths Ideas You Really Need to Know (50 Ideas You Really Need to Know series) by Tony Crilly - Sách tiếng anh, bìa cứng",350000,350000,0,0,0,2,Tony Crilly,Quercus,Quercus,9781848667051,Bìa cứng,208,2007-04-19,Bookworm Hà Nội,available,1000,True,True,True
277581136,Sách - The Big Bang of Numbers - How to Build the Universe Using Only Maths by Manil Suri - Bloomsbury - Sách Ngoại Văn,380000,380000,0,0,0,0,Many Authors,Bloomsbury,Bloomsbury,9781526622938,Bìa mềm,368,2023-03-09,Bookworm Hà Nội,available,1000,True,True,True
263450662,Sách học toán dành cho trẻ 7-11 tuổi tiếng Anh: Time Tables Made Easy,192240,216000,11,0,0,1,,Hachette,HarperCollins Publishers,9781526364470,Bìa mềm,32,,Blue Horizon Books,available,1000,True,True,True
263450612,"Sách thiếu nhi tiếng Anh: Stem-Gineers:
 Masters Of Maths",348435,391500,11,0,0,1,,HarperCollins,HarperCollins,9781526308429,Bìa mềm,32,,Blue Horizon Books,available,1000,True,True,True
198285221,How The World Really Works: The Science Behind How We Got Here And Where We're Going,739300,795000,7,5,3,36,Vaclav Smil,Penguin Books,Viking,9780593297063,,,,Nhà sách Fahasa,available,1000,True,True,True
4429843,Sách How Not to Be Wrong: The Hidden Maths of Everyday Life,399000,399000,0,5,2,14,,Penguin Random House,Penguin Random House,9780718196042,Paperback,468,2015-05-26,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
