id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279261969,Meditations A,299000,299000,0,0,0,0,Marcuc Aurelius,Penguin,Penguin,9780141018829,,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
279105750,"Sách - Entangled Life How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures - English Book",450000,450000,0,0,0,0,Merlin Sheldrake,Vintage,Vintage,9781784708276,Bìa mềm,358,2021-01-13,Bookworm Hà Nội,available,1000,True,True,True
278993371,Sách - Moon Astrology: using the moon's signs and phases to enhance your life by Teresa Dellbridge,350000,350000,0,0,0,0,Many Authors,Octopus Books,Godsfield Press Ltd,9781841815329,Bìa cứng,143,2023-12-04,Bookworm Hà Nội,available,1000,True,True,True
278804714,Sách - Encyclopedia of Life by Miles Kelly | Children's Nature Encyclopedia | English Book,450000,450000,0,0,0,0,Miles Kelly,Miles Kelly Publishing,Miles Kelly Publishing,9781786173270,Bìa mềm,384,2017-06-12,Bookworm Hà Nội,available,1000,True,True,True
278727730,"Sách - Wonderland: A Year of Britain's Wildlife, Day by Day by Brett Westwood | Biology Science Book",280000,280000,0,0,0,0,Many Authors,John Murray,John Murray Ltd,9781473609266,Bìa mềm,496,2018-06-20,Bookworm Hà Nội,available,1000,True,True,True
278727578,"Sách - Wonders of Nature: Explorations in the World of Birds, Insects and Fish by Florence Guiraud",780000,780000,0,0,0,0,Many Authors,Verlagsgruppe Random House GmbH,Prestel Publishing,9783791373652,Bìa cứng,96,2018-10-17,Bookworm Hà Nội,available,1000,True,True,True
278727556,Sách - The Nature of Sex: The Ins and Outs of Mating in the Animal Kingdom by Dr Carin Bondar,380000,380000,0,0,0,0,Many Authors,W&N,W&N,9780297609506,Bìa cứng áo ôm,320,2015-05-07,Bookworm Hà Nội,available,1000,True,True,True
278727523,Sách - Cabinet of Natural Curiosities by Albertus Seba | Natural History - English Science Book,680000,680000,0,0,0,0,Many Authors,Taschen Publishing,Taschen Publishing,9783836577960,Bìa mềm,512,2019-06-24,Bookworm Hà Nội,available,1000,True,True,True
278668425,Sách - This Is Your Mind On Plants by Michael Pollan | New York Times Bestseller Nonfiction,380000,380000,0,0,0,0,Michael Pollan,Penguin,Penguin,9780141997339,Bìa mềm,274,2022-09-07,Bookworm Hà Nội,available,1000,True,True,True
278022240,Sách - The Wild Book: Outdoor Activities to Unleash Your Inner Child by David Scarfe,380000,380000,0,0,0,0,Many Authors,Trapeze,ORION,9781409172727,Bìa cứng,271,2017-05-16,Bookworm Hà Nội,available,1000,True,True,True
275066010,Vietnamese fruit and other stories,286000,286000,0,0,0,0,Cao Thị Lan Phương,Công ty TNHH In ấn và Truyền thông Phong Lan,Nhà Xuất Bản Thanh Niên,9786046405535,"Bìa mềm, bìa áo + bìa keo",112,2013-10-11,In ấn và Truyền thông Phong Lan,available,1000,True,True,True
274540972,Entangled Life,498622,560250,11,0,0,2,nhieu tac gia,Vintage Publishing,Vintage Publishing,9781784708276,Bìa mềm,368,,Blue Horizon Books,available,1000,True,True,True
274121244,How Psychology Works : The Facts Visually Explained,519000,519000,0,0,0,3,DK,Dorling Kindersley Ltd,Dorling Kindersley Ltd,9780241317693,Bìa cứng,256,,Nhà Sách Phương Nam,available,1000,True,True,True
274055994,Power: The 50 Truths,649000,649000,0,0,0,0,Douglas B. Fisher,Simon & Schuster,Simon & Schuster,9781682452042,Bìa cứng,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
270502137,"How The World Really Works: A Scientist’s Guide To Our Past, Present And Future",370000,370000,0,0,0,6,Vaclav Smil,Penguin Books,Penguin Books,9780241989678,,,,Nhà sách Fahasa,available,1000,True,True,True
263256220,How Food Works: The Facts Visually Explained,519000,519000,0,5,1,2,,Phương Nam Book,Dorling Kindersley,978-024128939,Bìa cứng,256,,Nhà Sách Phương Nam,available,1000,True,False,True
263071764,WILL WE SURVIVE ON EARTH? ,179000,179000,0,0,0,0,,Harper Collins,Harper Collins,9781529392388,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,False,True
195472259,Viral: The Search For The Origin Of COVID-19,448400,472000,5,0,0,2,Matt Ridley,HarperCollins Publishers,Harper,9780063139121,,,,Nhà sách Fahasa,available,1000,True,True,True
191817412, Where The Animals Go,479000,479000,0,0,0,0,James Cheshire,Penguin,Penguin,9780141982229,Bìa mềm,174,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
191716751,The World Without Us,419000,419000,0,0,0,1,Alan Weisman,Penguin,Penguin,9780753513576,Bìa mềm,312,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
121227664,"Sách Animal Worlds of Wonder ( Thế Giới Động Vật Diệu Kỳ ) - Cuốn Sách Như Chuyến Đi, Chào Mừng Các Bạn Nhỏ Đến Với Hành Trình Thăm Các Châu Lục Với Các Loài Động Vật Tuyệt Vời Nhất Trên Thế Giới",371250,495000,25,0,0,0,Nhiều,Công ty cổ phần đầu tư và phát triển giáo dục quốc tế Á Châu,Templar Publishing,9781787413429,Bìa cứng,80,2018-09-14,Hiệu sách Gen books,available,1000,True,True,True
2395109,Tell Me About Science,255000,255000,0,5,1,17,Chancellor Press,Littlehampton Book,,9780753730300,,176,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
