id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279155451,Sách ngoại văn: When The Heavens Went On Sale - The Misfits And Geniuses Racing To Put Space Within Reach,309400,319000,3,0,0,0,Ashlee Vance,Penguin Books,WH Allen,9780753557761,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279044360,"Sách ngoại văn: Reentry - Spacex, Elon Musk, And The Reusable Rockets That Launched A Second Space Age",669600,720000,7,0,0,0,nhieu tac gia,Simon and Schuster,Nhiều Nhà Xuất Bản,9781637745274,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279043500,Sách ngoại văn: How To Grow A Robot,692500,714000,3,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780262043731,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279041951,Sách ngoại văn: How To Talk To Robots - A Girls’ Guide To A Future Dominated By AI,205200,216000,5,0,0,0,nhieu tac gia,Usborne,Nhiều Nhà Xuất Bản,9780008328238,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279039801,Sách ngoại văn: Superagency - What Could Possibly Go Right With Our AI Future,699300,721000,3,0,0,0,Reid Hoffman,Simon and Schuster,Nhiều Nhà Xuất Bản,9798893310108,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038875,Sách ngoại văn: Our Future Is Biotech,564300,594000,5,0,0,0,Andrew Craig,Hachette UK Distribution,Nhiều Nhà Xuất Bản,9781399800198,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279038294,Sách ngoại văn: Burn Book - A Tech Love Story,692500,729000,5,0,0,0,nhieu tac gia,Simon and Schuster,Nhiều Nhà Xuất Bản,9781982163891,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279033406,Sách ngoại văn: In Our Own Image,346200,357000,3,0,0,0,nhieu tac gia,Simon and Schuster,Nhiều Nhà Xuất Bản,9781681773537,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279033368,Sách ngoại văn: The Darkness Manifesto,374300,394000,5,0,0,0,nhieu tac gia,Simon and Schuster,Nhiều Nhà Xuất Bản,9781668000908,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279032790,Sách ngoại văn: System Error,378100,398000,5,0,0,0,nhieu tac gia,HarperCollins Publishers,Nhiều Nhà Xuất Bản,9780063251311,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
