id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279046578,Sách ngoại văn: The Green Budget Guide,445200,459000,3,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781035026739,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279046430,Sách ngoại văn: The 5 Types Of Wealth,428700,442000,3,0,0,1,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780593983522,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279046360,Sách ngoại văn: The Life Brief,408000,408000,0,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9781911709077,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279046310,Sách ngoại văn: When Things Don't Go Your Way,299200,315000,5,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9780593513095,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279046176,Sách ngoại văn: The Audacity To Be Queen,534400,551000,3,0,0,0,nhieu tac gia,Hachette Book Group,Nhiều Nhà Xuất Bản,9780316458801,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279045968,Sách ngoại văn: Choose Possibility,319200,336000,5,0,0,1,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781529066463,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279044748,Sách ngoại văn: Sit Down To Rise Up,535800,564000,5,0,0,0,nhieu tac gia,Ingram Academic Services,Nhiều Nhà Xuất Bản,9781608689514,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279044356,Sách ngoại văn: Imposter No More,587800,606000,3,0,0,0,nhieu tac gia,Hachette Book Group,Nhiều Nhà Xuất Bản,9781538724804,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279044276,Sách ngoại văn: 100 Things Successful People Do,465600,480000,3,0,0,0,nhieu tac gia,Hachette UK Distribution,Nhiều Nhà Xuất Bản,9781529355932,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279043382,Sách ngoại văn: Reason To Be Happy,349200,360000,3,0,0,0,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9781911709282,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279042647,"Sách ngoại văn: Chicken Soup For The Soul - Miracles, Angels And Messages From Heaven",352300,383000,8,0,0,0,nhieu tac gia,Simon and Schuster,Nhiều Nhà Xuất Bản,9781611591163,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279041735,Sách ngoại văn: Awe: The Transformative Power Of Everyday Wonder,292600,308000,5,0,0,1,nhieu tac gia,Penguin Books,Nhiều Nhà Xuất Bản,9781802061161,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
