id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279261937,The Nicomachean Ethics,399000,399000,0,0,0,0,Aristotle,Penguin,Penguin,9780140449495,Bìa mềm,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
278825484,Sách - You Are a Badass Every Day by Jen Sincero | Self Help Book - English Nonfiction,350000,350000,0,0,0,0,Jen Sincero,John Murray,John Murray Ltd,9781529380514,Bìa mềm,215,2020-10-13,Bookworm Hà Nội,available,1000,True,True,True
278069169,Sách ngoại văn: Psychological Safety (HBR Emotional Intelligence Series),549000,566000,3,0,0,0,Harvard Business Review,Ingram Academic Services,Harvard Business Review Press,9781647829964,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
277978268,Sách ngoại văn: The 15-Minute Method,535800,564000,5,0,0,0,Sam Bennett,Ingram Academic Services,New World Library,9781608689064,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
277968447,"CK50% SÁCH TRƯNG BÀY: Sách Beyond The Ways (bản tiếng Anh sách Vượt biển lớn) - Sách trưng bày, có vết xước, vết dơ nhẹ",79500,159000,50,0,0,0,Nguyễn Thái Duy,Tinh Hoa,Nhiều Nhà Xuất Bản,13,Bìa mềm tay gấp,,,Tinh Hoa,available,1000,True,True,True
277949708,Sách Beyond The Waves (Vượt biển lớn)- Nguyễn Thái Duy- Sách Tiếng Anh,79500,159000,50,0,0,0,Nguyễn Thái Duy,Tinh Hoa,Nhiều Nhà Xuất Bản,13,Bìa mềm tay gấp,,,Tinh Hoa,available,1000,True,True,True
277739849,Sách - The Tipping Point by Malcolm Gladwell - Sách Ngoại văn - English Book - Nhập khẩu UK,350000,350000,0,5,1,1,Malcolm Gladwell,Warner Books Inc,Time Warner Books,9780316346627,Bìa mềm,301,2002-04-04,Bookworm Hà Nội,available,1000,True,True,True
277427051,"Unstoppable Us, Volume 1",606757,681750,11,0,0,0,Yuval Noah Harari,Penguin Books Ltd,Penguin Books Ltd,9780241659786,Bìa mềm,,,Blue Horizon Books,available,1000,True,True,True
277375413,The Art of Creative Thinking,329000,329000,0,0,0,2,堀越 耕平,,,978144479449,Bìa mềm,,,Nhà Sách Phương Nam,available,1000,True,True,True
276462187,Manifest,674500,710000,5,0,0,1,Roxie Nafousi,Penguin Books,Penguin Books,9780241539590,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
