id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279211804,Văn kiện Đại hội đại biểu toàn quốc lần thứ XIV (2 tập),130000,130000,0,0.0,0,18,Đảng Cộng Sản Việt Nam,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm,,2026-03-01,ST Book,available,1000,True,True,True
278238291,Sách Luận Cương Người Liên Bang,215300,299000,28,4.5,2,62,"Alexander Hamilton, James Madison, John Jay",Omega Plus,Nhà Xuất Bản Thế Giới,,Bìa mềm,488,2025-07-15,Tiki Trading,available,1000,False,True,True
277921751,Sách Bông Sen Vàng,142600,159000,10,4.8,10,122,Sơn Tùng,Alpha Books,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,424,,Tiki Trading,available,1000,False,True,True
277600248,Sách Khúc Bi Ca Của Gã Dân Quê,159000,199000,20,0.0,0,0,J. D. Vance,Alphabooks,Nhà Xuất Bản Thế Giới,,,256,,Alpha Books Official,available,1000,True,True,True
279123926,Đấu tranh bảo vệ nền tảng tư tưởng của Đảng trong giai đoạn mới,166000,166000,0,0.0,0,3,Hội đồng Lý luận Trung ương,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa rời,420,,Bảo Châu Books,available,1000,True,True,True
278765482,"Biến Động Chính Trị, Kinh Tế, Xã Hội, Đối Ngoại Của Thái Lan Từ Năm 2014 Đến Nay Và Tác Động Tới Asean (Sách Chuyên Khảo)",167400,186000,10,0.0,0,5,TS. Nguyễn Hồng Quang (Chủ biên),Nhà Xuất Bản Khoa Học Xã Hội,Nhà Xuất Bản Khoa Học Xã Hội,,Bìa mềm tay gấp,296,2025-10-16,VIETNAMBOOK,available,1000,True,True,True
276396507,Đường Cách Mệnh (Tái bản 2024) - Hồ Chí Minh,35000,35000,0,5.0,1,17,Hồ Chí Minh,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm,116,2024-10-17,Bamboo Books,available,1000,True,True,True
276024683,Tính trước nguy cơ - Suy ngẫm sau 20 năm Đảng Cộng sản Liên Xô mất đảng (bản in 2024),316000,316000,0,0.0,0,0,,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm,,,Bamboo Books,available,1000,True,True,True
72001038,Sách Chính Trị Đảng Phái Tại Hoa Kỳ,174800,269000,35,5.0,92,479,Marjorie Randon Hershey,Omega Plus,Nhà Xuất Bản Thế Giới,,Bìa mềm,572,2020-10-01,Tiki Trading,available,1000,False,True,True
521004,Sách Donald Trump: Đã Đến Lúc Phải Cứng Rắn Để Khôi Phục Sự Vĩ Đại Của Nước Mỹ,95700,129000,26,4.8,17,2016,Donald J.Trump,Omega Plus,Nhà Xuất Bản Thế Giới,,Bìa mềm,272,2016-07-05,Tiki Trading,available,1000,False,True,True
279063452,Sách - Sổ ghi biên bản sinh hoạt chi bộ,74000,74000,0,5.0,2,3,Đảng Cộng Sản Việt Nam,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm,,,Hiệu Sách Tự Do,available,1000,True,True,True
73953860,Combo Sách : Giới Tinh Hoa Quyền Lực + Chính Trị Đảng Phái Tại Hoa Kỳ,520500,520500,0,0.0,0,1,nhieu tac gia,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,,,AHABOOKS,available,1000,True,True,True
276247885,Sổ chi hoạt động công tác Đảng - bản in 2024,28000,28000,0,0.0,0,4,,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,,,ST Book,available,1000,True,True,True
273896906,Sự Va Chạm Giữa Các Nền Văn Minh Và Sự Tái Lập Trật Tự Thế Giới,231000,289000,20,5.0,22,139,Samuel P. Huntington,Omega Plus,Nhà Xuất Bản Hồng Đức,,Bìa cứng,560,2018-03-23,Alpha Books Official,available,1000,True,True,True
