id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
192909294,Sách Di Sản Hồ Chí Minh - Sửa Đổi Lối Làm Việc (Ấn Bản Kỷ Niệm 75 Năm Ngày Tác Phẩm Ra Đời),34000,50000,32,5.0,8,53,X.Y.Z,NXB Trẻ,NXB Trẻ,,,116,2022-08-08,Tiki Trading,available,1000,False,True,True
68688361,"Sách Di Sản Hồ Chí Minh - Thực Hành Tiết Kiệm, Chống Tham Ô, Lãng Phí, Chống Bệnh Quan Liêu (Khổ Nhỏ)(Tái Bản 2020)",33200,35000,5,4.5,4,17,Hồ Chí Minh,NXB Trẻ,NXB Trẻ,,Bìa mềm,72,2020-09-01,Nhà sách Fahasa,available,1000,True,True,True
277672251,Sách Di sản Hồ Chí Minh. Bản đồ Hành trình 30 năm tìm đường cứu nước của Bác Hồ,71000,100000,29,0.0,0,33,Trần Đức Tuấn,NXB Trẻ,NXB Trẻ,,Bìa mềm,2,2025-04-09,Tiki Trading,available,1000,False,True,True
277670439,Sách Di sản Hồ Chí Minh. Quê hương & Gia thế Chủ tịch Hồ Chí Minh,38000,50000,24,5.0,1,10,Trần Minh Siêu,NXB Trẻ,NXB Trẻ,,Bìa mềm,132,2025-04-09,Tiki Trading,available,1000,False,True,True
20056400,Sách Di Chúc Của Chủ Tịch Hồ Chí Minh (Tái Bản),24500,25000,2,4.7,17,98,Hồ Chí Minh,NXB Trẻ,,,Bìa mềm,52,2019-01-06,Nhà sách Fahasa,available,1000,True,True,True
66955380,Sách Tác Phẩm Bảo Vật Quốc Gia - Hồ Chí Minh (Hộp 5 Cuốn),157500,175000,10,4.8,6,31,Hồ Chí Minh,NXB Trẻ,NXB Trẻ,,Bìa mềm,484,,Nhà sách Fahasa,available,1000,True,True,True
72161356,"Di Sản Hồ Chí Minh - Học Ở Trường, Học Ở Sách Vở, Học Lẫn Nhau Và Học Nhân Dân",46000,50000,8,5.0,2,20,Hồ Chí Minh,NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000,True,True,True
90619023,"Sách Thư Gửi Thanh Niên: Tuyển Chọn Các Bài Viết Của Chủ Tịch Hồ Chí Minh Về Giáo Dục, Bồi Dưỡng Lý Tưởng Cách Mạng Cho Thanh Niên",78000,105000,26,4.5,2,65,Hồ Chí Minh,NXB Trẻ,NXB Trẻ,,Bìa mềm,340,2021-04-01,Tiki Trading,available,1000,False,True,True
19274773,Sách Di Sản Hồ Chí Minh - Những Mẩu Chuyện Về Đời Hoạt Động Của Chủ Tịch Hồ Chí Minh (Tái Bản),59000,80000,26,4.7,13,189,Trần Dân Tiên,NXB Trẻ,NXB Trẻ,,Bìa mềm,183,,Tiki Trading,available,1000,False,True,True
16440473,Sách Hồ Chí Minh Bàn Về Đạo Đức,39200,40000,2,5.0,2,12,"Vũ Tình, Nguyễn Thị Thảo, Nguyễn Thị Thanh Ngân",NXB Trẻ,,,Bìa mềm,60,2019-05-01,Nhà sách Fahasa,available,1000,True,True,True
16440469,Sách Hồ Chí Minh Bàn Về Phong Cách,34300,35000,2,5.0,1,18,"Vũ Tình, Phạm Văn Tuân, Lê Thị Nhung",NXB Trẻ,,,Bìa mềm,52,2019-05-01,Nhà sách Fahasa,available,1000,True,True,True
68392351,Sách Di Sản Hồ Chí Minh - Hồ Chí Minh Bàn Về Đảng,64400,70000,8,0.0,0,7,"Vũ Tình, Đặng Thị Minh Phương",NXB Trẻ,NXB Trẻ,,Bìa mềm,96,2020-09-01,Nhà sách Fahasa,available,1000,True,True,True
16440463,Sách Phong Cách Hồ Chí Minh,68400,72000,5,5.0,4,16,Nguyễn Văn Khoan,NXB Trẻ,,,Bìa mềm,176,2019-05-01,Nhà sách Fahasa,available,1000,True,True,True
