id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279076711,Sách Lược Sử Kinh Tế,84800,106000,20,5.0,2,13,Danniel Cohen,Nhã Nam,Nhà Xuất Bản Công Thương,,Bìa mềm,188,,Tiki Trading,available,1000,False,True,True
2207741,Sách Chu Dịch Huyền Giải,65000,90000,28,5.0,95,1545,Thu Giang Nguyễn Duy Cần,NXB Trẻ,NXB Trẻ,,Bìa mềm,242,,Tiki Trading,available,1000,False,True,True
57771444,Sách Cộng Hòa (Plato),218200,299000,27,5.0,21,136,,Alphabooks,Nhà Xuất Bản Thế Giới,,,,,Tiki Trading,available,1000,False,True,True
1667307,Sách Quân Vương – Thuật Cai Trị (Tái Bản),87200,109000,20,4.7,24,117,Niccolò Machiavelli,Omega Plus,Nhà Xuất Bản Thế Giới,,Bìa mềm,200,2018-03-03,Nhà sách Fahasa,available,1000,True,True,True
193988315,Sách Một Lý Thuyết Về Tự Do (On Liberty),110400,155000,29,5.0,10,65,John Stuart Mill,Viện IRED,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,292,2022-08-08,Tiki Trading,available,1000,False,True,True
190606411,Sách Hơn cả lòng trung thành,134750,175000,23,5.0,12,134,James Comey,Dân Trí,Nhà Xuất Bản Dân Trí,,Bìa mềm,336,,Tiki Trading,available,1000,False,True,True
145288026,Sách Chia Rẽ - Tại Sao Chúng Ta Đang Sống Trong Thời Đại Của Những Bức Tường,190000,250000,24,5.0,426,3009,Tim Marshall,Nhã Nam,Nhà Xuất Bản Dân Trí,,Bìa cứng,396,2021-12-01,Tiki Trading,available,1000,False,True,True
477670,Sách Angela Merkel - Thế Giới Của Vị Nữ Thủ Tướng,95000,120000,21,4.5,24,754,Stefan Kornelius,NXB Trẻ,NXB Trẻ,,Bìa mềm,292,2016-03-09,Tiki Trading,available,1000,False,True,True
278828761,Đời Sống Kinh Tế - Xã Hội Ngư Dân Vùng Ven Biển Bắc Trung Bộ (Sách Chuyên Khảo) ,115200,128000,10,0.0,0,2,TS. Hoàng Hồng Hiệp chủ biên,Nhà Xuất Bản Khoa Học Xã Hội,Nhà Xuất Bản Khoa Học Xã Hội,,Bìa mềm tay gấp,332,2025-10-31,VIETNAMBOOK,available,1000,True,True,True
275960182,Sách - Sổ ghi công văn đi đến,38000,38000,0,0.0,0,6,Đảng Cộng Sản Việt Nam,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm,,,Hiệu Sách Tự Do,available,1000,True,True,True
209603391,Quyền Lực Của Địa Lý - The Power Of Geography,252000,280000,10,5.0,3,77,Tim Marshall,Nhã Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,,,,Nhà sách Fahasa,available,1000,True,True,True
195952820,ẤN ĐỘ Trong Sự Định Hình Cấu Trúc Khu Vực ẤN ĐỘ DƯƠNG - THÁI BÌNH DƯƠNG (Sách chuyên khảo),140000,140000,0,4.7,3,24,,Nhà Xuất Bản Khoa Học Xã Hội,Nhà Xuất Bản Khoa Học Xã Hội,,Bìa mềm,368,2022-08-24,VIETNAMBOOK,available,1000,True,True,True
114832714,Quân Đội Nga - Những Bí Mật Bạn Chưa Biết,122500,175000,30,5.0,8,32,,VIETNAMBOOK,Nhà Xuất Bản Quân Đội Nhân Dân,,Bìa mềm,436,2021-07-22,VIETNAMBOOK,available,1000,True,True,True
276746162,"Sách - Luật Ngân Hàng Nhà Nước Việt Nam (Hiện Hành) (Sửa Đổi, Bổ Sung Năm 2022) - NXB Chính Trị Quốc Gia",22000,22000,0,0.0,0,3,,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,,,Bamboo Books,available,1000,True,True,True
278249906,Sách Kết Thúc Chỉ Là Khởi Đầu,269500,350000,23,5.0,3,73,Peter Jeihan,Nhã Nam,Nhà Xuất Bản Dân Trí,,Bìa mềm,614,,Tiki Trading,available,1000,False,True,True
196315289,Sách Mười Hai Học Thuyết Cơ Bản Về Bản Tính Con Người (Tái Bản Lần 4),204000,275000,26,5.0,8,139,"Leslie Stevenson, David L. Haberman, Peter Matthews Wright",Phương Nam Book,Nhà Xuất Bản Thế Giới,,Bìa mềm,518,2022-01-01,Tiki Trading,available,1000,False,True,True
