id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
275793457,Sách Méthode Rose - Phương pháp hồng 1 - Năm thứ nhất với đàn piano - Giáo trình dạy piano nổi tiếng của Pháp,155000,195000,21,5.0,86,339,Ernest Van De Velde,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Dân Trí,,Bìa mềm,124,2024-07-08,Tiki Trading,available,1000,False,True,True
249875142,Sách Piano cho thiếu nhi - Tuyển tập 220 tiểu phẩm nổi tiếng (Phần 1) - File audio đàn mẫu tất cả các tiểu phẩm - Có thể luyện tập trên đàn organ - File audio tặng kèm trên website,114000,145000,21,5.0,7,149,Lê Dũng,Huy Hoàng Bookstore,Nhà Xuất Bản Dân Trí,,Bìa mềm,108,2023-03-14,Tiki Trading,available,1000,False,True,True
249875168,Sách Piano cho thiếu nhi - Tuyển tập 220 tiểu phẩm nổi tiếng (Phần 2) - File audio đàn mẫu tất cả các tiểu phẩm - Có thể luyện tập trên đàn organ - File audio tặng kèm trên website,98000,145000,32,4.5,5,32,Lê Dũng,Huy Hoàng Bookstore,Nhà Xuất Bản Dân Trí,,Bìa mềm,96,2023-03-14,Tiki Trading,available,1000,False,True,True
249875162,Sách Piano cho thiếu nhi - Tuyển tập 220 tiểu phẩm nổi tiếng (Phần 3) - File audio đàn mẫu tất cả các tiểu phẩm - Có thể luyện tập trên đàn organ - File audio tặng kèm trên website,98000,145000,32,3.0,2,31,Lê Dũng,Huy Hoàng Bookstore,Nhà Xuất Bản Dân Trí,,Bìa mềm,96,2023-03-14,Tiki Trading,available,1000,False,True,True
251393343,Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi Tiếng - Phần 1 (Kèm File Audio) (Tái Bản 2023),133400,145000,8,0.0,0,5,Lê Dũng,Huy Hoàng Bookstore,NXB Dân Trí,,,,,Nhà sách Fahasa,available,1000,True,True,True
272404888,Tuyển tập tác phẩm Piano cổ điển - lãng mạn được yêu thích - 1 (Kèm file Audio âm thanh tất cả các tác phẩm trong sách - Có thể luyện tập trên đàn Organ),145000,185000,22,5.0,5,94,,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Dân Trí,,Bìa mềm,152,2023-10-10,Tiki Trading,available,1000,False,True,True
278727459,Học Đệm Piano Cơ Bản - Phần 3,147000,225000,35,4.7,89,2,Song Minh,Huy Hoàng Bookstore,Nhà Xuất Bản Dân Trí,,Bìa mềm,183,2020-03-01,Tiki Trading,available,1000,False,True,True
276445703,Phương Pháp Hồng - Năm Thứ Nhất Với Đàn Piano Phần 1 - Tác Giả Ernest Van de Velde (HH),171600,195000,12,5.0,1,10,Ernest Van De Velde,Huy Hoàng Bookstore,NXB Dân Trí,,Bìa mềm,124,,Văn Lang Official Store,available,1000,True,True,True
184075082,Sách Học Đàn Piano,100000,125000,20,4.7,27,212,Brad Hill,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,208,2022-05-05,Tiki Trading,available,1000,True,True,True
208303095,Sách - Phương pháp học Piano 1,64000,64000,0,5.0,1,33,Nguyễn Thị Trúc Mai,Nhà Sách Hồng Ân,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,98,2019-04-09,sachthamkhao,available,1000,True,True,True
272404886,Tuyển tập tác phẩm Piano cổ điển - lãng mạn được yêu thích - 2 (Kèm file Audio âm thanh tất cả các tác phẩm trong sách - Có thể luyện tập trên đàn Organ),142000,185000,23,5.0,6,62,,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Dân Trí,,Bìa mềm,152,2023-10-10,Tiki Trading,available,1000,False,True,True
252246214,MÉTHODE ROSE – PHƯƠNG PHÁP HỒNG NĂM THỨ HAI VỚI ĐÀN PIANO – Ernest Van de Velde – Trịnh Minh Thanh dịch – Huy Hoàng Bookstore – NXB Dân Trí (Bìa mềm),195000,195000,0,0.0,0,1,,Huy Hoàng Bookstore,Nhà Xuất Bản Dân Trí,,Bìa mềm,,,Bamboo Books,available,1000,True,True,True
225386312,Kỹ Thuật Luyện Ngón Đàn Piano,85000,85000,0,4.8,4,97,nhieu tac gia,Cty Văn Hóa Tổng Hợp Bút Việt,Nhà Xuất Bản Đồng Nai,,Bìa mềm,68,2020-04-30,Hiệu Sách Văn Hiến,available,1000,True,True,True
279155557,Sách - Học Đệm Piano Cơ Bản (kèm file audio) - Tái Bản 2025. Phần 3,213000,213000,0,0.0,0,1,Song Minh,Huy Hoàng Bookstore,NXB Dân Trí,,,,,Minhhabooks,available,1000,True,True,True
870617,Sách Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi Tiếng - Phần 4,85000,145000,41,4.7,59,397,Lê Dũng,Huy Hoàng Bookstore,Nhà Xuất Bản Dân Trí,,Bìa mềm,90,2017-11-24,Tiki Trading,available,1000,False,True,True
